n,plugin_error,debiased_error
32,0.022636196040910328,-0.00509199091325363
32,-0.051589653280825154,-0.10384188148417839
32,0.08045794464859152,0.014363465661022978
32,0.15143076773608616,0.08972166499321971
32,0.31703517187665636,0.26325146333396815
32,0.053591628781125,0.0063687630329691824
32,0.14241429384525933,0.05663054900849185
32,0.2804419430091328,0.21170123785810918
32,0.03749126114600576,-0.03732876767331983
32,0.1918639354126101,0.14438159549635238
32,0.16742514334965192,0.10209437984984787
32,-0.06790791787888939,-0.12150429145433178
32,0.23067827046550332,0.17204924002726368
32,-0.12186255213646313,-0.17209305639373068
32,0.1240646802106749,0.06111158849830345
32,-0.04447932928677467,-0.10653175539136706
32,0.2311432307244468,0.18707399413888165
32,0.20059601733645044,0.13672195052452646
32,0.20080594877803332,0.14332235873546323
32,0.015265881365180367,-0.042954284373794394
32,0.21732006596115166,0.16913707917162119
32,0.29902125579639777,0.22534403734254832
32,0.08331298161779749,0.010215814715523575
32,-0.006411980773923465,-0.0509198144500167
32,-0.12242547703637346,-0.17980136340213335
32,-0.17730259053989136,-0.23901887890851356
32,0.053725706868747114,-0.01035772977442495
32,-0.13328652006318226,-0.1760305124433913
32,-0.19665779033689,-0.2410150214470849
32,0.17545594397270398,0.13228131970367035
32,0.1550437766123029,0.09743910739695999
32,0.15746013136674458,0.10693395469874017
32,0.0386887570186456,-0.015133504900612715
32,0.08909377265897173,0.011665175770264047
32,-0.12670815765926685,-0.18663968932272984
32,-0.11456337573540865,-0.1774665193182605
32,0.02150128468475604,-0.02351474002839582
32,0.18399929195448134,0.13999664939574014
32,0.04199619996059195,-0.017582100176581128
32,-0.04928442362465507,-0.09471991111517858
32,0.19710986916062861,0.1277743880265087
32,0.09352586446460037,0.05665238370280268
32,0.083707510056867,0.031488334651870675
32,-0.23841266924138785,-0.2824355674362311
32,-0.1055657644681956,-0.15951606438762678
32,0.2207374680910102,0.1700895458921759
32,0.10338266222311004,0.039624073092565326
32,-0.05102095221790459,-0.12693045608752368
32,-0.05493977908392017,-0.10641818758221394
32,0.26705550184314725,0.2177093392616361
32,0.349489944710846,0.2725918912237774
32,0.035749299794116896,-0.013298419696839592
32,0.2021847463895498,0.13983904732139835
32,0.11158155471538506,0.0523509789571347
32,0.26481358038590525,0.22347520887866917
32,0.039008112513185755,-0.015862828987543265
32,0.02581475181227305,-0.015269898012414074
32,-0.07953544654330158,-0.13375995035006105
32,0.25993384623843346,0.19983941440955094
32,-0.11495749577496989,-0.1674487287332449
32,0.1713431472864741,0.11308795801064647
32,-0.15735602974465102,-0.2001179602257394
32,0.3653092006715894,0.29656815769621053
32,0.15419478772544531,0.09108316179894621
32,0.009542490989260244,-0.039967817820564855
32,0.1321763797246513,0.07316807033994854
32,0.001049884026147918,-0.06966066563496232
32,0.2515849324092709,0.19876904337321405
32,-0.05880641856253516,-0.13468593580817628
32,0.010366986302034809,-0.059822554656118465
32,-0.23051112850308228,-0.2808301464158863
32,0.11421770427821515,0.056709786758617986
32,0.1424197631473127,0.09142637267584713
32,-0.048799781392646124,-0.10514942131367688
32,0.013311004754340161,-0.03004666836748815
32,0.19866008637014793,0.14011694879257114
32,0.12275193693516168,0.0635539036977612
32,-0.06339980934373252,-0.11304477279881908
32,0.18568345404007375,0.12563315841617878
32,0.3489196052752876,0.2994581233784442
32,0.054783177718162546,-0.000404293339511419
32,0.2466508440152248,0.19533283193235257
32,-0.14632574519598196,-0.20064666001147785
32,0.023755882077543755,-0.023764565385839043
32,0.06353781792476415,0.02122600174300454
32,0.0854786576261018,0.009446963560023836
32,-0.16257974126839886,-0.22350531094465378
32,-0.1640801967569504,-0.2271894092871406
32,-0.00947710652732403,-0.06795961149883378
32,-0.25005847951233506,-0.30174464574462684
32,0.11487555994458248,0.07974612773816314
32,0.09582220465766228,0.026312401123748885
32,0.2019264278938369,0.1589233930349731
32,-0.08690686774289241,-0.13512173265152333
32,-0.0267686481156304,-0.0738495103596098
32,0.25284178224060533,0.19866667294003731
32,0.21275457712167395,0.15856948082132732
32,-0.09565286217291796,-0.142675723244387
32,0.13730079882817076,0.08688718650728872
32,0.07980851244643644,0.028854665990610262
32,-0.057068663012614596,-0.10618897217216183
32,-0.1003728295478844,-0.17010420222469055
32,-0.24686518364413604,-0.28942925283545906
32,0.090440338527705,0.026635560688757665
32,0.024017527352156287,-0.042735913750674814
32,0.1712252934421657,0.11289498481819232
32,0.2746456185234268,0.20943240684685432
32,-0.1403136374378816,-0.18936858372380783
32,-0.1335258311286684,-0.18292403523945341
32,-0.013675618404863199,-0.061657336446442834
32,0.0314323791035217,-0.04275386277158427
32,0.09465080674408438,0.020656034175845273
32,0.1765844530401917,0.1332955920606535
32,0.2151025120544034,0.14903864321386734
32,-0.031171345157173402,-0.10464235607883621
32,0.006110019302178138,-0.06158914830242751
32,0.01658691846216187,-0.04654386772188562
32,0.018242458009465223,-0.03719322913983464
32,-0.13904027471470004,-0.21214336593818903
32,0.11403788403294873,0.06737363735727836
32,0.4602439024298793,0.4129663273170309
32,0.22353922742218774,0.16686032744320073
32,0.23767750208867927,0.1853940958332822
32,-0.12890422837293752,-0.17696656281860085
32,-0.17612438152178908,-0.2492991035423649
32,0.22164799283445707,0.149262622484516
32,0.30782734981340293,0.2543031793651506
32,0.24266559401457083,0.1870894105777649
32,0.048851920415336314,-0.016612935860525424
32,0.21840953406083347,0.1641178921176794
32,-0.12040346896526166,-0.1844232727421805
32,0.3478201817325996,0.292773525038411
32,-0.5388123834714709,-0.5846095275530495
32,0.11184950154055734,0.045912058878226025
32,-0.08662766164855012,-0.14519670166072862
32,0.2736228053647651,0.20807302644848652
32,0.04225762630859842,-0.009682052748863579
32,-0.4574856753653087,-0.5177837212932956
32,0.08817217812039563,0.028649777295740142
32,0.030646435796713056,-0.02946194528652507
32,-0.03172053219313559,-0.0937264165430397
32,0.3034945447021598,0.2350799981588519
32,0.002344795734059213,-0.05666430901006575
32,-0.1987875358596984,-0.25074136332657965
32,0.1268660271283299,0.08766064552321945
32,0.3703329806368158,0.33177835248000814
32,0.18799870730424534,0.12781798662797966
32,0.16888647116439032,0.1159578971439233
32,-0.20777228735448086,-0.2619318382827667
32,-0.12841057685823037,-0.1698503710847234
32,0.11490089791399166,0.053291051495417796
32,0.30143432407630527,0.25555538820865714
32,-0.1685397855711201,-0.21361407187116152
32,-0.04079437791709656,-0.11835572984624537
32,0.10846072191244832,0.037424845284922625
32,0.0647956486498446,0.014401525578689622
32,0.3143379197893155,0.25056888681795825
32,0.001015873913431442,-0.04181944161384815
32,-0.09114135031925097,-0.13147480676010603
32,-0.23662616242674775,-0.26718622358806277
32,0.1575140727974021,0.1092974030621478
32,0.08403044756816874,0.02537623032305686
32,-0.06825367991649461,-0.1345012610519971
32,0.06301128663511085,-0.004389375865937795
32,-0.25005537630461716,-0.282733507008628
32,0.18655869761347627,0.1306511317853884
32,-0.004654455831949622,-0.06531598278395429
32,0.28795513430199876,0.21847233662287652
32,-0.015259620642433747,-0.051787475130658955
32,-0.013188727827321889,-0.06905143834748395
32,-0.06719011012511655,-0.11701077588837294
32,0.07229022984982414,0.004524478934749054
32,0.140098616767713,0.08528940530293155
32,0.3211361808567261,0.2755919787242879
32,-0.004336228156681998,-0.06076584463339535
32,0.13805020249007477,0.07072547613649116
32,-0.04793588186039116,-0.11141269727704861
32,-0.1128334562765636,-0.17736059220553488
32,-0.03801447237652644,-0.0885277946291565
32,0.23883801298725155,0.19385689602049622
32,0.21424364140323865,0.14916901775370556
32,0.16872305103614776,0.11771284430596413
32,0.1748483067393813,0.11162764947733167
32,0.042382853887083516,-0.016015941746394424
32,0.0912839442072037,0.015710803249969485
32,0.24155324215998314,0.1700949657625756
32,0.004494081188302579,-0.05442931710544785
32,-0.15408449206313635,-0.223661057137749
