seed,episode,method,asset,weight
0,18,DRCPT-PG,Stock_5,0.0006175997838165436
0,19,DRCPT-PG,Cash,0.000512410539031978
0,19,DRCPT-PG,Stock_1,0.9827415480134378
0,19,DRCPT-PG,Stock_2,0.0050503396253960475
0,19,DRCPT-PG,Stock_3,0.00019359592265390314
0,19,DRCPT-PG,Stock_4,0.011298267134337136
0,19,DRCPT-PG,Stock_5,0.00020383876514315911
0,20,DRCPT-PG,Cash,0.00019963923320476438
0,20,DRCPT-PG,Stock_1,0.9834019110656002
0,20,DRCPT-PG,Stock_2,0.0017660701263399992
0,20,DRCPT-PG,Stock_3,5.385347334799959e-05
0,20,DRCPT-PG,Stock_4,0.014448143944422459
0,20,DRCPT-PG,Stock_5,0.00013038215708464812
0,21,DRCPT-PG,Cash,0.0001314712807075795
0,21,DRCPT-PG,Stock_1,0.9599622100628473
0,21,DRCPT-PG,Stock_2,0.0012785810321731905
0,21,DRCPT-PG,Stock_3,0.001940511556824902
0,21,DRCPT-PG,Stock_4,0.03582531845079813
0,21,DRCPT-PG,Stock_5,0.0008619076166487395
0,22,DRCPT-PG,Cash,0.0013416218209217976
0,22,DRCPT-PG,Stock_1,0.7866285252154033
0,22,DRCPT-PG,Stock_2,0.006344647635354485
0,22,DRCPT-PG,Stock_3,0.0013412673515362358
0,22,DRCPT-PG,Stock_4,0.20146866787038295
0,22,DRCPT-PG,Stock_5,0.0028752701064013457
0,23,DRCPT-PG,Cash,0.0007266977509719093
0,23,DRCPT-PG,Stock_1,0.9286778348920585
0,23,DRCPT-PG,Stock_2,0.0109110656263343
0,23,DRCPT-PG,Stock_3,0.0004649140188752682
0,23,DRCPT-PG,Stock_4,0.058391568938792486
0,23,DRCPT-PG,Stock_5,0.0008279187729676703
0,24,DRCPT-PG,Cash,0.0004093474512764021
0,24,DRCPT-PG,Stock_1,0.9690755792971457
0,24,DRCPT-PG,Stock_2,0.0032951138203258386
0,24,DRCPT-PG,Stock_3,0.0002701380743585612
0,24,DRCPT-PG,Stock_4,0.026631912138059887
0,24,DRCPT-PG,Stock_5,0.0003179092188333688
0,25,DRCPT-PG,Cash,0.0005617975639564909
0,25,DRCPT-PG,Stock_1,0.9812998228530254
0,25,DRCPT-PG,Stock_2,0.0019744483775108596
0,25,DRCPT-PG,Stock_3,0.00011434486287698792
0,25,DRCPT-PG,Stock_4,0.015862372204319262
0,25,DRCPT-PG,Stock_5,0.00018721413831102523
0,26,DRCPT-PG,Cash,0.001581946837567304
0,26,DRCPT-PG,Stock_1,0.9913306119490303
0,26,DRCPT-PG,Stock_2,0.0010552813083351163
0,26,DRCPT-PG,Stock_3,5.831199099213295e-05
0,26,DRCPT-PG,Stock_4,0.005801697594054259
0,26,DRCPT-PG,Stock_5,0.00017215032002088537
0,27,DRCPT-PG,Cash,0.00047443998317693933
0,27,DRCPT-PG,Stock_1,0.95220416857842
0,27,DRCPT-PG,Stock_2,0.000676879286863095
0,27,DRCPT-PG,Stock_3,2.273807620082837e-05
0,27,DRCPT-PG,Stock_4,0.04630017385175535
0,27,DRCPT-PG,Stock_5,0.0003216002235836888
0,28,DRCPT-PG,Cash,0.00023565663622082705
0,28,DRCPT-PG,Stock_1,0.9857984133280964
0,28,DRCPT-PG,Stock_2,0.0004331671732016137
0,28,DRCPT-PG,Stock_3,3.5209326708478584e-05
0,28,DRCPT-PG,Stock_4,0.012979116071933583
0,28,DRCPT-PG,Stock_5,0.0005184374638390971
0,29,DRCPT-PG,Cash,0.002080509877852037
0,29,DRCPT-PG,Stock_1,0.9271559623946286
0,29,DRCPT-PG,Stock_2,0.006871961026145756
0,29,DRCPT-PG,Stock_3,0.0008373586071375172
0,29,DRCPT-PG,Stock_4,0.06177901177078473
0,29,DRCPT-PG,Stock_5,0.0012751963234513843
0,30,DRCPT-PG,Cash,0.0008760285980430939
0,30,DRCPT-PG,Stock_1,0.7224502684651793
0,30,DRCPT-PG,Stock_2,0.0036356181063403226
0,30,DRCPT-PG,Stock_3,0.00039363569470229464
0,30,DRCPT-PG,Stock_4,0.2718877637133445
0,30,DRCPT-PG,Stock_5,0.000756685422390442
0,31,DRCPT-PG,Cash,0.001576838707024993
0,31,DRCPT-PG,Stock_1,0.859277408509662
0,31,DRCPT-PG,Stock_2,0.0025247116590557286
0,31,DRCPT-PG,Stock_3,0.000277417840463326
0,31,DRCPT-PG,Stock_4,0.13590713695549425
0,31,DRCPT-PG,Stock_5,0.0004364863282997552
0,32,DRCPT-PG,Cash,0.0008026573606406196
0,32,DRCPT-PG,Stock_1,0.8171755770351423
0,32,DRCPT-PG,Stock_2,0.0014704073821205854
0,32,DRCPT-PG,Stock_3,0.0004817387306986976
0,32,DRCPT-PG,Stock_4,0.1797570511353021
0,32,DRCPT-PG,Stock_5,0.0003125683560956726
0,33,DRCPT-PG,Cash,0.00026190115804467927
0,33,DRCPT-PG,Stock_1,0.9314607595154061
0,33,DRCPT-PG,Stock_2,0.0012358903092535192
0,33,DRCPT-PG,Stock_3,0.0010909883663508236
0,33,DRCPT-PG,Stock_4,0.06502598597514209
0,33,DRCPT-PG,Stock_5,0.000924474675802837
0,34,DRCPT-PG,Cash,0.0006266535749938357
0,34,DRCPT-PG,Stock_1,0.9573088810132195
0,34,DRCPT-PG,Stock_2,0.002908304911324862
0,34,DRCPT-PG,Stock_3,0.000281323751850032
0,34,DRCPT-PG,Stock_4,0.03844664640305256
0,34,DRCPT-PG,Stock_5,0.0004281903455591416
0,35,DRCPT-PG,Cash,0.0004290692880184495
0,35,DRCPT-PG,Stock_1,0.917387666980257
0,35,DRCPT-PG,Stock_2,0.005433720315416845
0,35,DRCPT-PG,Stock_3,0.00031522480657246747
0,35,DRCPT-PG,Stock_4,0.07625776995160484
0,35,DRCPT-PG,Stock_5,0.00017654865813042709
0,36,DRCPT-PG,Cash,0.00039772140954365753
0,36,DRCPT-PG,Stock_1,0.9553826648463797
0,36,DRCPT-PG,Stock_2,0.004217730692276804
0,36,DRCPT-PG,Stock_3,0.000355150248395048
0,36,DRCPT-PG,Stock_4,0.039574594575514765
0,36,DRCPT-PG,Stock_5,7.213822788992792e-05
0,37,DRCPT-PG,Cash,0.00041723802611335606
0,37,DRCPT-PG,Stock_1,0.9767170532908004
0,37,DRCPT-PG,Stock_2,0.0024956384451595794
0,37,DRCPT-PG,Stock_3,0.00046994773222195653
0,37,DRCPT-PG,Stock_4,0.019786388354186626
0,37,DRCPT-PG,Stock_5,0.00011373415151805789
0,38,DRCPT-PG,Cash,0.0003064866007067054
0,38,DRCPT-PG,Stock_1,0.9924001534512901
0,38,DRCPT-PG,Stock_2,0.0009558947608386695
0,38,DRCPT-PG,Stock_3,0.0008731751889229141
0,38,DRCPT-PG,Stock_4,0.00530827194547462
0,38,DRCPT-PG,Stock_5,0.00015601805276694553
0,39,DRCPT-PG,Cash,0.0002114183512483839
0,39,DRCPT-PG,Stock_1,0.9868855215235955
0,39,DRCPT-PG,Stock_2,0.0011018512412902452
0,39,DRCPT-PG,Stock_3,0.0002107771762844511
0,39,DRCPT-PG,Stock_4,0.011525545828908412
0,39,DRCPT-PG,Stock_5,6.488587867301445e-05
0,40,DRCPT-PG,Cash,0.00023230865230059733
0,40,DRCPT-PG,Stock_1,0.9642987718546029
0,40,DRCPT-PG,Stock_2,0.0018756930882397242
0,40,DRCPT-PG,Stock_3,5.299931749073501e-05
0,40,DRCPT-PG,Stock_4,0.0326437279439784
0,40,DRCPT-PG,Stock_5,0.0008964991433877198
0,41,DRCPT-PG,Cash,0.0004606258988175818
0,41,DRCPT-PG,Stock_1,0.9537146679503831
0,41,DRCPT-PG,Stock_2,0.0015292959620884514
0,41,DRCPT-PG,Stock_3,6.824987960381203e-05
0,41,DRCPT-PG,Stock_4,0.043933267715036375
0,41,DRCPT-PG,Stock_5,0.00029389259407067554
0,42,DRCPT-PG,Cash,0.00027664973829580564
0,42,DRCPT-PG,Stock_1,0.9793577981507143
0,42,DRCPT-PG,Stock_2,0.003918629507880732
0,42,DRCPT-PG,Stock_3,0.0011419689909519897
0,42,DRCPT-PG,Stock_4,0.014999091571223708
0,42,DRCPT-PG,Stock_5,0.00030586204093356205
0,43,DRCPT-PG,Cash,0.0002895040780350814
0,43,DRCPT-PG,Stock_1,0.9857883491692475
0,43,DRCPT-PG,Stock_2,0.0019352104164515956
0,43,DRCPT-PG,Stock_3,0.0004215457212562736
0,43,DRCPT-PG,Stock_4,0.011319789458951242
0,43,DRCPT-PG,Stock_5,0.0002456011560581594
0,44,DRCPT-PG,Cash,0.0005453779628813021
0,44,DRCPT-PG,Stock_1,0.8118360577745557
0,44,DRCPT-PG,Stock_2,0.0014838927850701084
0,44,DRCPT-PG,Stock_3,0.0001516393348860265
0,44,DRCPT-PG,Stock_4,0.18544110877893702
0,44,DRCPT-PG,Stock_5,0.0005419233636696509
0,45,DRCPT-PG,Cash,0.0005113770616611562
0,45,DRCPT-PG,Stock_1,0.950311051038196
0,45,DRCPT-PG,Stock_2,0.003067665610121313
0,45,DRCPT-PG,Stock_3,3.855371847107394e-05
0,45,DRCPT-PG,Stock_4,0.04589476269595956
0,45,DRCPT-PG,Stock_5,0.0001765898755908588
0,46,DRCPT-PG,Cash,0.00027863731167248386
0,46,DRCPT-PG,Stock_1,0.9669509184187304
0,46,DRCPT-PG,Stock_2,0.002602362401248837
0,46,DRCPT-PG,Stock_3,9.237759022190668e-05
0,46,DRCPT-PG,Stock_4,0.02894697021987197
0,46,DRCPT-PG,Stock_5,0.0011287340582543381
0,47,DRCPT-PG,Cash,0.0009395691782838015
0,47,DRCPT-PG,Stock_1,0.9861056528355395
0,47,DRCPT-PG,Stock_2,0.001437231561458365
0,47,DRCPT-PG,Stock_3,6.237029121779092e-05
0,47,DRCPT-PG,Stock_4,0.010790874700739327
0,47,DRCPT-PG,Stock_5,0.0006643014327611708
0,48,DRCPT-PG,Cash,0.00039066882486045977
0,48,DRCPT-PG,Stock_1,0.9267141036159294
0,48,DRCPT-PG,Stock_2,0.0008948250863172829
0,48,DRCPT-PG,Stock_3,7.416920468413236e-05
0,48,DRCPT-PG,Stock_4,0.07149619495899835
0,48,DRCPT-PG,Stock_5,0.0004300383092103179
0,49,DRCPT-PG,Cash,0.0006389168903820054
0,49,DRCPT-PG,Stock_1,0.9354413175998155
0,49,DRCPT-PG,Stock_2,0.0025941660588885674
0,49,DRCPT-PG,Stock_3,0.0007123451188254014
0,49,DRCPT-PG,Stock_4,0.060293559058310416
0,49,DRCPT-PG,Stock_5,0.0003196952737781956
0,50,DRCPT-PG,Cash,0.0012843701795494382
0,50,DRCPT-PG,Stock_1,0.8531236955429761
0,50,DRCPT-PG,Stock_2,0.006994333077500661
0,50,DRCPT-PG,Stock_3,0.0011530526663926007
0,50,DRCPT-PG,Stock_4,0.13699606617544244
0,50,DRCPT-PG,Stock_5,0.00044848235813893083
0,51,DRCPT-PG,Cash,0.00036507897432818954
0,51,DRCPT-PG,Stock_1,0.9598951543985818
0,51,DRCPT-PG,Stock_2,0.0021481291398512837
0,51,DRCPT-PG,Stock_3,0.0004075852847284609
0,51,DRCPT-PG,Stock_4,0.036302359630695634
0,51,DRCPT-PG,Stock_5,0.0008816925718146773
0,52,DRCPT-PG,Cash,0.0004691321437347076
0,52,DRCPT-PG,Stock_1,0.9551919306545529
0,52,DRCPT-PG,Stock_2,0.013129638218781428
0,52,DRCPT-PG,Stock_3,0.0007001743114911518
0,52,DRCPT-PG,Stock_4,0.030268473084767256
0,52,DRCPT-PG,Stock_5,0.0002406515866726466
0,53,DRCPT-PG,Cash,0.0002963352940107731
0,53,DRCPT-PG,Stock_1,0.9841934309872912
0,53,DRCPT-PG,Stock_2,0.003353808806218533
0,53,DRCPT-PG,Stock_3,0.00048817116494832705
0,53,DRCPT-PG,Stock_4,0.009783533855699173
0,53,DRCPT-PG,Stock_5,0.0018847198918320054
0,54,DRCPT-PG,Cash,0.0003358696330140117
0,54,DRCPT-PG,Stock_1,0.9914973499258714
0,54,DRCPT-PG,Stock_2,0.0008911516988024203
0,54,DRCPT-PG,Stock_3,0.0004030155902073589
0,54,DRCPT-PG,Stock_4,0.005936428409002954
0,54,DRCPT-PG,Stock_5,0.0009361847431019355
0,55,DRCPT-PG,Cash,0.0003097819420883584
0,55,DRCPT-PG,Stock_1,0.8437243044082501
0,55,DRCPT-PG,Stock_2,0.0006832030850236908
0,55,DRCPT-PG,Stock_3,0.00019941039357158213
0,55,DRCPT-PG,Stock_4,0.1548227126077326
0,55,DRCPT-PG,Stock_5,0.00026058756333379693
0,56,DRCPT-PG,Cash,0.0003117548374847894
0,56,DRCPT-PG,Stock_1,0.9155123107923546
0,56,DRCPT-PG,Stock_2,0.0016331069088336811
0,56,DRCPT-PG,Stock_3,0.001024132756261182
0,56,DRCPT-PG,Stock_4,0.08090206726480059
0,56,DRCPT-PG,Stock_5,0.000616627440264992
0,57,DRCPT-PG,Cash,0.0016805995595069088
0,57,DRCPT-PG,Stock_1,0.824158599848027
0,57,DRCPT-PG,Stock_2,0.004508327338973121
0,57,DRCPT-PG,Stock_3,0.0007748248744062764
0,57,DRCPT-PG,Stock_4,0.1679037273382139
0,57,DRCPT-PG,Stock_5,0.0009739210408728002
0,58,DRCPT-PG,Cash,0.002195524008023381
0,58,DRCPT-PG,Stock_1,0.7877346048167919
0,58,DRCPT-PG,Stock_2,0.0016226032348870463
0,58,DRCPT-PG,Stock_3,0.0002977986031566829
0,58,DRCPT-PG,Stock_4,0.20628881817114197
0,58,DRCPT-PG,Stock_5,0.0018606511659990277
0,59,DRCPT-PG,Cash,0.000857799542150969
0,59,DRCPT-PG,Stock_1,0.9252051681610282
0,59,DRCPT-PG,Stock_2,0.0023475274085502616
0,59,DRCPT-PG,Stock_3,0.00010469924186449369
0,59,DRCPT-PG,Stock_4,0.06957231964021361
0,59,DRCPT-PG,Stock_5,0.00191248600619253
0,60,DRCPT-PG,Cash,0.08119084278883376
0,60,DRCPT-PG,Stock_1,0.7939864875741667
0,60,DRCPT-PG,Stock_2,0.0027359013129338583
0,60,DRCPT-PG,Stock_3,6.156488557115159e-05
0,60,DRCPT-PG,Stock_4,0.121261135337234
0,60,DRCPT-PG,Stock_5,0.0007640681012605588
0,61,DRCPT-PG,Cash,0.10789891158257581
0,61,DRCPT-PG,Stock_1,0.8440707534680717
0,61,DRCPT-PG,Stock_2,0.0012266336716834209
0,61,DRCPT-PG,Stock_3,3.2626781654123584e-05
0,61,DRCPT-PG,Stock_4,0.046119370953996625
0,61,DRCPT-PG,Stock_5,0.0006517035420183775
0,62,DRCPT-PG,Cash,0.11394516587465933
0,62,DRCPT-PG,Stock_1,0.783044183737169
0,62,DRCPT-PG,Stock_2,0.0133816418908452
0,62,DRCPT-PG,Stock_3,0.0007280633507305041
0,62,DRCPT-PG,Stock_4,0.08802154127573801
0,62,DRCPT-PG,Stock_5,0.0008794038708580263
0,63,DRCPT-PG,Cash,0.11204426011823637
0,63,DRCPT-PG,Stock_1,0.8482601623652064
0,63,DRCPT-PG,Stock_2,0.009825504278980551
0,63,DRCPT-PG,Stock_3,0.0007592103269311063
0,63,DRCPT-PG,Stock_4,0.028509297053127075
0,63,DRCPT-PG,Stock_5,0.0006015658575185445
0,64,DRCPT-PG,Cash,0.04872757515114495
0,64,DRCPT-PG,Stock_1,0.9384185379821078
0,64,DRCPT-PG,Stock_2,0.002594131099456779
0,64,DRCPT-PG,Stock_3,0.0002213138148310853
0,64,DRCPT-PG,Stock_4,0.00983881593148231
0,64,DRCPT-PG,Stock_5,0.00019962602097714808
0,65,DRCPT-PG,Cash,0.040100184604349616
0,65,DRCPT-PG,Stock_1,0.9521293648224614
0,65,DRCPT-PG,Stock_2,0.0011475849866506987
0,65,DRCPT-PG,Stock_3,0.0008658258928328528
0,65,DRCPT-PG,Stock_4,0.005125638739107167
0,65,DRCPT-PG,Stock_5,0.0006314009545982915
0,66,DRCPT-PG,Cash,0.07006294403182432
0,66,DRCPT-PG,Stock_1,0.9218561739909876
0,66,DRCPT-PG,Stock_2,0.00031775392797087385
0,66,DRCPT-PG,Stock_3,0.0003617343671739306
0,66,DRCPT-PG,Stock_4,0.007150648410534066
0,66,DRCPT-PG,Stock_5,0.0002507452715092634
0,67,DRCPT-PG,Cash,0.1431066898541254
0,67,DRCPT-PG,Stock_1,0.8419322810121199
0,67,DRCPT-PG,Stock_2,0.0012420312330939578
0,67,DRCPT-PG,Stock_3,0.0005647611787269056
0,67,DRCPT-PG,Stock_4,0.012963870194636603
0,67,DRCPT-PG,Stock_5,0.0001903665272971658
0,68,DRCPT-PG,Cash,0.39609689346093985
0,68,DRCPT-PG,Stock_1,0.4145409828437206
0,68,DRCPT-PG,Stock_2,0.0027463209829911846
0,68,DRCPT-PG,Stock_3,0.00015652216866578048
0,68,DRCPT-PG,Stock_4,0.18574796400691268
0,68,DRCPT-PG,Stock_5,0.0007113165367699133
0,69,DRCPT-PG,Cash,0.18830087930689238
0,69,DRCPT-PG,Stock_1,0.6392651414889348
0,69,DRCPT-PG,Stock_2,0.0009353923701716298
0,69,DRCPT-PG,Stock_3,0.0006145201777685884
0,69,DRCPT-PG,Stock_4,0.17066194500503967
0,69,DRCPT-PG,Stock_5,0.0002221216511930527
0,70,DRCPT-PG,Cash,0.24789871242405817
0,70,DRCPT-PG,Stock_1,0.4614232398976539
0,70,DRCPT-PG,Stock_2,0.0029746966970633504
0,70,DRCPT-PG,Stock_3,0.00021002188931050454
0,70,DRCPT-PG,Stock_4,0.28640330476889936
0,70,DRCPT-PG,Stock_5,0.001090024323014765
0,71,DRCPT-PG,Cash,0.20980566014678012
0,71,DRCPT-PG,Stock_1,0.6553057558431251
0,71,DRCPT-PG,Stock_2,0.0013973923890296133
0,71,DRCPT-PG,Stock_3,0.0018535525817305282
0,71,DRCPT-PG,Stock_4,0.13135624388003211
0,71,DRCPT-PG,Stock_5,0.0002813951593026265
0,72,DRCPT-PG,Cash,0.4712738928724102
0,72,DRCPT-PG,Stock_1,0.4621033824285138
0,72,DRCPT-PG,Stock_2,0.002190237492844149
0,72,DRCPT-PG,Stock_3,0.0006237789063614112
0,72,DRCPT-PG,Stock_4,0.06302097798150645
0,72,DRCPT-PG,Stock_5,0.0007877303183640087
0,73,DRCPT-PG,Cash,0.19207911247692191
0,73,DRCPT-PG,Stock_1,0.7831618975384244
0,73,DRCPT-PG,Stock_2,0.002830017331883053
0,73,DRCPT-PG,Stock_3,0.00026894559337940446
0,73,DRCPT-PG,Stock_4,0.02144243747255727
0,73,DRCPT-PG,Stock_5,0.00021758958683400055
0,74,DRCPT-PG,Cash,0.10446520367100309
0,74,DRCPT-PG,Stock_1,0.8845331500946945
0,74,DRCPT-PG,Stock_2,0.0018964589409410336
0,74,DRCPT-PG,Stock_3,9.92797112647492e-05
0,74,DRCPT-PG,Stock_4,0.008046994464408989
0,74,DRCPT-PG,Stock_5,0.0009589131176876585
0,75,DRCPT-PG,Cash,0.1603183335253543
0,75,DRCPT-PG,Stock_1,0.824866510540862
0,75,DRCPT-PG,Stock_2,0.0006863342001164113
0,75,DRCPT-PG,Stock_3,3.5508388491703e-05
0,75,DRCPT-PG,Stock_4,0.013846308783281426
0,75,DRCPT-PG,Stock_5,0.00024700456189417295
0,76,DRCPT-PG,Cash,0.07494714328442846
0,76,DRCPT-PG,Stock_1,0.8970570061389844
0,76,DRCPT-PG,Stock_2,0.0013605579962168855
