seed,episode,method,regime,wealth,reference,ret,turnover,local_regret,smoothed_regret,dynamic_local_regret,ref_gap,cash_weight
0,0,DRCPT-PG,Uptrend,0.9933540830079925,0.9993354083007993,-0.0066459169920074414,1.5168830202275907,0.04779854353757768,0.005735825224509322,0.005735825224509322,-0.005981325292806705,0.2415584898862047
0,1,DRCPT-PG,Uptrend,1.005899951852522,1.0019612257214883,0.012629805483397373,0.8247414237119398,0.023233519004220715,0.007835548478074689,0.01357137370258401,0.003938726131033743,0.05851159185972432
0,2,DRCPT-PG,Uptrend,0.9972533786295975,1.0014904410122991,-0.008595858074155877,0.1538776434524645,0.09623587241780457,0.018443587350842273,0.032014961053426286,-0.004237062382701606,0.0141983723450578
0,3,DRCPT-PG,Uptrend,1.0025227304330886,1.0019033567806148,0.005283864578861727,0.0950049239908121,0.0894978427996589,0.02697009800470027,0.05898505905812655,0.0006193736524737758,0.004112349102538071
0,4,DRCPT-PG,Uptrend,1.0169893690726854,1.007937761697443,0.01443023504648847,0.021267155550300135,0.10324921251702883,0.0361235917461797,0.09510865080430625,0.009051607375242465,0.0022187587966497678
0,5,DRCPT-PG,Uptrend,1.0166925899457642,1.0114396929967715,-0.00029182126770105517,0.1886368719677948,0.0567208199320797,0.03859525912848769,0.13370390993279394,0.005252896948992669,0.001536125382248718
0,6,DRCPT-PG,Uptrend,1.0153771449581477,1.013014673781322,-0.0012938473247715567,0.05579098628968126,0.0399528686635331,0.03875817227269314,0.1724620822054871,0.0023624711768257534,0.0004586678583096143
0,7,DRCPT-PG,Uptrend,1.0223436968529367,1.0167462830099678,0.006861048556569689,0.03855289271057732,0.021585717050795514,0.03669747764606543,0.20915955985155252,0.005597413842968857,0.0002857061547455811
0,8,DRCPT-PG,Uptrend,1.0278223582448318,1.0211767131039133,0.005358923235659458,0.23219083157076187,0.09867450511331202,0.044134720942135025,0.25329428079368754,0.006645645140918477,0.0009349785761711448
0,9,DRCPT-PG,Uptrend,1.0273459683786486,1.0236444152138073,-0.0004634943600534448,0.10694885770770485,0.08596452959255074,0.04915429798018491,0.30244857877387243,0.0037015531648412203,0.000634794752174294
