method,seed,terminal_wealth,annualized_return,sharpe,max_drawdown,total_turnover,return_per_turnover,cumulative_fee,mean_cash
dynamic,29,1.1833968460927935,0.08857341888238168,1.1362704138897728,0.1443557801957488,1.2287095164760151,0.14925972626856712,0.0025280712963671754,0.03231576319909722
symmetric,29,1.1834769196011916,0.08861054157113757,1.136598219653922,0.14463565181385796,1.2373047568331301,0.14828757312046473,0.002543656402119788,0.03223112315652055
static,29,1.1906238890880243,0.0919189281291184,1.1753478687910444,0.1447845008894698,1.5424866195596232,0.12358219946338792,0.0032440411570063936,0.03227688584569401
expected,29,1.1860772986651644,0.08981542069919746,1.1507245063769387,0.14461852515435147,1.1725567405979114,0.15869364118812682,0.0023988532110270034,0.03226010250536022
exponential,29,1.1822349556001563,0.08803461732923412,1.129758569455144,0.14448423070430239,1.0109274208116843,0.18026512274623827,0.002032987776815275,0.03226167085911635
equal_weight,29,1.1879338455981157,0.09067484560265071,1.1262245646690767,0.14894188681795795,1.0000000000000004,0.18793384559811557,0.002000000000000001,0.0
dynamic,147,0.9860993389528422,-0.007030254052325824,-0.042906965582874386,0.22244460590939352,1.6305786374704117,-0.008524986607651453,0.0032339315320581864,0.0320111196455034
symmetric,147,0.9753389731693626,-0.012506122891724702,-0.10933046913200452,0.22655535521932013,1.4583138275503407,-0.01691064458468637,0.002889783869522069,0.03220587126876659
static,147,0.9888717799968736,-0.005624188047422596,-0.02598636803697555,0.22241465112270176,1.790901402719724,-0.006213753580306942,0.0035563797413415746,0.032378058218517164
expected,147,0.9805301078677993,-0.009860672882509025,-0.07722881669705733,0.22513392031268564,1.1602272706849686,-0.016781101965226357,0.0023301290832806426,0.032277314740673003
exponential,147,0.9787217628510433,-0.010781431897798455,-0.08839834728810504,0.22558441153661546,1.017211608524913,-0.020918201257861067,0.002036921649484156,0.03225011879121595
equal_weight,147,0.9771073616522118,-0.011604153292951724,-0.09248585433505299,0.232378960954695,1.0000000000000004,-0.022892638347788197,0.002000000000000001,0.0
dynamic,3141,1.0126673707630638,0.006364424063196816,0.11918382429456355,0.2342207707554792,1.6911571907904244,0.00749035679950202,0.003471419642550687,0.03216513716611577
symmetric,3141,1.0067439610240998,0.0033932906314240174,0.08233994025839941,0.23553208302601736,1.4181919285483,0.004755323231181481,0.002885118772503096,0.03224391879409028
static,3141,1.017880481432197,0.0089721536327938,0.15140748944192492,0.23238157174646845,1.8740076551274005,0.009541306506019222,0.00387502366581753,0.03216689890744911
expected,3141,1.007378071961512,0.003711769129674636,0.08629485582848061,0.23561422049606362,1.1981039696618034,0.006158123291749566,0.0024371865431324726,0.03229648650774574
exponential,3141,1.004118269648215,0.002073492362597573,0.06593955500837867,0.23618354196780145,1.0091072211395107,0.004081102148456013,0.002026887375387854,0.03226555870471577
equal_weight,3141,1.003353050201239,0.0016885343679584608,0.06181364861446573,0.24318648239848162,1.0000000000000004,0.0033530502012391037,0.002000000000000001,0.0
dynamic,42,0.8914024867796462,-0.056292914035678376,-0.6427527161862755,0.2807316489467627,1.6012162150736022,-0.06782189200810834,0.003090176353943674,0.03209551988431598
symmetric,42,0.8862972631163557,-0.05902080406742538,-0.677603689289214,0.28133184966912606,1.2894998185564344,-0.08817584558556349,0.0025236218802603865,0.0322812491987318
static,42,0.8946260611057588,-0.05457444135297207,-0.6214571237702201,0.2802674490342407,1.346364713005456,-0.07826552335809336,0.0026492321692583067,0.032214151634400084
expected,42,0.8916309720568596,-0.05617100819110976,-0.6415898526873091,0.28036336790152794,1.1570458369213805,-0.09366009926753137,0.0023131170239360246,0.03226917437496162
exponential,42,0.890608277688968,-0.05671677630451322,-0.6485262691834751,0.2804044950142427,1.014969302809009,-0.10777835547171884,0.0020309414256338837,0.03225745660741948
equal_weight,42,0.8865923176429694,-0.05886293480479077,-0.6509334919080508,0.28836655316415816,1.0000000000000004,-0.11340768235703053,0.002000000000000001,0.0
dynamic,3407,1.0370590164150846,0.01850918471342,0.2648822133494065,0.2573410004904809,1.5047397740070405,0.02462818957486478,0.0030205267299956966,0.03232837606043767
symmetric,3407,1.0397761552401743,0.019853254836626588,0.2809660927010752,0.25739770600041223,1.334092273351415,0.02981514549983217,0.002689349845483389,0.032249319208728325
static,3407,1.038923128303013,0.019431481129835948,0.27595647185091904,0.25752556155514017,1.4244993557177845,0.027324075751090898,0.0028757727571805834,0.0323400312260242
expected,3407,1.0417746425038146,0.02084072251621394,0.29275484193644186,0.2574443827265247,1.1547195711821183,0.03617730533574374,0.0023312160125887387,0.03227361747856444
exponential,3407,1.0402609163065577,0.020092865364569557,0.28382619601699105,0.2573537266381859,1.0195953174813321,0.03948715300695253,0.0020440268702491536,0.03225864333012576
equal_weight,3407,1.0407153192658227,0.020317420026625843,0.2799697343724875,0.26474240896760215,1.0000000000000004,0.040715319265822704,0.002000000000000001,0.0
dynamic,592,0.9746867631835768,-0.012838988444694555,-0.11318171150939388,0.23994635434413558,1.616020954874871,-0.015663928577202873,0.0032474270014285957,0.032191313281640474
symmetric,592,0.9669162960376643,-0.016813299191442033,-0.16164589966811835,0.24284545753721765,1.5087363905798283,-0.02192808774872939,0.0030122147004477125,0.03229223208588352
static,592,0.9649023081553719,-0.01784596314843001,-0.17428624931994888,0.24388348416446148,1.5240695326058458,-0.023028930828778025,0.003083741214822978,0.03224421992368859
expected,592,0.9631041276145409,-0.018768876542565538,-0.18553984134213397,0.2458292583134294,1.1574237049341238,-0.03187758487075317,0.002346857406338587,0.0322765240418377
exponential,592,0.9612939898552062,-0.019698790588612347,-0.19693379993768323,0.24669170148581065,1.0120948307182893,-0.03824346194646991,0.002030415480761779,0.032258262308129323
equal_weight,592,0.9591259073957421,-0.02081373384452656,-0.20105726282743008,0.2542137334630654,1.0000000000000004,-0.040874092604257874,0.002000000000000001,0.0
dynamic,7,0.9589765467664224,-0.020890589023125905,-0.2374308685978289,0.2244622138182465,1.600641289308712,-0.025629385864021335,0.0031764428190502606,0.03235033631315709
symmetric,7,0.9581481763742623,-0.021316944071456678,-0.24303504031790843,0.2250961221404607,1.19009356184716,-0.03516683474934435,0.002385585032473865,0.032236418547818245
static,7,0.9679613186166478,-0.016277888587917566,-0.1757018975841794,0.22554445428012948,1.7449589421757046,-0.018360707870527154,0.003456373510357485,0.03227165984497919
expected,7,0.9613514869021902,-0.019669239536617256,-0.22094778861382505,0.22555367473689536,1.1863584243812135,-0.03257743385433309,0.0023706529078816136,0.032246793319812034
exponential,7,0.959195480669604,-0.020777936166669342,-0.23579919670011934,0.22555132009810874,1.0230758498880803,-0.03988415847648031,0.0020460260333177733,0.03226140251642944
equal_weight,7,0.9569032671944959,-0.021958032009427253,-0.24093780938619774,0.23218158819901746,1.0000000000000004,-0.04309673280550406,0.002000000000000001,0.0
dynamic,101,0.7608444609042846,-0.12868914394064235,-1.4242772393131682,0.3775368641685678,1.7989335743808719,-0.13294295159176409,0.003410113228527623,0.03239051648672889
symmetric,101,0.7630065724326849,-0.12744210467610062,-1.4096120045386442,0.37583260453490386,1.4397797220802155,-0.16460394873800793,0.002780751815774563,0.03250764478548262
static,101,0.7638690965988577,-0.12694511647221451,-1.4032767378224762,0.3746690115794432,1.6619547578693168,-0.14208022347363428,0.0032166899388609985,0.03235996486169185
expected,101,0.7687310029489557,-0.12414886751782661,-1.3687397559555996,0.37183984755590627,1.1423898158320636,-0.20244315368182686,0.002281069018089946,0.03224487785209297
exponential,101,0.7677882478723855,-0.12469039121141035,-1.3754203668906797,0.37243706748811867,1.01393707075042,-0.2290198857762971,0.002027741426866411,0.03225530950586089
equal_weight,101,0.760309175531478,-0.12899815139003434,-1.3789848682124606,0.3825546983319087,1.0000000000000004,-0.23969082446852186,0.002000000000000001,0.0
dynamic,2024,0.9708534599873951,-0.014797611434665958,-0.13600694755093126,0.25085536993604873,1.4717317194293988,-0.019804248035032626,0.002977825538848045,0.032373077852077194
symmetric,2024,0.9838865415172622,-0.00815389986381898,-0.05583263423577886,0.242849810886812,1.2921970575420265,-0.012469815179263984,0.0026086796095106286,0.03208486124795958
static,2024,0.9802246716953464,-0.010016133338176525,-0.07827541380149707,0.24613096254296318,1.7592299698593203,-0.011240900077569123,0.0035819855485495233,0.03227268502818267
expected,2024,0.9813771948671186,-0.009429649418559838,-0.07119775227402679,0.24471737438018615,1.1757362701381135,-0.01583927076664376,0.002381163160137997,0.03223060739328587
exponential,2024,0.9788327034942015,-0.010724919722868265,-0.08680997673056402,0.24606387506050487,1.018652151462272,-0.02077971020373631,0.002044450020347164,0.032253027272466595
equal_weight,2024,0.977056115928351,-0.011630279865734394,-0.0918333543742884,0.2536490721569479,1.0000000000000004,-0.022943884071649035,0.002000000000000001,0.0
dynamic,2025,1.0515120643008824,0.025638670290960563,0.3545769395362127,0.2221723267739013,1.5832935194011892,0.03253475345516765,0.003170715695564502,0.03235021183870618
symmetric,2025,1.0307566703905493,0.01538490224570399,0.23000100647314645,0.2219873225806378,1.3547285843226156,0.02270319733891796,0.002707417527097613,0.03231402785438606
static,2025,1.0319949393426167,0.015999499672685547,0.23753693497542225,0.22147286966105972,1.5924413458516193,0.02009175372516225,0.0031921825749544313,0.03241002814753571
expected,2025,1.0356254142615757,0.017799329747509196,0.2594774043628894,0.22210330463132155,1.1667537490379238,0.03053379026289957,0.00234659038753927,0.032275196812857315
