dimension,M,replication,cost,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9
2,64,17,280,-0.0023927628823696297,0.0014211555708016283,,,,,,,,
2,128,17,536,0.0018298570293860147,0.0006873343805258221,,,,,,,,
2,8,18,92,0.030189207226620746,0.023920798390513354,,,,,,,,
2,16,18,124,0.028277057717597507,0.009682276739666228,,,,,,,,
2,32,18,190,0.012367527494823973,0.006834573671535675,,,,,,,,
2,64,18,318,0.018044261319389084,-0.0004015908302355133,,,,,,,,
2,128,18,604,-0.0021375883862902035,-0.0025634656097557936,,,,,,,,
2,8,19,86,-0.0010561721081725024,-0.0030302820919099597,,,,,,,,
2,16,19,118,-0.005829537959423557,0.001631885826340752,,,,,,,,
2,32,19,192,-0.03526190032841699,-0.000903548793770356,,,,,,,,
2,64,19,344,-0.017122693762994797,-0.001117719533459489,,,,,,,,
2,128,19,680,-0.008019700680195701,0.000258396650704891,,,,,,,,
2,8,20,30,-0.026120228665382387,-0.006324936203971054,,,,,,,,
2,16,20,94,-0.023240815947747375,0.00339035198628152,,,,,,,,
2,32,20,168,-0.01646185892529358,0.0031739251401981545,,,,,,,,
2,64,20,290,-0.032136598924657526,-0.0031546727118047725,,,,,,,,
2,128,20,566,-0.010695636909508985,-0.0032793457245186347,,,,,,,,
2,8,21,58,-0.03980078335058693,-0.0038096837092910646,,,,,,,,
2,16,21,106,-0.01572440610870151,-0.004671806131567677,,,,,,,,
2,32,21,180,-0.004042754512827294,-0.0014214892060234188,,,,,,,,
2,64,21,300,-0.012670530664844758,-0.008298259609166043,,,,,,,,
2,128,21,542,-0.004175443973143568,-0.0055837393563918924,,,,,,,,
2,8,22,32,-0.07072522244151706,-0.03254674903236908,,,,,,,,
2,16,22,64,-0.025906902104164232,-0.018146210428913442,,,,,,,,
2,32,22,120,-0.007044690926683772,-0.012672229104756435,,,,,,,,
2,64,22,398,-0.0035070062605283814,-0.0005982703234922078,,,,,,,,
2,128,22,690,-0.0061999855165402185,-0.0013951120080573996,,,,,,,,
2,8,23,26,-0.005669739098165842,0.004803676124765716,,,,,,,,
2,16,23,74,0.01633979320013798,0.006091732418921918,,,,,,,,
2,32,23,144,-0.003988872868482931,0.0033924696052424117,,,,,,,,
2,64,23,306,0.0033692253526967295,-0.001238568674735766,,,,,,,,
2,128,23,652,-0.013452818401460252,0.0018885568632910534,,,,,,,,
2,8,24,28,-0.04057820219740754,0.009346786305893163,,,,,,,,
2,16,24,58,-0.024992354821071948,0.004328933881223023,,,,,,,,
2,32,24,134,-0.02177448221376571,0.0011883473509359847,,,,,,,,
2,64,24,332,-0.01461071197662631,-0.0011658998481664834,,,,,,,,
2,128,24,616,0.0009520057627223903,0.004217651997394867,,,,,,,,
2,8,25,40,0.0015108707837656762,-0.0017022154559873572,,,,,,,,
2,16,25,64,0.00043166892835442097,0.007451458352111091,,,,,,,,
2,32,25,160,0.001852300920498421,0.0003373884628520232,,,,,,,,
2,64,25,288,-0.008653517074746065,0.0018136142143201739,,,,,,,,
2,128,25,592,0.0038782881931686743,0.0013281329233747073,,,,,,,,
2,8,26,26,0.012334522365980864,0.004394158605438028,,,,,,,,
2,16,26,58,-0.006642144865182349,0.008460338865677514,,,,,,,,
2,32,26,162,0.004421454625649067,0.0015289683893550618,,,,,,,,
2,64,26,292,-0.011141050515987933,-0.0021071982591025183,,,,,,,,
2,128,26,692,-0.007333636116664441,-0.002201776737096741,,,,,,,,
2,8,27,26,-0.013045980523622836,-0.0033570940941730493,,,,,,,,
2,16,27,56,-0.018583723895978614,0.0020038960639989253,,,,,,,,
2,32,27,140,-0.01571100561208106,-0.0014365852720338303,,,,,,,,
2,64,27,254,-0.007125594934651432,-0.0006625100232475099,,,,,,,,
2,128,27,614,0.0027499600103341893,-0.002049606644485949,,,,,,,,
2,8,28,32,0.08427336496839348,-0.021780392857550224,,,,,,,,
2,16,28,58,0.051462876711415396,-0.010441444358274805,,,,,,,,
2,32,28,108,0.008321375003680841,-0.01469862541624225,,,,,,,,
2,64,28,300,0.003859356762243848,-0.002606061164368141,,,,,,,,
2,128,28,556,-0.00411048689198064,-0.0020521151627894917,,,,,,,,
2,8,29,42,-0.0014994226181312708,0.005231929810281948,,,,,,,,
2,16,29,74,-0.004471768806798317,-0.0030434533003237257,,,,,,,,
2,32,29,150,0.0024830337212409827,-0.004276838868155562,,,,,,,,
2,64,29,360,-0.019351187596925907,-0.0036102671875094727,,,,,,,,
2,128,29,678,-0.007037442295800273,0.002606826626300826,,,,,,,,
2,8,30,38,0.02923202762892469,0.001737304627248024,,,,,,,,
2,16,30,114,0.014779222664877675,-0.00019147017177637785,,,,,,,,
2,32,30,184,0.009970767098266966,0.001021432881076717,,,,,,,,
2,64,30,342,-0.002568173546075315,-0.0037371658447886234,,,,,,,,
2,128,30,692,-0.003367382611877312,-0.0026445169521783062,,,,,,,,
2,8,31,38,0.017358874814238527,-0.00015804074845255885,,,,,,,,
2,16,31,86,0.05061129664110188,-0.0005315331030585126,,,,,,,,
2,32,31,148,0.04953873372634639,0.006520218685818379,,,,,,,,
2,64,31,300,0.004786053076788596,-0.00015108714512094022,,,,,,,,
2,128,31,546,0.0018542471166388872,-0.0002076274665047245,,,,,,,,
2,8,32,28,-0.02009586614853944,-0.009190541678766057,,,,,,,,
2,16,32,66,-0.04345137495222916,-0.015567382538711219,,,,,,,,
2,32,32,150,-0.03084504424702802,-0.008710787530547869,,,,,,,,
2,64,32,322,-0.013413938880830641,-0.0024139669203928045,,,,,,,,
2,128,32,600,-0.01213781559164117,0.0005694797084159789,,,,,,,,
2,8,33,34,-0.025843065701399118,-0.001983763000974614,,,,,,,,
2,16,33,72,-0.0004209295779672213,-0.003345286848147284,,,,,,,,
2,32,33,142,-0.003706080817264506,0.0014630073262609754,,,,,,,,
2,64,33,370,-0.0010489460836320594,0.0033064731247555504,,,,,,,,
2,128,33,724,0.008295315628254009,0.0013754607412361673,,,,,,,,
2,8,34,40,-0.02142949244443377,0.008619473530459228,,,,,,,,
2,16,34,68,0.016905746878973203,0.01136397335622801,,,,,,,,
2,32,34,156,0.030598377432377623,0.023699849795039325,,,,,,,,
2,64,34,282,0.016436891453528713,0.010604473503368015,,,,,,,,
2,128,34,540,0.01225973062325424,0.0005337358364294113,,,,,,,,
2,8,35,40,0.02179841797535818,-0.0017627418904127149,,,,,,,,
2,16,35,80,0.018873770515994648,-0.0014281525707053914,,,,,,,,
2,32,35,224,0.05200494926756157,0.00363398232908318,,,,,,,,
2,64,35,370,0.01861375998361297,-4.833456649454184e-05,,,,,,,,
2,128,35,632,0.0073504824248145665,0.0017649988056127818,,,,,,,,
2,8,36,32,-0.015377241999854277,0.005628778740113348,,,,,,,,
2,16,36,82,-0.023633808887267183,0.002804711970605259,,,,,,,,
2,32,36,138,-0.02002564288307374,-0.0005499236637005048,,,,,,,,
2,64,36,278,0.008596544710937917,0.0032038524308123395,,,,,,,,
2,128,36,566,-0.0027087106299803123,-0.0011331454018780828,,,,,,,,
2,8,37,98,0.05130539012536222,0.002133521231655244,,,,,,,,
2,16,37,128,0.029209435084753193,-0.0005962142595424292,,,,,,,,
2,32,37,184,0.014631968294550683,0.0023468313910154914,,,,,,,,
2,64,37,318,0.012611190746296774,0.0013773460444993742,,,,,,,,
2,128,37,630,0.013912205815177775,0.0007140600195342236,,,,,,,,
2,8,38,26,0.03149170235898721,-0.009260068301610901,,,,,,,,
2,16,38,50,0.0029672802831745707,-0.0016708723662585622,,,,,,,,
2,32,38,134,0.01472743124607729,-0.004377193543741024,,,,,,,,
2,64,38,290,0.02380959057780815,-0.002603812437352742,,,,,,,,
2,128,38,694,0.005178672514756199,-0.005590036509258864,,,,,,,,
2,8,39,30,-0.024065064332906446,-0.0023697905735335246,,,,,,,,
2,16,39,66,-0.01672193445431294,-0.0010787850853256706,,,,,,,,
2,32,39,154,0.006386141444856432,-0.0014437530187162832,,,,,,,,
2,64,39,294,-0.007467625562641758,-0.0019217200869187732,,,,,,,,
2,128,39,592,-0.014128130857151719,9.308436372060368e-05,,,,,,,,
2,8,40,30,-0.015070435166851283,-0.0026432777654685972,,,,,,,,
2,16,40,60,0.003626983096036139,-0.0031439273449866494,,,,,,,,
2,32,40,120,0.007047063763145667,-0.00259256138632109,,,,,,,,
2,64,40,240,0.014757269568071898,-0.0007199466461476859,,,,,,,,
2,128,40,548,0.00888157198217884,-0.002507024991949008,,,,,,,,
2,8,41,62,0.008562676679040362,-0.006308684177304601,,,,,,,,
2,16,41,120,0.01769915358455373,-0.0018563627345724015,,,,,,,,
2,32,41,210,0.013525237057570874,-0.0010363132146098486,,,,,,,,
2,64,41,358,-0.010730189783424608,0.0009457857650738983,,,,,,,,
2,128,41,606,0.0013922850190713507,-0.0019744158152921383,,,,,,,,
2,8,42,44,-0.022968059014996225,-0.00950697264311988,,,,,,,,
2,16,42,94,-0.004758957533118138,-0.011225130661480447,,,,,,,,
2,32,42,156,0.006478685667383615,-0.007777415197312613,,,,,,,,
2,64,42,270,0.017195627231912154,-0.004285380909583889,,,,,,,,
2,128,42,562,0.014483938944974191,-0.0034839833358598525,,,,,,,,
2,8,43,32,0.05253027963412299,0.017565665106793082,,,,,,,,
2,16,43,66,0.02546050034190285,0.008953594408130351,,,,,,,,
2,32,43,120,0.014099439118403568,0.006491868653137965,,,,,,,,
2,64,43,320,0.006405647187877182,0.0025017468231171786,,,,,,,,
2,128,43,672,0.023713263786064143,0.006460366516583149,,,,,,,,
2,8,44,38,-0.002667938650031145,-0.0001991045227360068,,,,,,,,
2,16,44,80,0.004990681348204918,-0.004710179155156624,,,,,,,,
2,32,44,152,0.017855029522753866,0.00033462133353257163,,,,,,,,
2,64,44,300,0.022622647826396454,-0.01337204583223245,,,,,,,,
2,128,44,620,0.014219251207831575,-0.006556531140850458,,,,,,,,
2,8,45,26,0.05317029423796401,-0.0008911403537426217,,,,,,,,
2,16,45,54,-0.00026638163043238403,0.0027535239854495804,,,,,,,,
2,32,45,116,-0.003364123696476998,0.00024290816305362693,,,,,,,,
2,64,45,236,0.009077998345165397,-0.0032074202125798885,,,,,,,,
2,128,45,592,-0.005551234031408958,-0.0024200671281735843,,,,,,,,
2,8,46,26,0.025467430016987633,0.006867915307312632,,,,,,,,
2,16,46,56,0.030870941674492287,0.00583582035253773,,,,,,,,
2,32,46,172,-0.004412607698347896,-0.002277367039451064,,,,,,,,
2,64,46,318,-0.02675941414916759,0.0012365733951133656,,,,,,,,
2,128,46,686,-0.00688443325499537,0.0045000668368668974,,,,,,,,
2,8,47,24,0.01467455956766269,0.007178289597261777,,,,,,,,
2,16,47,64,0.026978469874187175,0.004032167668615754,,,,,,,,
2,32,47,138,0.05850456388251781,0.0038747122342906873,,,,,,,,
2,64,47,328,0.044868207401810536,0.001118534076492721,,,,,,,,
2,128,47,636,0.03822423047881268,-0.0035363607904972264,,,,,,,,
2,8,48,34,-0.03670489362242171,0.003073580457379984,,,,,,,,
2,16,48,92,-0.01691277659091516,0.0031659863414047916,,,,,,,,
2,32,48,168,-0.010775977242989279,0.0018737301653056434,,,,,,,,
2,64,48,276,-0.01388294042329698,0.0031054069802693087,,,,,,,,
2,128,48,552,-0.025127130630216862,0.005434474894905547,,,,,,,,
2,8,49,26,-0.005022714239404346,0.004024967235974063,,,,,,,,
2,16,49,56,-0.0042788595483581205,0.0013901405346668848,,,,,,,,
2,32,49,118,0.023880932629162976,-0.004631372697743576,,,,,,,,
2,64,49,248,0.011377603501424452,-0.004821124646158886,,,,,,,,
2,128,49,604,0.0065657523438630285,-0.0003441570684583083,,,,,,,,
2,8,50,34,-0.03459545038243739,-0.02392989942475698,,,,,,,,
2,16,50,62,0.002867564121801911,-0.011183018503318615,,,,,,,,
2,32,50,124,-0.009614247818485157,-0.006092157478232286,,,,,,,,
2,64,50,356,-0.008972906787525043,-0.00025068278859190414,,,,,,,,
2,128,50,732,-8.446693269976296e-05,-0.0004576339476648368,,,,,,,,
2,8,51,28,0.07894468316193304,0.01539766657398463,,,,,,,,
2,16,51,76,0.06004832786809605,0.010988531857748542,,,,,,,,
2,32,51,144,0.008131338134140197,0.013553734270310943,,,,,,,,
2,64,51,294,0.006376834408077457,0.007213296970004736,,,,,,,,
2,128,51,558,-4.023493962231978e-05,0.005657719810707877,,,,,,,,
2,8,52,54,0.0030686225879826357,0.0027070232028896927,,,,,,,,
2,16,52,82,-0.000798347204638422,0.0038095351687744273,,,,,,,,
2,32,52,138,-0.015067403063303057,9.576135488300184e-05,,,,,,,,
2,64,52,268,0.012087700991638766,0.004325976587029035,,,,,,,,
2,128,52,578,0.005888860044748647,0.003571683842153531,,,,,,,,
2,8,53,28,0.030601042978343315,-0.010295146983105768,,,,,,,,
2,16,53,68,0.015734397008213465,-0.013053709206657646,,,,,,,,
2,32,53,126,-0.013167363832535112,-0.005041970933878987,,,,,,,,
2,64,53,274,0.004368594960232964,0.005549761754766306,,,,,,,,
2,128,53,580,0.002879692739375708,0.0021587713140229204,,,,,,,,
2,8,54,28,0.013417990355420743,0.0027672887102628066,,,,,,,,
2,16,54,52,0.017965385368756942,0.0017727379017346396,,,,,,,,
2,32,54,124,0.02701971100191527,-0.005584009053384747,,,,,,,,
2,64,54,262,0.03397236629564883,0.005280519117036012,,,,,,,,
2,128,54,574,0.029905987495963255,-0.000545480819332188,,,,,,,,
2,8,55,70,-0.023540048716246535,-0.027293135073843757,,,,,,,,
2,16,55,102,-0.014322588145354758,-0.013295214385060788,,,,,,,,
2,32,55,196,-0.03072441667933303,-0.0028723443254017405,,,,,,,,
2,64,55,328,-0.03602866257440099,-0.009242764259722432,,,,,,,,
2,128,55,634,-0.013119163477280264,-0.009998875399795668,,,,,,,,
2,8,56,40,0.010740484292758864,0.026863815885910046,,,,,,,,
2,16,56,66,-0.01026373071556274,0.014335333840220075,,,,,,,,
2,32,56,132,-0.021435539903637186,0.0032216876002788978,,,,,,,,
2,64,56,270,-0.003780488979053348,0.002077129110074935,,,,,,,,
2,128,56,548,0.006553165932021498,-0.0034138813211443786,,,,,,,,
2,8,57,32,-0.02978978500688348,-0.0046808724431526266,,,,,,,,
2,16,57,82,-0.01938422116611469,-0.003276708991211111,,,,,,,,
2,32,57,176,0.007957080404884234,-0.006428533882043168,,,,,,,,
2,64,57,312,0.004729971397490764,0.0016718551356136343,,,,,,,,
2,128,57,636,0.016397589077437658,-0.006327426704952293,,,,,,,,
2,8,58,36,0.038907175877170214,-0.009980683869202235,,,,,,,,
2,16,58,72,0.027581977815851273,0.0009631727068923866,,,,,,,,
2,32,58,134,0.014344376333028451,0.004679723721959494,,,,,,,,
2,64,58,258,0.03562954038039313,0.008165152739495703,,,,,,,,
2,128,58,556,0.01910872408697133,0.004973807846493278,,,,,,,,
2,8,59,26,-0.0025456527831431396,-0.005280422483978708,,,,,,,,
2,16,59,52,-0.004006050218238468,0.00044763006488380023,,,,,,,,
