n,estimator,bias_coordinate,bias_se,bias_norm,reference_variance_trace
16,plugin,0.0002891001850167422,0.00017252682520456516,0.00038991153405637654,5.209031269634781e-09
16,multilevel,-0.000823295117614795,0.0023624689588329227,0.0027640711308889437,5.209031269634781e-09
32,plugin,6.790262012814485e-05,0.0001476063548323725,0.00017416366757086834,5.209031269634781e-09
32,multilevel,0.004101743448618694,0.0025690053950721925,0.004461206728802212,5.209031269634781e-09
64,plugin,0.0003103695445902338,0.00015023099112818774,0.00036053059986366825,5.209031269634781e-09
64,multilevel,0.00037245128494435196,0.0016542212659812136,0.0016658118995584311,5.209031269634781e-09
128,plugin,-0.00019160232784524588,0.00013577441985898167,0.00033738797828711,5.209031269634781e-09
128,multilevel,0.0019510219015377798,0.001412185591625301,0.0026248924268830833,5.209031269634781e-09
