n,cap,estimator,replication,cost,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9
16,3,plugin,0,80,0.005097711464301652,0.0014970464985785974,0.002228011481660839,0.0010604773881317951,0.0014105883476563145,0.00038626157268229524,-0.003066925400205069,0.003367369847974254,5.594217086315315e-05,0.00023647158616464038
16,3,multilevel,0,62,-0.02235497947505321,0.00014491184409303826,-0.018573210825154826,0.0028896345251032737,-0.010928195653590432,-0.006464190050426127,0.0010324449301739986,0.00568837782353039,-7.154330105275131e-07,-0.0035460057596690656
16,3,plugin,1,80,-0.0005385523470640759,0.00011664128350509659,0.0008018501757740658,-0.00012621698049180153,-0.00028618188192567847,0.000825199478269927,-8.458216762778914e-05,0.0007269515525470594,1.931749676270264e-05,-0.0001477413446633525
16,3,multilevel,1,76,0.006000581417230715,0.005188129423814929,-0.0029713152330618866,0.005473266418441869,-0.0005137263742317048,-0.007931129390222004,0.00045126960853275686,0.007312602412653157,0.00016578932813065306,0.0011336928716267239
16,3,plugin,2,80,-0.0025487087723588533,-0.00028121660798923555,0.0011016819235759746,0.0008246595578433838,-0.0014244808706198359,0.0005389999746271708,0.0001465769006305643,-0.0004152758778684745,3.5288087010773584e-05,3.114361837904222e-05
16,3,multilevel,2,80,-0.012033951766632809,0.0014362861962241436,-0.006405103121488074,0.008816708802434174,0.004297540891162598,-0.01679999746066109,-0.00820127822050839,0.006496887285574512,-0.0007351449990565751,0.0016608475978608188
16,3,plugin,3,80,-9.66628780046312e-06,-0.0005414863384682232,0.0018271180755957334,-0.0013308681110389888,0.0005253977872973068,0.00129882790557051,-0.0010423499080133333,0.0010622266673233703,1.975697944177416e-06,-4.597897485796859e-05
16,3,multilevel,3,66,-0.06407704348398953,-0.003999771880452459,0.02872616875029436,-0.007260008515082603,0.0003202171536807743,0.017261217529573155,-0.03700371082705562,0.01082220106637622,0.0007449875420454182,-0.00035873593588700423
16,3,plugin,4,80,-0.0006262755235039573,4.4274031553664036e-05,7.558440561839888e-05,-0.002852314247517678,0.0007877102397493793,0.0016050307329741765,6.907544087385232e-05,-0.0008937684546455411,1.9101994717718553e-05,-0.0004254273843006881
16,3,multilevel,4,74,0.005924425581225619,0.006148929831083037,-0.023232924503880197,-0.002163074489073161,0.02331014214980354,0.004653785670886084,-0.023308494472940706,0.020866392875903837,-0.0005357535378203777,0.0011297003399850637
16,3,plugin,5,80,4.42809598911372e-05,-0.00019290776743616987,0.0003604905798704202,-0.0005466401447469555,-0.00013825009175900686,-0.0008857349272145783,0.0008394660904268344,-0.0009580875662600642,-3.5840991184596696e-05,9.495556448311517e-05
16,3,multilevel,5,90,-0.002676633849722311,0.0044715311731312775,-0.013083752612867367,0.010641649667919136,-0.0011532688502635456,-0.015704805015942815,0.008000484878800677,0.010615437731897402,-0.0002488113876409365,0.006818491958563593
16,3,plugin,6,80,-5.675670268887644e-05,0.001196601354205349,0.0026852144147498855,-0.0018116933148965247,-0.0013738832481255364,0.0016577567859117597,0.001124299904874349,-0.001461271076775707,7.701521811876668e-06,0.0004886778998196931
16,3,multilevel,6,82,0.03332397074418568,-0.012013901799021797,0.01265619701350638,0.007070190670929922,-0.019858216842297785,-0.011220969920670208,0.01502144614007644,-0.00577696335139552,-0.0004120704941676645,0.0019224617823801807
16,3,plugin,7,80,-0.0004730955071058683,-9.663543754444134e-05,0.000984968884357785,-0.0007770946642717115,-0.0006295602759400731,-0.00014653389758144741,0.00011576444740496968,0.00014134168185373722,6.061341175517525e-06,4.582736620669595e-06
16,3,multilevel,7,82,0.0033506471445875078,0.0006439819187165122,0.0075327499832534145,0.00015925418139741857,-0.006174722449029269,0.006458001150912466,0.016188263948582263,-0.014977562900089123,3.344720027987094e-05,0.001427954868101411
16,3,plugin,8,80,0.0002877928896534619,-0.00011260830647700647,0.0013477662122479885,-0.0005775243627154251,0.00013421655362081634,0.0011630536581927462,-0.00024101419104976748,0.0007625557201699499,8.768219731212929e-06,8.31981298805713e-05
16,3,multilevel,8,78,-0.014199700353147283,0.008989436400472468,-0.028306304738924266,0.03861983601460992,-0.01622049935672007,-0.029021585116049877,-0.012004765626820619,0.03473928755540639,0.00043843700827843064,-0.006011246553793662
16,3,plugin,9,80,0.0009894070383927743,-0.0006035021862822903,-0.0003674504728521921,-0.00042625882171750225,0.0002777759777630263,0.001285468943537154,0.00014596793472723856,-0.00022739490500367867,-2.9429791350441116e-06,-0.00030878695331676767
16,3,multilevel,9,68,-0.0026983612397963115,-0.0015091888361962753,-0.0030911613690282605,0.010419271843217344,-0.0006131624148924661,-0.0015626136595070512,0.01165817684315326,-0.010781671791215454,0.0002737327343569878,-0.0008544696724221325
16,3,plugin,10,80,0.0004599362332645271,-0.00010593642373252433,-0.0006805493665209434,0.0024657880943321072,-3.9971439662225816e-05,-0.001511351463150945,-0.000851403018515824,-0.0001452818411733348,-1.1348904197418045e-05,3.85284492891192e-05
16,3,multilevel,10,88,-0.025193809455477383,-0.001493517474206171,0.00554987002363445,-0.016782338531962347,-0.009623705283054765,-0.00122590957426732,0.006303870900930442,-0.0010744525005124859,-8.006026373477785e-05,0.0013156128459392855
16,3,plugin,11,80,0.002436196323809724,0.0002394436598605773,0.000277104327694111,-0.0012537297018304237,0.0012320178287586042,-0.00010952107132820522,-0.0009444232600150271,0.00022174972985584997,-3.918220322855106e-05,-3.153011346684144e-05
16,3,multilevel,11,76,-0.05316377772842933,-0.016679222694999534,0.007175490385441565,0.00031513041346150565,0.04348333189179908,0.012340329581963443,-0.04092135189474786,0.0008642290804882131,-0.0002531786105032503,-0.021217154929106762
16,3,plugin,12,80,0.0009632100629785397,3.92085150840743e-05,0.002303562384922018,-0.0009537056737366451,-0.0005840604921904343,0.0014326553011177962,-1.2387989330200935e-05,0.0004528597826076229,-5.019221030093454e-05,0.00045418460114294554
16,3,multilevel,12,82,-0.06318693113660197,-0.004208787742372398,0.0035713441728609605,-0.01024613092002042,0.02294653877548513,-0.011440605979391024,-0.011890131584855404,0.0008105041570768696,0.0004273652123526784,0.0005563248136907939
16,3,plugin,13,80,0.000978123505215451,0.00030295787632622607,0.0006353229813097919,-1.2264246177462065e-05,-0.00016446916517971237,-0.00014241306567817005,-0.00017908551066369657,0.0016326337556118982,-1.2218447208792215e-05,3.751482893741096e-05
16,3,multilevel,13,88,0.04879890956272715,-0.01950114924041548,0.013347253438420964,0.005373076040505978,0.023228927281981435,0.008753061168442879,-0.027403104403794724,0.024511745569722545,-0.000688313355570926,-0.008114555637471162
16,3,plugin,14,80,-0.00024261644125431309,0.00032674381207369214,0.0012368125575732886,0.00018874472292337025,-0.0010676270097417322,0.0007662616132110919,0.00044433862619985755,-0.0015537264466009288,-1.760588095775715e-05,0.00016555883532490774
16,3,multilevel,14,68,-0.015912009447535375,0.00018740310934865865,0.00781361277744539,-0.01587609535086955,-0.031168350863214775,-0.014022344732227363,0.024366513407409016,-0.0156803832918119,-0.00011865259543629694,0.0009948235312557093
16,3,plugin,15,80,0.0017037612388368616,-0.0003663518922145426,0.0027130897050126473,-0.0020572690797496618,0.00010330004095713253,0.0007054756393791327,-0.00045205699849577884,0.0010793668238648498,4.0266526471355474e-05,-0.00033506350617917364
16,3,multilevel,15,86,0.011488391175423322,0.0023859318163379417,-0.022951767298893186,0.00044190912437276495,0.0056969000557022765,-0.014029271142348747,0.0015555762929761994,0.0006485103241329858,0.0006023060512876291,0.0016578241868827992
16,3,plugin,16,80,0.00017219209708969207,0.0003132945160168136,-1.3231520619126532e-05,0.0002921271477565817,-0.0004485194876359912,0.0005260897766429688,0.0005086298200902267,-0.0003134045052044521,-5.497611028882936e-06,-0.00011324994661866912
16,3,multilevel,16,60,0.0018783443375831484,0.004279202859736841,-0.02574519889685563,0.022222158530291858,0.007245216254160912,0.0007343566252565628,0.0002686379033109781,-0.0023359878813273825,-3.824295004043249e-05,0.007962774666078263
16,3,plugin,17,80,0.0007960656287054329,0.0005237530267241281,0.0021617095283963713,-0.0039036854999046433,-0.0005977674726301051,0.0014229516327007683,0.00013870811792161697,0.0015933117232276935,-9.667450188017516e-05,-8.650499536224081e-05
16,3,multilevel,17,72,0.05142988455523155,0.0044844549532985535,0.01227194640957317,-0.00828699752355172,-0.009314073504942202,-0.00961348976763296,-0.002393812003601926,0.014475378064457423,0.00016697697592337867,-0.0020099358465083613
16,3,plugin,18,80,-0.0004734193223945331,-0.00023575183347475818,0.0028131999701948725,-0.0022662131784374653,-0.00010742584972159985,0.0005187149319109656,-0.000700333972705783,0.0009108382274382909,-0.00010912875323740805,-0.0003816029404242158
