precision,batch,dimension,objective,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9
half,0,10,-0.000447589008842252,0.000382907951615411,7.1684006331891475e-06,0.0011747000164408887,-0.0006095536296443112,-0.000296769176569129,0.000445833034503742,0.00016305528059763888,1.8307709107151547e-05,-1.6051639437213645e-06,-8.610615826305088e-07
half,1,10,-0.0004126111063512664,0.0004449127123902508,-6.446600663457422e-06,0.0009472803836313683,-0.0005901324164276952,-0.00023844949996740638,0.00039892445851945097,5.0151998097668304e-05,9.014731075564695e-05,-1.977558798189838e-06,7.769711998106622e-05
half,2,10,-0.00040807136377763944,1.597910468664774e-05,-2.9763305935825904e-05,0.001092731377836262,-0.0007372308678900506,-0.0002944092668922017,0.0003481104948881621,7.432900968584525e-05,0.00011315060110950099,2.2752978639064903e-08,-1.0592958527388356e-05
half,3,10,-0.00042741536332731143,0.00024796979736555803,9.478086784691792e-05,0.000987368820802452,-0.0006437252969483192,-0.0002098950301631883,0.0005031144271003948,0.0001672307656737759,1.9452562193571616e-05,-9.903356825512672e-07,2.1565447113572753e-05
half,4,10,-0.00042473808743668303,4.4628183159518124e-05,3.993034903315475e-05,0.0008902078650164033,-0.0006281964018169117,-0.0001407103186646339,0.00031729599038162067,-1.6216093931317e-05,7.751976715819145e-05,-4.781752942879232e-06,5.2481086995062204e-05
half,5,10,-0.0004310659901226485,0.00028857660190769396,-3.4014545898265024e-05,0.0011809711072668138,-0.0007541878558900259,-0.0003085141529284248,0.0003868523926705031,6.010291275807679e-05,6.664087457367734e-05,4.625297324120867e-06,2.401320824794757e-05
half,6,10,-0.00044406278372735835,-2.9448189096928345e-05,-7.234980824866494e-05,0.001030401842615392,-0.0006335138284338602,-0.0002204215896092377,0.00042398717340177223,-2.0564678780317142e-05,0.00012006080683916395,3.5016092549112016e-06,-2.070635044018572e-05
half,7,10,-0.00042694987433607217,0.00029461854082146163,-3.210972996934133e-05,0.0009116805881308245,-0.0005635467217814463,-0.00020125207129734717,0.0004842337428201309,0.00010327665462305817,-1.8032157112871632e-05,1.487561673732211e-07,2.6918113395237806e-05
full,0,10,-0.00042170817629639466,0.0002547557296482898,5.261018554145019e-05,0.0009517076841130679,-0.0006877261416824794,-0.00030020107586704544,0.0003014197833000461,0.00017865887864042582,3.9501774360678796e-05,7.557713146970621e-07,2.4654228397741578e-05
full,1,10,-0.00043411339324441486,0.00013439196507741453,3.987640986002734e-06,0.000970309252994031,-0.0005741159366266986,-0.0003863837688849798,0.0003496175785404752,0.00017875263976472575,3.6873157262405935e-05,1.8387834639067673e-06,-4.222750208328647e-06
full,2,10,-0.0004422991715580866,0.0003372631760170864,3.4730326837656875e-05,0.0009757297738138814,-0.0006168921424821024,-0.0002420095309187902,0.00036960228911647383,3.5499205898388556e-05,9.758608404533062e-05,-3.880885205883604e-07,3.6547174074666466e-05
full,3,10,-0.00043273136365387416,0.00043346473869920353,2.3715710801708558e-05,0.0009446675460905402,-0.0005481074443461289,-0.0002793011518885,0.0003196514556294562,0.00012128363029541907,0.00011219635621342893,4.947270420804209e-06,1.1573730583201997e-05
full,4,10,-0.00043195072215700955,0.00018725260426979385,-2.1875420147211553e-05,0.0010362128611787476,-0.0007175223545029085,-0.0003253216668631887,0.0003158560898649907,0.00023971049712811208,9.170907258110902e-05,4.86168512716401e-06,3.6615914763408484e-06
full,5,10,-0.0004286127413897997,0.0005157511792794952,2.1232579034241144e-05,0.00098521125935687,-0.0007070360741457529,-0.0003180966771745197,0.0003325657448144766,0.00016407353877874583,0.00018620371366358346,3.059249296013639e-07,6.0178741360117886e-05
full,6,10,-0.00043056136673510733,0.00034220520489689014,8.377489295940883e-06,0.0010960616053281415,-0.00069349280622819,-0.00015221304383600443,0.0004459755425327791,7.93741677716926e-05,3.7335107774823016e-05,-2.5919898043482417e-06,5.6577036776255256e-05
full,7,10,-0.0004353492910448813,0.0002001348701505578,3.765263131009038e-05,0.0009962574716864913,-0.0005667218701668961,-0.0002979101781205157,0.00021164476639907334,0.0001932157515845262,6.661016729064484e-05,-7.356228088756985e-07,4.94697727906811e-05
