day,regime,precision,batch,objective,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9
0,uptrend_momentum,half,0,-0.0004533891449849843,0.00044189709854280723,6.221130046267952e-05,0.0010950459009418637,-0.0006385794137017983,-0.00028910945626244396,0.00024560632280361245,0.00014476786073439632,4.181731898182948e-05,-2.5694736427279694e-06,5.367060906633081e-05
0,uptrend_momentum,half,1,-0.00043464975390505433,0.0004856942609095346,-1.015001697748011e-05,0.0010341110799318937,-0.0005161373639910897,-0.00021688341666146004,0.0004187559352138666,0.00012458757216291707,-5.3677190971353e-05,-1.1027972880696728e-07,6.57123957847065e-05
0,uptrend_momentum,half,2,-0.00043641364669141474,0.00025193477098934197,2.010760552921673e-05,0.0011238094608879794,-0.0008690453319633344,-0.00033915945998219725,0.0003926255318850607,0.00031401713237320114,4.188188733691627e-05,2.6122256283958722e-06,3.762025132826793e-05
0,uptrend_momentum,half,3,-0.00041515770718193127,0.0003100196850707944,-1.0703590098378467e-05,0.000995912929282565,-0.0005698708011209399,-0.0002175702515558203,0.00029563009094901813,0.00012102516667300832,-6.692291936926355e-05,3.843452646654503e-06,4.710128540643151e-05
0,uptrend_momentum,half,4,-0.00042446009955586603,0.0002215177719077188,3.537386865999837e-05,0.0010592216604735191,-0.0006069147343368107,-0.0002756769155896343,0.0004349150080420498,8.125886662505705e-05,9.362466681335885e-05,-4.60438867747009e-06,2.2608276750414954e-05
0,uptrend_momentum,half,5,-0.00043789693462310277,0.00016460710797518442,1.8871545540267098e-05,0.0010808193134443993,-0.0007918420324039772,-0.00030832760664921855,0.0002525402791268181,0.00025876412068283507,0.00017518477828494918,-2.9560051955349014e-06,4.1309881235365117e-05
0,uptrend_momentum,half,6,-0.0004243748374829289,0.00040183300168193913,-4.5928904946995884e-05,0.0009025159003020634,-0.0007352130419936034,-0.00032045158269507,0.00028778443933550186,0.00013173535677462765,0.00024437214923292015,-3.796178305414492e-06,2.9869814002031657e-05
0,uptrend_momentum,half,7,-0.0004338063565403256,3.597934896300222e-05,1.5016698322886926e-05,0.0010275578134873765,-0.0007988511024528172,-0.0003426791016146165,0.0003685174818230005,0.00020361013124594942,2.9981122043539154e-05,5.443311275265846e-06,4.843465133728828e-06
0,uptrend_momentum,full,0,-0.00044503334799982634,0.00040265636860849793,1.1886224007834893e-05,0.0009467944934828186,-0.0006677607164638561,-0.0002421293060968763,0.0004220152045701195,0.00011634113222250024,0.00015865401687799286,-2.3772657229146025e-06,1.5315165670084613e-05
0,uptrend_momentum,full,1,-0.00043428595856255737,0.00038596645811528134,3.041101440425803e-05,0.0010073634056504118,-0.0006402898419709905,-0.0003597182520892567,0.0003154508983282555,0.00018091090474404008,0.0001569938069581149,4.220719688753096e-06,4.688306643385985e-05
0,uptrend_momentum,full,2,-0.0004243209526819904,0.0003149044192541373,3.8416632881743e-05,0.001081062886142799,-0.0006640411646511555,-0.00030917770466897806,0.0003402744718080667,0.00011280002993187222,0.00011195468702461152,-3.3129268027537865e-07,2.7021014273476716e-05
0,uptrend_momentum,full,3,-0.0004439714262818315,0.00021063439697328876,-4.483072052544553e-05,0.0009362459466099605,-0.0006507391777806473,-0.00033470224637934405,0.00036230483500909944,0.0002240383251724434,9.712759481247337e-05,1.5201338771895806e-06,3.938663559539004e-05
0,uptrend_momentum,full,4,-0.0004466812054524591,0.0002082903052984321,3.7215302150230006e-06,0.0010533781028671787,-0.0006898354859759946,-0.0003946734140011412,0.0003308238858759259,0.00022235357589636201,-3.9321510309302755e-05,-2.5628698032094915e-06,4.1657344621221504e-05
0,uptrend_momentum,full,5,-0.00044598765596212474,0.0001482476443657019,2.676452334842383e-05,0.0010349582033121376,-0.0006929425708621044,-0.00020408580519841655,0.0003834253391929289,7.579142666030834e-05,0.00011170082115216702,2.9776747361613527e-06,3.883833227697375e-05
0,uptrend_momentum,full,6,-0.00042923505678959964,0.000344921407749909,2.7146971136969588e-05,0.0010236807008534004,-0.0006385100173725534,-0.0003381646315655378,0.00038737911615795487,0.0001654067485921898,6.23178491056134e-05,2.0847228478372354e-06,1.2395326729568508e-05
