Z_db,raw_trajectory_cost
-0.20408199435367561,5
0.18583985584801058,9
-0.36779914990212653,9
-0.04921899143359685,5
-0.22141490702166852,5
-0.0053367409073665061,9
0.58508958530742283,3
0.01875260725087672,3
0.24520737191587147,3
0.0041156954468277111,3
0.18284429571191413,3
0.33420677464192206,3
0.05741588622963853,3
0.10063306012849683,9
0.055738873063345941,3
0.015876339591803627,5
-0.008338629941680999,3
-0.00038745509707597739,3
0.063888035458586942,3
0.026959196395220771,3
0.074009259681052639,3
0.075820338897809994,17
0.093450855943844766,3
-0.033113972377100308,3
0.0042308757441790728,3
1.5875352064593955,3
0.21745741101775592,3
-0.25664652454788439,17
0.018884124475454785,3
0.60781089424101675,3
0.0040376085015645258,3
0.011798085146386587,3
0.019269455332689825,3
0.0043473986809121007,3
0.0075190587585857206,3
0.013137838110058649,17
-0.0054119397428705448,3
-0.0071482112096727538,3
-0.0069742242629404014,3
0.039485070966108454,3
0.059476761772052439,3
-0.0032660442204719528,3
0.24704021283698871,3
0.061863696122346143,5
0.017678534665106375,3
0.54617522287671905,3
-0.040226107616169897,3
0.0030134485439778707,5
0.35459349244627636,3
0.61471284120781233,3
-0.02352018256053676,3
0.047387697814266799,3
-0.041190570569864408,5
-0.32933707901183001,5
0.14090990351345745,3
0.072109695203440557,3
0.031527744536595785,33
-0.061672430661727833,3
-0.00078554499998224642,3
0.058061405728822013,3
0.040612278303755502,3
0.072103016200296369,3
0.022007393732602423,3
0.10717764044601064,3
0.008009793011837291,3
0.090157439869233802,17
0.052800508804825792,3
-0.49229941926741766,5
0.056956225288265341,3
0.05849590817267953,5
0.091849214386751782,3
0.095284884089797239,3
0.05413504099335488,3
0.038858814591004737,3
-0.16954738797578367,5
0.010615090993833372,3
0.023354129744690186,3
0.034510153854573844,3
0.41361965045684551,3
0.21848418256246446,3
0.68784881475310944,3
0.023972070996386406,3
0.10612465618666135,3
0.003341701721796706,3
0.63850806272542016,3
0.11931000010355174,3
0.010525633461710622,3
0.060968759442456708,3
0.00026480495870453047,5
-0.041248977080983198,3
0.030804772146430799,3
-0.0089489355873629394,9
-0.0049638263320384186,3
0.17504865368251185,17
0.013938383037854276,3
-0.0081134380549072842,3
0.46386241029972031,3
0.0021567569236874955,3
0.0030475703808508911,9
0.0134381793754443,5
0.017838223597448865,3
1.0082708423476683,3
0.021806279731643664,3
0.068726469179858085,5
-0.26634794310477966,9
0.0072704725191178963,3
0.45514327823554102,3
-0.00046552408352487342,3
0.016926508395489644,3
0.050401876802614112,3
0.15078579106634216,3
0.46141505118032905,3
0.062616722014099901,3
0.074980343343679132,3
0.12823047323592926,5
0.0076903412862551366,3
0.012253972915126273,3
0.00042073039008083002,5
0.023776107457111877,3
-0.0011101494061031261,3
0.012189419733778377,3
0.16049327180089087,5
0.021842902049830318,3
0.036886119127543131,3
5.2417280475862062e-05,3
0.013056128042673155,5
-0.0015726982462151479,3
0.027930257355511998,3
0.065084045884536368,5
0.050114201694193533,3
0.24217194322839361,3
0.019471233593308195,3
0.00032196235003053642,3
0.042157127532799647,3
0.016343270686302414,3
0.095859527572585521,9
0.029933349123499174,3
0.02814945538185129,3
0.016235343756596847,3
-0.094721167437228262,5
0.039314942005555686,3
-0.36418577569136074,5
0.091127191948150277,3
0.021168276490523295,5
0.00054221901859548185,3
-0.038078387568368316,5
0.020084517511893645,5
0.035572934486474,3
-0.35951848820165044,33
-0.032656673679728083,5
0.0049459635215044605,3
0.53160340493229896,3
0.043169224561385937,3
0.009265190372026548,3
0.014804947970956267,9
0.02370887542713818,5
-0.043862338542076468,3
0.15907844804863702,3
0.058095269753095626,5
0.2137923376654168,3
0.097860192964434864,3
0.064320805664355399,3
0.02400263730179758,5
0.66905155828784058,3
1.4651461232479079,3
0.29700275812212273,3
0.08604666898195118,17
0.0046057883170383257,3
0.0090323195734019722,3
-0.0019227769898249813,5
0.22399565370520011,3
0.034865762292741756,3
0.16519090605459494,3
0.049791880350833782,5
0.17315589984587301,3
-0.057551716787852071,5
0.0056828236538028903,3
-0.0029769749850184963,3
0.04941641450235211,3
0.0055712436946041251,3
0.0076874284305503892,3
0.0060614806024591331,3
0.064873326610555934,3
0.37838122391484286,3
-0.040262821055990022,3
0.023255975111468149,3
-0.0049599664079883017,9
-0.31000750807209376,5
0.022238853476351971,3
-0.056959157525438939,3
0.044991658549627257,3
0.57135919124407952,3
0.0069444186328780407,3
0.00792840549656431,3
0.12835233776751853,3
-0.0036505092965001427,3
0.045893619553359306,3
0.044003778078612582,5
0.027387473328664719,3
0.043762241505097839,5
