level,n,T_fine,Delta
1,4,0.009053203668014192,0.01940337835057963
1,4,0.01311261439062707,0.007252989143449661
1,4,0.016820646065115876,0.0006684313760299716
1,4,3.74294926523717e-06,-0.0035208029710365844
1,4,0.05311659631499717,0.0068077402352969
1,4,0.00014873558072428655,-0.0011939469835738762
1,4,-0.0005108715384132606,0.023479296266330194
1,4,0.02344529967792682,0.013950291104516769
1,4,0.6062673767050192,-0.11493106919294138
1,4,0.013705617933331214,0.023553523101348808
1,4,0.011976191281211601,0.03202729678540787
1,4,0.21953438645675866,-0.04366982346914122
1,4,0.5897325964208225,-0.07328571280956231
1,4,0.0038709926356923973,0.008363449328033817
1,4,0.013441467903032557,0.01580118281263273
1,4,0.23064823439886448,-0.07650148455218334
1,4,0.05299246924156186,-0.16565059623538336
1,4,0.018965076775014175,0.010673210433462943
1,4,0.07820349178028467,-0.05688403009576724
1,4,0.03862471571655569,0.0063330064380807335
1,4,0.009020460579889042,0.0014819691370200278
1,4,0.03925662997043576,0.0017642412537366564
1,4,0.5618647713319959,-0.021927255384534772
1,4,0.02625984543023305,0.011454752181904351
1,4,1.280624829972098,-0.36729935618639575
1,4,0.08930935886440734,-0.0473219765162259
1,4,0.054900356689306026,0.015809019041918046
1,4,0.5586898280377061,-0.14880533057015555
1,4,-0.00012090911295631782,-0.0016729077771440728
1,4,0.036585598350773484,0.00929205243490807
1,4,-0.004450891450008087,0.006001472464541127
1,4,-0.003816690372821143,0.001289201504772704
1,4,0.005915678496994045,0.04058606418414518
1,4,0.21237550623613022,-0.13867031515377148
1,4,-0.0060097916625859605,0.004239642030925108
1,4,-0.002049193042931112,-0.006780914142893056
1,4,-0.0028985650613058632,-0.00017565140141530483
1,4,0.022146176863121977,0.012302553250068488
1,4,0.04966962486864708,0.04630144909532101
1,4,0.06145804368588898,0.05676929864773092
1,4,0.1468598699577049,-0.018504760249853397
1,4,0.02010483070909891,0.01737975547909954
1,4,-0.001153860510149892,0.00858897976201951
1,4,0.03651591514937847,-0.024921145285864983
1,4,0.02271785942788749,0.044938897161621874
1,4,0.03074766146489522,0.0210623920766951
1,4,8.171658002536434e-05,0.0004694021482065441
1,4,0.17423688166945528,-0.022529116431050905
1,4,-0.001792034789624067,-0.003235429354079527
1,4,0.9119695772635641,-0.3500258114391188
1,4,0.04183602593912212,-0.008134477257265418
1,4,0.026102039487964253,0.004180420964544379
1,4,-0.0171477385501658,0.011964498960548301
1,4,0.03198773834828422,0.01794900568717806
1,4,-0.001005853569060014,0.003067734506374154
1,4,0.3225405254042452,-0.09840706683100292
1,4,0.29707480746317466,-0.16587408432892947
1,4,0.01681179186115354,0.007622103690735163
1,4,0.08744090689987184,-0.02771780762508083
1,4,0.050547186021169574,-0.02507573537374304
1,4,0.003160476315655449,-0.0021800967912387567
1,4,0.027199149033341564,-0.013839742052838291
1,4,0.0901393797205111,-0.02541163532423664
1,4,0.057115507920596255,0.038852226533200626
1,4,0.10611774433874502,-0.12421398948255116
1,4,0.42225188607423175,-0.03495150210795667
1,4,0.004114563555635796,0.00615745287533943
1,4,0.027750920180377482,0.01396306488140961
1,4,-0.0025013126942638967,0.003829601615981175
1,4,0.1521538506727245,-0.02480666397245937
1,4,-0.004524047361829298,0.0018227348054385556
1,4,0.06147179224491689,0.01466015468083215
1,4,0.16829901672524,-0.020194358012587732
1,4,-2.2075547048997726e-05,0.00014792077596177336
1,4,0.04193008136486661,0.008895577404116499
1,4,0.046264837631536014,-0.008490274198098079
1,4,0.0085314080287617,-0.003201499194208429
1,4,-0.010097547341875587,0.02119156724893726
1,4,0.018736220354683055,0.016785845238833728
1,4,0.05175005422516554,-0.007295890762316647
1,4,0.02613731941835463,0.004892635702094222
1,4,0.009884514150517446,-0.02082901975199794
1,4,0.49586671163012036,-0.17757823119617616
1,4,0.21331014351787517,-0.2148973179632084
1,4,0.0015099298466718872,0.003391784334576917
1,4,0.031790192696146094,-0.0006825278486202457
1,4,0.07765621609578693,-0.028033075425351606
1,4,0.04208538215342731,0.006197119886083589
1,4,0.03499637510807028,0.0510834949720652
1,4,0.016179500458104994,-0.007912096305855598
1,4,0.012963996250116894,-0.000280999720421473
1,4,0.14156914226957842,-0.03657270948904545
1,4,-0.0022496962158632698,0.003952228703429153
1,4,0.05211511517827671,-0.0329665292320299
1,4,0.005057835872825328,0.004367032638594181
1,4,0.3113992082504304,-0.2330243492312068
1,4,0.18480647358678423,-0.04266739194427646
1,4,0.006961538897590616,-0.00403501623643196
1,4,9.729236499693372e-05,-3.667242791659218e-06
1,4,-0.00023851357351176576,0.0003324486965790238
1,4,0.6461412631051977,-0.16382661547582156
1,4,0.03900790498146913,0.0008202878903979111
1,4,0.005335639573693505,0.0030531507096514436
1,4,0.01220530666230242,-0.005676808125423087
1,4,0.008850440701061012,0.004622738791568872
1,4,0.008457408570986731,0.0030143215688802575
1,4,0.014747035769797487,0.011567528594482419
1,4,0.027878748534958708,0.011650371921065265
1,4,0.04527603811844923,0.010245371743167496
1,4,0.04073855421729017,0.06518161597624243
1,4,0.01177862815048475,0.003524859030271917
1,4,0.38912419978459545,-0.02044830622080296
1,4,0.007534018328432618,0.005239814316183861
1,4,0.03909643118789847,0.016002016817611524
1,4,0.015351290496784473,0.03125459717426786
1,4,0.0013055752245149097,0.0003721739985060406
1,4,0.005961640605120981,0.0016852859509099288
1,4,0.03021090898874999,0.00568333422824752
1,4,0.0008673722861532481,-0.0007325710714445912
1,4,0.05676875641488144,-0.030810912719513472
1,4,0.029738539431423894,0.016010826033743646
1,4,0.0398728869650938,0.006167217924824046
1,4,0.02860213461647511,0.004209402886199802
1,4,0.03192224865676374,0.012578718195939129
1,4,0.24749629280036323,-0.16806840159890168
1,4,0.021746387993973944,0.007732225284301571
1,4,0.08073582839190432,-0.020940076325625515
1,4,0.0720156437964013,0.034764451847184845
1,4,0.01666525672698119,0.001566656243240823
1,4,0.01077228025516546,0.008627261663539686
1,4,0.18357607880835772,-0.058867245164635235
1,4,0.05377320315946036,-0.009047281606801301
1,4,0.0017554011989813214,-0.002049732317598428
1,4,0.07604372701899062,0.019800738371420955
1,4,0.0129999815823587,0.012689307542169476
1,4,0.04814388821406058,0.056621620215483504
1,4,0.0452467189468122,0.018737102813176795
1,4,0.03094893372873102,0.039361644304377386
1,4,0.020303483268752025,0.002050085015317636
1,4,0.05058822109382164,0.015204234473207269
1,4,0.0065492492629048125,0.011439691417197664
1,4,0.20809683719989805,-0.03090977915150553
1,4,0.040569000669159284,0.003688639603359037
1,4,0.027698833306311985,0.02107603891302517
1,4,0.7563068895714018,-0.20451559556454713
1,4,-0.004617929556413576,-0.010050928052732673
1,4,0.017750963843026952,0.007233738778720997
1,4,0.25195260945097,-0.053172471247455166
1,4,0.01811904492665515,-0.024171843865246415
1,4,0.010850365537542178,0.013317528285453599
1,4,0.008040238654916994,-0.0006448498581199322
1,4,0.01343521020807455,-0.012241048739884002
1,4,0.01491413130308634,0.004414762345240877
1,4,0.034723246956661014,0.004036638467225788
1,4,0.06528431380674314,0.005647921354906105
1,4,0.011292847935191015,0.006651311682933704
1,4,0.025296675730400835,0.01043981912064899
1,4,0.006732543784955598,0.00024169009958258884
1,4,0.05131832800919326,0.026990963957518307
1,4,0.002726406080067498,0.0026659784564633674
1,4,0.005596084283811168,0.003322961460460061
1,4,0.028305356329967595,0.017877905223082642
1,4,0.012368300394945677,0.008518365186357013
1,4,0.0027192970586885196,-0.001882702526889503
1,4,0.04557320457795383,0.016092106423836836
1,4,0.02879225779530628,0.004239757504662146
1,4,0.039120200833277,0.007649822287143643
1,4,0.04955845930298174,0.025879021522523048
1,4,0.04102368041871534,0.011193511634233936
1,4,0.010413599409312344,0.010459667004781723
1,4,0.0559262757171036,0.021670170711036878
1,4,0.002534715798685982,-0.0013599418386845024
1,4,0.014624777060105013,0.005613996747280043
1,4,0.574834406069944,-0.18372624312917352
1,4,0.020966698102556997,0.012258118740211411
1,4,0.0008129601834271877,0.029293341114874784
1,4,0.016120158403804756,-0.026671384105578788
1,4,0.001918802716392158,0.01572507997875606
1,4,0.06965059502584676,0.026444804281693303
1,4,-0.007365101159603929,0.008697922369077987
1,4,0.15202172172076542,-0.025186863902985385
1,4,0.21776749337312518,-0.07454301769402155
1,4,0.05679819094071454,0.024458874646317408
1,4,0.02411840351240315,0.018445109728758593
1,4,0.7193109307094017,-0.13694163007637206
1,4,0.010736722964829921,-0.004517816166171185
1,4,0.030205752668388063,0.013628023600902001
1,4,0.07632899014030552,-0.0035820852406048265
1,4,0.04067135061915502,0.007631957864324128
1,4,0.026189766314421513,-0.03299000706902317
1,4,0.027085192176183843,0.01432956153123209
1,4,0.016934147418125482,0.00924769996046331
1,4,0.08339393807444433,-0.029136196664985556
1,4,0.01460798874178174,0.0008337365249181158
1,4,-0.0025013920246931888,0.008833764581038444
1,4,0.0020910463514599797,-0.0036447802612320193
1,4,0.07253193516423606,-0.035342612793649336
1,4,0.1035611225495746,-0.010368994630896758
1,4,0.043066004612884075,0.0010688147302839249
1,4,0.02276997432009485,0.0032695829008887282
1,4,-0.0031829729231697764,-0.006262492853133638
1,4,0.059406664428349104,-0.011148088686821253
1,4,0.09659433704793176,-0.005636750972782198
1,4,0.05026585996579104,0.005884426688927087
1,4,0.01109781991317901,-0.0034735923822462583
1,4,0.030812497162809527,0.017769048417172438
1,4,0.04180940586203889,0.022721340741901394
1,4,0.011000549971512917,0.0020425551202072033
1,4,0.005471892559743256,-0.005288475015029584
1,4,0.2636559215040635,-0.10635242374315768
1,4,0.027872341434947382,0.002302916137527155
1,4,0.040509669642028956,0.021813785836334355
1,4,0.004052918782556737,-0.0003263262111724511
1,4,0.025386802755080394,-0.002024725581784976
1,4,0.4774872673783177,-0.03292562622484929
1,4,-0.015662819916602656,0.006799572718874283
1,4,0.004430796676936015,-0.04237258451169098
1,4,0.021992104778148266,0.012702657444715059
1,4,0.008269213283469279,0.00017804486494917005
1,4,0.2551315808134651,-0.00357749144125713
1,4,0.02948755744926904,0.0214194743010861
1,4,-0.0033856946466891565,0.003230556543832127
1,4,0.44022111914369455,-0.38951584688001695
1,4,0.050705573181159105,0.036996193794344566
1,4,-0.009645659309808045,0.007653355941153475
1,4,0.053152869192769236,0.012316759455481642
1,4,0.0797986187091472,-0.06389826529439316
1,4,0.015423258269804032,0.00758777717080966
1,4,-0.007255115393199036,0.0019726707163047258
1,4,0.09259300468924679,-0.010024402338506835
1,4,0.031852534981524495,0.01573973873451386
1,4,0.09199740044117559,-0.040572005841502876
1,4,0.010127641491316897,0.009960006501579955
1,4,0.1511572413714046,-0.10858394014748654
1,4,0.024406383601703614,-0.0017964932673108433
1,4,0.6819223180632769,-0.2241843813597284
1,4,0.052730268740718185,0.01547398317017866
1,4,0.020141839259258176,0.01142347116182878
1,4,0.0017508019332581931,0.006379435163121609
1,4,0.284025153082054,-0.051257986151593216
1,4,0.0629249945081109,0.0002941265928206871
1,4,0.00036003339074000817,-0.003105644605152937
1,4,-0.011523297835868742,0.019071395379154595
1,4,0.362564562105346,-0.12101537704164095
1,4,0.03542691738992865,0.00578560149059542
1,4,0.045631860756449774,-0.007519285529390379
1,4,-0.0014682338301514294,0.0003212705600642576
1,4,0.050472324681048016,0.00694316749654119
1,4,0.07573702770102818,-0.011358328140883167
1,4,0.2391557857137371,-0.029063711964197186
1,4,0.19104072644370462,-0.013319434454220347
1,4,0.011418458040411009,0.0035800036367903496
1,4,1.511335704976345,-0.3026641062685924
1,4,1.8847490377743296e-05,3.6807020399773886e-05
1,4,0.00021024604335484362,-0.003950014252381018
1,4,0.1481947398128966,-0.016371279521041976
1,4,0.005729421447624094,0.026672210645290177
1,4,0.044073835448340044,0.0005526124855949055
1,4,0.13279860025585352,-0.04365506189198326
1,4,0.03181494676157761,0.0025151136716092815
1,4,0.04975476176747629,-0.007064960250690297
1,4,0.7560918440624178,-0.01726081735209828
1,4,0.00379915161132811,0.010958809701990908
1,4,0.09488236966282147,-0.006050536753428218
1,4,0.3540807147162513,-0.020202577869559424
1,4,0.040394029896352816,0.010138362330762686
1,4,-0.027584409795884956,0.01656585569173603
1,4,0.03122286426496775,0.005678823238005167
1,4,-0.0013099419709409004,0.004069575351691321
1,4,0.003740167904049084,0.0013066044732285816
1,4,-0.0047918534127498235,-0.0017264530057507664
1,4,0.06587777004566779,0.04630894291784062
1,4,0.0009763480127461267,0.002228252461972261
1,4,0.032295029918937034,0.0008295168097835273
1,4,0.011122372545986347,0.014674366009573352
1,4,0.03830878004567312,-0.08156280737428463
1,4,0.007568666456558429,0.00355713387949572
1,4,0.8149600383899734,-0.322513917561445
1,4,0.02568433152090857,0.005336494195218037
1,4,0.00650915179406484,-0.01327714877442181
1,4,0.06909803970703968,-0.004427136145482069
1,4,0.005351171494739235,0.002651862987735448
1,4,0.02983332600842409,0.016265270310057655
1,4,0.03675924684166412,0.008137357296602254
1,4,-0.001315370567372913,-0.0013357465911690946
1,4,0.004532202979822714,0.002488905779888063
1,4,0.04082533358808432,0.005889759417239293
1,4,0.04878835183020206,-0.010337568758959137
1,4,0.026978337706857064,0.019749975299463308
1,4,0.01453132796265174,0.023398629035179704
1,4,0.0031142779215967884,-0.003155896456558177
1,4,0.030313106736238778,0.010899633154459125
1,4,0.06974506529746317,0.011345090223578713
1,4,0.015470927189505882,0.04345948422017268
1,4,0.024795593858025024,0.004648395386258039
1,4,0.0025255685682842818,-0.004478510167935218
1,4,0.017896783605264754,0.012107430548326446
1,4,0.031738723916432204,0.011798172924832324
1,4,0.005288220739430787,0.00672031636834658
1,4,0.014703912499717009,0.004383409784937606
1,4,-0.012742669026707868,0.006192970377739996
1,4,0.023222469638263896,-0.010122873930495185
1,4,0.02758241708419681,-0.029103336699215884
1,4,0.00839557987711947,0.004886913689258825
1,4,0.01497769632900585,0.01616483314485046
1,4,0.027903571318550896,-0.028901135400805744
1,4,0.00664252887289403,0.006141047286378573
1,4,0.0011220282304328032,0.001396723313628355
1,4,0.0012700162594167226,0.002845936288900094
1,4,0.02010594138872293,0.001040975533507571
1,4,0.008309336724612391,0.01498352933037595
1,4,0.008011338020115529,0.0021959910041040327
1,4,-0.008972122268642168,0.004617387515855475
1,4,0.4143253444090113,-0.1317679443859306
1,4,0.2431787242506011,-0.04819478503764779
1,4,0.001977522939400195,0.03226952684050584
1,4,-0.016640817745710832,0.011629214105228831
1,4,0.02740426360637696,0.011200593606818233
1,4,0.42399422263095915,-0.11875096619549824
1,4,0.03570195173188876,-0.0820913717703656
1,4,0.16310093270644638,-0.08254656512331027
1,4,0.018938527841834314,0.006565510726164771
1,4,0.04801526450858114,0.011543932289978076
1,4,0.04022794355872011,0.020774457217947146
1,4,-0.001336810187484999,0.005240736738059238
1,4,-0.00263698886515964,0.003322217422874878
1,4,0.021973371485255244,0.0020931998604094178
1,4,0.07557771556762909,-0.018167240938012988
1,4,0.05376640128179032,0.035610447647603294
1,4,0.0001939951876544188,-1.2664880280463417e-05
1,4,0.016865477710972854,0.006366761508645449
1,4,0.00754707501482773,0.0018568436935914078
1,4,0.002314644291918121,0.00091402562641323
1,4,0.05193674907876727,0.01997676375205016
1,4,0.033335085962287715,-0.008296587889344259
1,4,-0.0002232995800130502,0.006944400666175558
1,4,0.027052639234637115,0.01992429151659662
1,4,0.12430434183324562,-0.05381025040672621
1,4,0.03846528380628038,0.017673367401212153
1,4,0.008369610084277244,-0.004368774724433366
1,4,0.015795459804717627,0.004413886693709637
1,4,-0.00507261236346337,0.0192761702464888
1,4,0.057209078007375125,0.024335524035010075
1,4,-0.002277047784565218,0.003712884608346316
1,4,0.00784684221795045,0.028845566497274162
1,4,0.006447963383191309,-0.04206442634075605
1,4,0.000113362074914623,-6.313043455909829e-06
1,4,0.004230403716745649,0.0024467505138109037
1,4,0.02986631670294143,0.011466298447872367
1,4,0.0682519990022707,0.004981429744647506
1,4,0.017606730880157757,0.0034955305000052977
1,4,0.035174646002874836,0.007240296823599637
1,4,0.025509394413647055,0.020751653731374654
1,4,0.023462997358074028,-0.011583157258833188
1,4,0.04333163602160774,0.02305658726252297
1,4,0.004564618544954096,0.004191344394504435
1,4,0.022322239350324066,-0.016593827375643248
1,4,0.01651931022386317,0.011592350990479344
1,4,0.10558268823288025,-0.0035971913998361915
1,4,0.0018931702138629194,0.005664342720948227
1,4,0.016163106476633455,-0.00024130245588148067
1,4,0.10932659112760205,-0.0393094820155888
1,4,0.0003716144946901518,0.0007042168582033382
1,4,0.013421628381857764,0.007180907785500511
1,4,0.020405968569869676,0.0025203405948558133
1,4,0.018946989039590398,-0.005173215255422744
1,4,-0.0001235391083463685,0.008321358813206815
1,4,0.012063193474987315,0.005517128154403255
1,4,-0.00235699163259075,-0.0026063876987199824
1,4,0.03428416428249118,-0.028294538441431406
