seed,method,episode,day,date,regime,wealth,reference,net_return,drawdown,cash,turnover,fee,cumulative_fee
11,plugin,1,0,20230301,uptrend_momentum,0.9981976830506942,0.9999098841525347,-0.0018023169493057711,0.0018023169493057711,0.03225806451612904,0.9677419354838709,0.0019354838709677417,0.0019354838709677417
11,plugin,1,1,20230302,uptrend_momentum,0.9968217528887703,0.9997554775893465,-0.0013784145017435856,0.003178247111229715,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,plugin,1,2,20230303,uptrend_momentum,0.999905835650958,0.9997855492016687,0.0030939159917509063,9.416434904196969e-05,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,plugin,1,3,20230306,uptrend_momentum,0.9989007942633191,0.9997413114547512,-0.0010051360356193584,0.001099205736680875,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,plugin,1,4,20230307,uptrend_momentum,0.998663806523098,0.9996874362081686,-0.00023724852516093797,0.001336193476901948,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,plugin,2,5,20230308,uptrend_momentum,1.0000921161429692,0.9997683721951287,0.0014302206714027488,0.0,0.03225731728170196,3.880627409786133e-05,7.750884281509781e-08,0.0019355613798105568
11,plugin,2,6,20230309,uptrend_momentum,1.0050749788641624,1.0008296935289354,0.004982403761375931,0.0,0.03225731982074307,9.25680360946285e-06,1.8515312621015153e-08,0.0019355798951231778
11,plugin,2,7,20230310,uptrend_momentum,1.0069912148849012,1.0020619978001286,0.0019065602676771043,0.0,0.03225732697517978,1.3245426019468237e-05,2.662529255312773e-08,0.001935606520415731
11,plugin,2,8,20230313,uptrend_momentum,1.0108980432702626,1.0038292068941554,0.003879704537251616,0.0,0.032257337055065595,7.962306099784655e-06,1.603594458541522e-08,0.0019356225563603164
11,plugin,2,9,20230314,uptrend_momentum,1.0105718204732377,1.005177729609972,-0.00032270593379479795,0.00032270593379479795,0.032257316193634415,1.7291800316520528e-05,3.496049420918142e-08,0.0019356575168545257
11,multilevel,1,0,20230301,uptrend_momentum,0.9981976830506942,0.9999098841525347,-0.0018023169493057711,0.0018023169493057711,0.03225806451612904,0.9677419354838709,0.0019354838709677417,0.0019354838709677417
11,multilevel,1,1,20230302,uptrend_momentum,0.9968217528887703,0.9997554775893465,-0.0013784145017435856,0.003178247111229715,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,multilevel,1,2,20230303,uptrend_momentum,0.999905835650958,0.9997855492016687,0.0030939159917509063,9.416434904196969e-05,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,multilevel,1,3,20230306,uptrend_momentum,0.9989007942633191,0.9997413114547512,-0.0010051360356193584,0.001099205736680875,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,multilevel,1,4,20230307,uptrend_momentum,0.998663806523098,0.9996874362081686,-0.00023724852516093797,0.001336193476901948,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,multilevel,2,5,20230308,uptrend_momentum,1.000091055608061,0.9997681600881471,0.001429158717518808,0.0,0.03224803345345312,9.516396820059489e-05,1.900736214540983e-07,0.0019356739445891959
11,multilevel,2,6,20230309,uptrend_momentum,1.0050729913547194,1.0008291263414615,0.004981482154771566,0.0,0.03224801507580962,5.010497832234895e-05,1.0021908132323395e-07,0.0019357741636705191
11,multilevel,2,7,20230310,uptrend_momentum,1.0069883844282828,1.0020609779588256,0.0019057253453618195,0.0,0.03224805075334067,6.477128113823241e-05,1.301997305749615e-07,0.0019359043634010942
11,multilevel,2,8,20230313,uptrend_momentum,1.010894518370473,1.003827686041155,0.003879025818562809,0.0,0.03224796577598772,5.258544927917372e-05,1.059058732281411e-07,0.0019360102692743224
11,multilevel,2,9,20230314,uptrend_momentum,1.01056754487886,1.005175657808696,-0.0003234496633139905,0.0003234496633139905,0.03224804790728441,6.224085993264059e-05,1.2583788824914154e-07,0.0019361361071625715
11,multilevel_outer,1,0,20230301,uptrend_momentum,0.9981976830506942,0.9999098841525347,-0.0018023169493057711,0.0018023169493057711,0.03225806451612904,0.9677419354838709,0.0019354838709677417,0.0019354838709677417
11,multilevel_outer,1,1,20230302,uptrend_momentum,0.9968217528887703,0.9997554775893465,-0.0013784145017435856,0.003178247111229715,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,multilevel_outer,1,2,20230303,uptrend_momentum,0.999905835650958,0.9997855492016687,0.0030939159917509063,9.416434904196969e-05,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,multilevel_outer,1,3,20230306,uptrend_momentum,0.9989007942633191,0.9997413114547512,-0.0010051360356193584,0.001099205736680875,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,multilevel_outer,1,4,20230307,uptrend_momentum,0.998663806523098,0.9996874362081686,-0.00023724852516093797,0.001336193476901948,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,multilevel_outer,2,5,20230308,uptrend_momentum,1.0000919320280595,0.9997683353721467,0.0014300363101507063,0.0,0.032251285188012846,0.0001137728246069121,2.2724160420164727e-07,0.0019357111125719434
11,multilevel_outer,2,6,20230309,uptrend_momentum,1.005075055395854,1.0008296793768883,0.004982665301268341,0.0,0.03225130258514143,4.0775396352672744e-05,8.155828983510875e-08,0.0019357926708617784
11,multilevel_outer,2,7,20230310,uptrend_momentum,1.0069911482648761,1.0020619731544858,0.0019064176936192112,0.0,0.03225123444116949,3.0493649905077164e-05,6.129681373513442e-08,0.0019358539676755135
11,multilevel_outer,2,8,20230313,uptrend_momentum,1.010897615084307,1.00382910154045,0.003879345738204254,0.0,0.032251283424554855,3.0477621941259886e-05,6.138139103002416e-08,0.0019359153490665435
11,multilevel_outer,2,9,20230314,uptrend_momentum,1.0105713295576089,1.0051775471438817,-0.00032276812392217913,0.00032276812392217913,0.03225128022515323,2.7979134541996492e-05,5.656808076125442e-08,0.0019359719171473048
11,split_base,1,0,20230301,uptrend_momentum,0.9981976830506942,0.9999098841525347,-0.0018023169493057711,0.0018023169493057711,0.03225806451612904,0.9677419354838709,0.0019354838709677417,0.0019354838709677417
11,split_base,1,1,20230302,uptrend_momentum,0.9968217528887703,0.9997554775893465,-0.0013784145017435856,0.003178247111229715,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,split_base,1,2,20230303,uptrend_momentum,0.999905835650958,0.9997855492016687,0.0030939159917509063,9.416434904196969e-05,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,split_base,1,3,20230306,uptrend_momentum,0.9989007942633191,0.9997413114547512,-0.0010051360356193584,0.001099205736680875,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,split_base,1,4,20230307,uptrend_momentum,0.998663806523098,0.9996874362081686,-0.00023724852516093797,0.001336193476901948,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,split_base,2,5,20230308,uptrend_momentum,1.0000909595038383,0.9997681408673025,0.0014290624847104194,0.0,0.03225340501736435,0.0002253837231563291,4.5016513379129547e-07,0.001935934036101533
11,split_base,2,6,20230309,uptrend_momentum,1.005073533548422,1.0008292194035264,0.004982120873340934,0.0,0.032253385735599174,8.610805371571037e-05,1.7223177212310567e-07,0.0019361062678736561
11,split_base,2,7,20230310,uptrend_momentum,1.0069884700166742,1.002061069526156,0.0019052700169026604,0.0,0.032253359092651826,8.549902377820787e-05,1.718656118874079e-07,0.0019362781334855436
11,split_base,2,8,20230313,uptrend_momentum,1.010894820129893,1.0038278196469035,0.0038792401596754456,0.0,0.032253302871323775,5.995197365403146e-05,1.2074189244870622e-07,0.0019363988753779923
11,split_base,2,9,20230314,uptrend_momentum,1.0105679495007063,1.005175845617664,-0.00032334781292553405,0.00032334781292553405,0.03225340689855147,0.00010067062647918165,2.0353482969407197e-07,0.0019366024102076863
11,frozen,1,0,20230301,uptrend_momentum,0.9981976830506942,0.9999098841525347,-0.0018023169493057711,0.0018023169493057711,0.03225806451612904,0.9677419354838709,0.0019354838709677417,0.0019354838709677417
11,frozen,1,1,20230302,uptrend_momentum,0.9968217528887703,0.9997554775893465,-0.0013784145017435856,0.003178247111229715,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,frozen,1,2,20230303,uptrend_momentum,0.999905835650958,0.9997855492016687,0.0030939159917509063,9.416434904196969e-05,0.03225806451612904,0.0,0.0,0.0019354838709677417
11,frozen,1,3,20230306,uptrend_momentum,0.9989007942633191,0.9997413114547512,-0.0010051360356193584,0.001099205736680875,0.03225806451612904,0.0,0.0,0.0019354838709677417
