,terminal_wealth,terminal_wealth,terminal_wealth,annualized_return,annualized_return,annualized_return,sharpe,sharpe,sharpe,max_drawdown,max_drawdown,max_drawdown,total_turnover,total_turnover,total_turnover,return_per_turnover,return_per_turnover,return_per_turnover,cumulative_fee,cumulative_fee,cumulative_fee,mean_cash,mean_cash,mean_cash
,median,<lambda_0>,<lambda_1>,median,<lambda_0>,<lambda_1>,median,<lambda_0>,<lambda_1>,median,<lambda_0>,<lambda_1>,median,<lambda_0>,<lambda_1>,median,<lambda_0>,<lambda_1>,median,<lambda_0>,<lambda_1>,median,<lambda_0>,<lambda_1>
method,,,,,,,,,,,,,,,,,,,,,,,,
frozen,1.0105706088485715,1.0105706088485715,1.0105706088485715,0.3034065896086666,0.3034065896086666,0.3034065896086666,7.079864620769317,7.079864620769317,7.079864620769317,0.003178247111229715,0.003178247111229715,0.003178247111229715,0.9677419354838709,0.9677419354838709,0.9677419354838709,0.010922962476857246,0.010922962476857246,0.010922962476857246,0.0019354838709677417,0.0019354838709677417,0.0019354838709677417,0.032258064516129045,0.032258064516129045,0.032258064516129045
multilevel,1.01056754487886,1.01056754487886,1.01056754487886,0.3033070072691233,0.3033070072691233,0.3033070072691233,7.0783815226251,7.0783815226251,7.0783815226251,0.003178247111229715,0.003178247111229715,0.003178247111229715,0.9680668020207439,0.9680668020207439,0.9680668020207439,0.010916131879330349,0.010916131879330349,0.010916131879330349,0.0019361361071625713,0.0019361361071625713,0.0019361361071625713,0.03225304355465207,0.03225304355465207,0.03225304355465207
multilevel_outer,1.0105713295576089,1.0105713295576089,1.0105713295576089,0.3034300144957194,0.3034300144957194,0.3034300144957194,7.080124093788595,7.080124093788595,7.080124093788595,0.003178247111229715,0.003178247111229715,0.003178247111229715,0.9679854341112188,0.9679854341112188,0.9679854341112188,0.010920959329636203,0.010920959329636203,0.010920959329636203,0.001935971917147305,0.001935971917147305,0.001935971917147305,0.0322546708444677,0.0322546708444677,0.0322546708444677
plugin,1.0105718204732377,1.0105718204732377,1.0105718204732377,0.30344597074073865,0.30344597074073865,0.30344597074073865,7.080437774982787,7.080437774982787,7.080437774982787,0.003178247111229715,0.003178247111229715,0.003178247111229715,0.967828498094014,0.967828498094014,0.967828498094014,0.010923237426937953,0.010923237426937953,0.010923237426937953,0.0019356575168545257,0.0019356575168545257,0.0019356575168545257,0.03225769399069701,0.03225769399069701,0.03225769399069701
split_base,1.0105679495007063,1.0105679495007063,1.0105679495007063,0.30332015749934294,0.30332015749934294,0.30332015749934294,7.0782935819844175,7.0782935819844175,7.0782935819844175,0.003178247111229715,0.003178247111229715,0.003178247111229715,0.9682995488846544,0.9682995488846544,0.9682995488846544,0.010913925874363026,0.010913925874363026,0.010913925874363026,0.0019366024102076863,0.0019366024102076863,0.0019366024102076863,0.03225571821961358,0.03225571821961358,0.03225571821961358
