day,regime,estimator,budget,cost,cost_std,seconds,mse,mse_se,variance_trace,bias_norm,bias_coordinate,bias_se,reference_variance_trace,reference_gradient_norm
0,uptrend_momentum,plugin,512,512.0,0.0,0.009638166000251658,1.4342460599343359e-06,5.6952764259823384e-08,1.4248399424987268e-06,0.00011070590463298224,8.996422485504116e-05,5.0664783149786186e-05,4.196211512372954e-09,0.0013350903281243594
0,uptrend_momentum,multilevel,512,499.616,66.0657089555512,0.010532422000193038,8.177193678149516e-05,3.0518060108851403e-06,8.187229388869809e-05,0.0002517687045175931,7.452750361373146e-05,0.00023654640209049162,4.196211512372954e-09,0.0013350903281243594
0,uptrend_momentum,multilevel_outer,512,509.376,51.98946463338251,0.012443523199763148,1.2326124864233367e-05,4.897060514105492e-07,1.2312546836529463e-05,0.0001954561878707392,0.00015732127349515754,0.00010477766197329092,4.196211512372954e-09,0.0013350903281243594
0,uptrend_momentum,split_base,512,504.192,36.58480602742248,0.012572622599545866,1.796553182778589e-05,6.072845121120487e-07,1.7982944841023693e-05,0.00013620894406846467,0.00011472255754912302,0.00012290186845870496,4.196211512372954e-09,0.0013350903281243594
0,uptrend_momentum,plugin,2048,2048.0,0.0,0.035179712199489586,4.137563107101458e-07,1.8486442992988946e-08,4.0644466023754276e-07,9.013622908175188e-05,6.68084103183661e-05,4.342128667711628e-05,4.196211512372954e-09,0.0013350903281243594
0,uptrend_momentum,multilevel,2048,2040.688,124.83797377156831,0.037788267799594905,1.8856497402971696e-05,6.105777339362762e-07,1.881736026149629e-05,0.00027707735742641136,9.095190133301883e-05,0.00012471127738332172,4.196211512372954e-09,0.0013350903281243594
0,uptrend_momentum,multilevel_outer,2048,2034.912,114.7186514651736,0.0402096230002353,3.1870972795403455e-06,1.0120449507319019e-07,3.1854218323199074e-06,8.970111975375149e-05,6.366548727308968e-05,6.210694828821426e-05,4.196211512372954e-09,0.0013350903281243594
0,uptrend_momentum,split_base,2048,2028.224,75.8021751899446,0.04144882219983265,4.5747467972363855e-06,1.4303099927495743e-07,4.57934395683714e-06,6.75390872970727e-05,2.3009405207647543e-05,7.000755073313913e-05,4.196211512372954e-09,0.0013350903281243594
150,oscillation_reversal,plugin,512,512.0,0.0,0.009355040200636723,1.1996609270933201e-05,5.239292125992111e-07,1.2006205890441282e-05,0.00012006578310579416,1.5234302579242407e-05,0.00011705222906606737,2.3510060190876528e-08,0.0029595376559234782
150,oscillation_reversal,multilevel,512,500.992,61.77734874236082,0.01062280179996742,0.0005514847023348819,1.847189638887187e-05,0.0005508418317982699,0.0013208157328743065,-0.0010985593934154704,0.0006230060447630514,2.3510060190876528e-08,0.0029595376559234782
