day,regime,level,outer_batch,cost,second_moment,variance_trace,mean_norm
0,uptrend_momentum,0,1,17.0,0.0009231969665853257,0.00092225462100154,0.0016693875600916192
0,uptrend_momentum,1,1,33.0,1.3220931966259054e-05,1.3232420940908601e-05,0.00012237592586891073
0,uptrend_momentum,2,1,65.0,2.5636948074024406e-06,2.5607963076099204e-06,8.955496863791936e-05
0,uptrend_momentum,0,8,24.0,0.00011025445861476641,0.00010777847458163323,0.0016405916561705496
0,uptrend_momentum,1,8,40.0,1.6334953199124476e-06,1.6257062283520975e-06,0.00010507380271530002
0,uptrend_momentum,2,8,72.0,3.6125011736177437e-07,3.605163138407311e-07,3.814231441227254e-05
150,oscillation_reversal,0,1,17.0,0.007643426200825468,0.007651540382378934,0.0026812122652433512
150,oscillation_reversal,1,1,33.0,7.808896415339176e-05,7.800610576973632e-05,0.0004887438953019219
150,oscillation_reversal,2,1,65.0,1.6828339133745733e-05,1.680686319566206e-05,0.00023471187544518298
150,oscillation_reversal,0,8,24.0,0.0009147984939518459,0.0009068107344070568,0.003130715735036239
150,oscillation_reversal,1,8,40.0,9.53843271598584e-06,9.49680454091475e-06,0.00024621491456229815
150,oscillation_reversal,2,8,72.0,2.4750076733883856e-06,2.4763890823376952e-06,5.9760933856196884e-05
290,negative_shock,0,1,17.0,0.25634406619856664,0.25634120989108866,0.022705477913050897
290,negative_shock,1,1,33.0,0.0020395819682415624,0.0020390529170799454,0.0021464288937153874
290,negative_shock,2,1,65.0,0.0004082282594707233,0.000408441575578411,0.000776895773877863
290,negative_shock,0,8,24.0,0.03387125246873899,0.033889708501733076,0.0070230608718261376
290,negative_shock,1,8,40.0,0.00016819104680010783,0.00016825010599304187,0.0005267267024293025
290,negative_shock,2,8,72.0,5.407551999484953e-05,5.408070260466053e-05,0.0003209030934695273
350,style_switch_lowvol_quality,0,1,17.0,0.005036471614960284,0.005009449043914062,0.006086170317535373
350,style_switch_lowvol_quality,1,1,33.0,7.269439360756712e-05,7.277188636735493e-05,0.00026086589073105444
350,style_switch_lowvol_quality,2,1,65.0,1.3795094505449586e-05,1.3782518780316533e-05,0.00020035159768188874
350,style_switch_lowvol_quality,0,8,24.0,0.0007592657148683093,0.0007529020789262331,0.0028052522346357833
350,style_switch_lowvol_quality,1,8,40.0,9.064336302630992e-06,9.047247951681451e-06,0.0001875709115318808
350,style_switch_lowvol_quality,2,8,72.0,2.89738692747905e-06,2.898483547875809e-06,6.855907451965987e-05
