day,regime,estimator,budget,cost,cost_std,seconds,mse,mse_se,variance_trace,bias_norm,bias_coordinate,bias_se,reference_variance_trace,reference_gradient_norm
0,uptrend_momentum,plugin,128,128.0,0.0,0.0035216900020410926,9.442566374497502e-06,8.264640252112906e-07,9.353729185010118e-06,0.0004947046350138795,0.00017512354597397367,0.00024317598753789395,3.1773465384083274e-08,0.001207391104043668
0,uptrend_momentum,multilevel,128,130.33333333333334,27.432917667492323,0.009038589999060301,0.0016665528302507585,0.00022412870732197555,0.0016806902738444555,0.0037247900572216267,-0.0011260825491775882,0.003293871481077821,3.1773465384083274e-08,0.001207391104043668
0,uptrend_momentum,multilevel_outer,128,121.6,20.44852984645488,0.009886873333501474,0.0005790030838362256,0.00011148387884321106,0.0005817017038773628,0.0026450724672150067,-0.001815583181983525,0.0015897163298677348,3.1773465384083274e-08,0.001207391104043668
0,uptrend_momentum,split_base,128,126.06666666666666,15.244745320503249,0.010594053333140134,0.0005796526195680989,9.769949395592845e-05,0.0005841905522825247,0.0022800387036809315,0.00034891590167213414,0.0019197258490124968,3.1773465384083274e-08,0.001207391104043668
0,uptrend_momentum,plugin,512,512.0,0.0,0.010595751665338564,1.449227704757095e-06,1.6049558295935076e-07,1.444395703607123e-06,0.0001700154783446425,8.906971505874518e-05,0.0001339736387595473,3.1773465384083274e-08,0.001207391104043668
0,uptrend_momentum,multilevel,512,523.3,63.14988895141678,0.016711638335254974,0.000513802165368745,6.15038782437242e-05,0.0005132482470249828,0.0030179555653088454,0.0023994149420066852,0.0015371669203457293,3.1773465384083274e-08,0.001207391104043668
0,uptrend_momentum,multilevel_outer,512,508.8666666666667,28.05168756316174,0.01905516499973601,0.00017202566901882436,3.483324559237994e-05,0.00017114395531013198,0.001932385304193044,-0.0007504655927868472,0.001050687330603537,3.1773465384083274e-08,0.001207391104043668
0,uptrend_momentum,split_base,512,506.8,33.167678773984726,0.01979779333487386,0.00014212340208410694,1.2315142470385407e-05,0.00014316989130956246,0.0011574435751706639,-0.0005418825400929221,0.0009384026246254527,3.1773465384083274e-08,0.001207391104043668
150,oscillation_reversal,plugin,128,128.0,0.0,0.0036011366663539473,8.009013720833871e-05,6.849217131600701e-06,7.91994510478188e-05,0.0014868345608428936,-0.0008540375081894124,0.0006910423823967456,2.1430144281830704e-07,0.003190612981718594
150,oscillation_reversal,multilevel,128,134.0,32.34978322301822,0.00939271000146012,0.0095627948588932,0.0012307926604482862,0.009483268520325518,0.015413656733768395,0.012883362428491012,0.008704456136485267,2.1430144281830704e-07,0.003190612981718594
