day,regime,precision,batch,objective,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9
0,uptrend_momentum,half,0,-0.0004702146992868069,-6.670291056889494e-05,9.247605602753407e-05,0.0009384526020281147,-0.0006475611191315573,0.00014353708083711408,0.0005940880630108334,-0.00011431011281312308,-7.160948838764956e-05,2.0149266737723776e-06,-3.469125653400176e-05
0,uptrend_momentum,half,1,-0.000407428015641341,0.00042965812702256545,6.848501701407902e-06,0.0007972270375596692,-0.0005731578547427423,-0.00043080701663871646,0.00025720145460607867,0.0002124365152045736,-8.464463658124075e-05,4.018219465953656e-07,3.853091460602888e-05
0,uptrend_momentum,half,2,-0.0004260898572274155,0.00011696117742361894,7.981353482958546e-05,0.0010850061077643854,-0.0003657198404405549,-0.00023648346589668975,0.0004995219565673873,-1.7039713055053494e-05,-8.035156246433969e-05,-9.506242662800115e-06,9.012626641699728e-05
0,uptrend_momentum,half,3,-0.0003916522496752381,0.0003879996548361038,-1.142726097652588e-05,0.0009097231626202205,-0.0007361392921361498,-0.00022403832311668456,0.00039612414177872757,7.41341302506207e-05,0.000299190051927975,3.9021555726155344e-07,-5.310062596141895e-06
0,uptrend_momentum,full,0,-0.0004214117166057741,0.0002329720408869738,-6.141426585052605e-05,0.0009194121373536095,-0.0006776895463386312,7.464847726413068e-06,0.0005967521042324847,-1.1585267537916481e-05,7.154710068473107e-05,2.082133235326886e-06,-3.861491811558803e-05
0,uptrend_momentum,full,1,-0.0004522882028628713,0.00043732863866371334,0.00011516334617609423,0.0010607582722757644,-0.0006844754946358589,-0.0002376292862543958,0.00021537858155536047,9.469485247983068e-05,0.00031330085411282487,7.344402331281425e-06,6.58263925328328e-05
0,uptrend_momentum,full,2,-0.0004270626054873356,0.0005661420251320867,-1.7940934230141856e-05,0.0007963850056881846,-0.0005561827298721058,-6.453068694819168e-05,0.0003317086909359349,-5.9102942596149155e-05,1.3498513940310772e-05,6.882898112099325e-07,2.4280602484337232e-05
0,uptrend_momentum,full,3,-0.0004241309842220386,0.00013859879038578463,-5.0755885236863736e-05,0.0008060684528517833,-0.0005432345833755242,-5.673011667743255e-05,0.00033877602630468255,4.886640889887319e-05,5.307402282298531e-05,-3.6067836189309447e-06,3.99792519077962e-05
150,oscillation_reversal,half,0,-0.0015660270103608762,-0.00044057402594753053,-0.0003288651494983835,-0.0015610027982005943,0.0013796068884038496,0.0009884723577489216,3.874723998485565e-05,-0.001042628335542009,0.0015480818032050203,3.485817664363028e-05,-5.409638077677201e-05
150,oscillation_reversal,half,1,-0.0016563426804173022,0.0010832588630890658,0.00026896961433421277,-0.001503188609531475,0.001680959741040731,0.0007761110883085288,0.0007255167463122845,-0.0005361587117985406,0.0008326520457366214,-0.00011905788310508864,-2.7069615782012818e-05
150,oscillation_reversal,half,2,-0.0017706788122520186,5.027903896525299e-05,0.00042126420763107463,-0.0008547250179749986,0.0017658715772374382,0.000728669001566143,6.020638063402607e-05,-0.0003351235255987219,-1.4766378064125814e-06,-3.072931282529957e-05,0.0002898455107843473
150,oscillation_reversal,half,3,-0.0017315142193067158,0.0010149941784484745,0.00040191225220734527,-0.0019037954414920786,0.002528013510173287,0.0015992883487322476,0.0010023898542234778,-0.0007358072442372923,0.0001338749249789989,-5.747507691101305e-05,0.00019262412340763772
150,oscillation_reversal,full,0,-0.0017182293961236653,0.0002509556440343424,-0.00012350524985600906,-0.002084927412362003,0.0024706257223690085,0.0009898677671773802,7.399611446755058e-06,-0.0005969416164260695,0.0007638011464193324,-1.7618767189345072e-05,-1.9408312065962082e-05
150,oscillation_reversal,full,1,-0.0016589977492254093,0.0013487032399852666,-6.370348541965189e-05,-0.001276094038753241,0.0017388661106042909,0.0009530586615164798,-0.00010190717069151237,-0.00035707824957643264,8.935914975399181e-06,-0.00011458782323154524,-3.6328002944413615e-05
150,oscillation_reversal,full,2,-0.0017096934277140738,0.0014452112062336231,7.350745701680091e-05,-0.002199794243617083,0.0025408599303264933,0.0009359565877848763,-3.626547896069081e-05,-0.0005548214286211928,0.000788891554660952,-8.777894092093456e-05,-4.729541184312745e-05
150,oscillation_reversal,full,3,-0.0016259883696310854,0.0008459874781437881,0.0002408086824995469,-0.0014270110363889031,0.002117134263318508,0.0007258679631544338,-8.989081305386777e-05,-0.00038761099645712746,0.0003201557179904499,-6.676158169077787e-05,0.00012376286557024184
290,negative_shock,half,0,-0.015530411785414729,-0.0017715160401327818,0.0022807544155184303,0.0007058115210858962,0.0009076226433087373,0.0003614481918311745,0.0012070769149524858,-0.003729330610340903,-0.0014547872704603025,-0.00024543823308658763,0.0018859462993372222
290,negative_shock,half,1,-0.01456064910296875,-0.0016667996742381027,0.0018874448478707762,0.002836045849129326,-0.0045584949624099,-0.003302205650513687,0.001866720424017282,0.004770130689360726,-0.007186190660498782,-0.00023852059130897407,-0.0002505690590867335
290,negative_shock,half,2,-0.015028773337393938,0.007409684331612238,-9.437517353385836e-06,-0.009019399533467512,0.004934634060627014,0.004225602509280347,0.00501880058680294,-0.0050621333852183,-0.0007928988954747442,0.0008935563002556385,0.0008590692573993336
290,negative_shock,half,3,-0.015036473302161596,0.0024423782542060475,-0.0007115310352070891,0.0019580087916528663,-0.0034603013205403155,-0.0008762419051997344,-0.004498799808188411,0.0021355389735592924,-0.0021636555110244302,0.0004004062529587457,0.0007525385211363386
290,negative_shock,full,0,-0.015397093510415119,0.00022930987685945248,-0.0017170067380193536,0.002003103254085482,-0.0029107487800679255,-0.0009681667759728094,0.00014430492317805304,0.0002263953818659497,-0.002904073319093083,4.8536925606245076e-05,-0.0008605755189454554
290,negative_shock,full,1,-0.014978322321439454,-0.0042141555244186975,0.0010056135510056305,0.00401074540556905,-0.0026826539355841823,0.0005218281794081623,-0.0016594536800353056,-0.0018261139038629583,0.0027800638413209653,-0.000601383432399755,0.000286193539842698
290,negative_shock,full,2,-0.01564047971768618,0.0062757675089288156,0.0010516847087186454,-0.0007911134826121279,0.0003682606530780971,0.005540414054093446,0.002311189676060631,-0.006549115536861529,0.004229132120891084,0.0009039896158652783,5.3512611267471006e-05
290,negative_shock,full,3,-0.01511211049096739,0.004567944833819428,0.000485630816654789,-0.0003070065906939036,0.001457411023458117,0.0007744742300188626,-0.0005598198562987058,-0.0026705784485358936,-0.002441488864520459,0.0005203719867365877,-0.00019765171993182528
350,style_switch_lowvol_quality,half,0,-0.001245359529932432,0.00030133166473159237,0.00013881388477078097,-0.00047829671662175495,0.0007524507858743725,0.0010514127948503592,0.00022700741399159712,-0.0007059352349672964,0.000884427818029822,-2.1783302406512207e-05,-7.989641338480085e-05
350,style_switch_lowvol_quality,half,1,-0.0011549427674687346,0.0016903802066331336,0.00016781041998995108,-0.00023595959239683964,0.00023426430337034917,0.0015397249853010232,0.000955150996516457,-0.0008587795928452341,0.0006817592273836463,5.334238501846987e-10,0.0002509821676843384
350,style_switch_lowvol_quality,half,2,-0.001310862253764694,0.00032664473060283307,0.0002001155693149191,-0.0007057235590384703,0.00025874626890671804,0.0019793135140676764,0.0011165726340039987,-0.0008260852129883495,0.0014061586695177084,-1.1991061675577156e-05,0.0001970134294079191
350,style_switch_lowvol_quality,half,3,-0.0012574193513324537,-0.00020760500947916022,0.00012637917495449594,-0.0011673731354327236,-0.00024373971869939788,0.0023618691133130134,0.00093637385691146,-0.0016121365101406599,0.0012783607353143232,1.703083373748248e-05,2.8557668439706302e-06
350,style_switch_lowvol_quality,full,0,-0.0012252523155615795,0.0005300622826207415,3.751208080333979e-05,-0.0003140552882627346,0.000346155995801988,0.0013561942544882695,0.00044675647135110157,-0.0007847588990547372,0.0014282060220181137,2.3074858648552125e-05,6.221123215439867e-05
350,style_switch_lowvol_quality,full,1,-0.0011928971738898668,0.0015691992027859994,0.0003094117738346541,-6.0544940957453006e-06,0.00016355591697988397,0.0014917330851254437,0.0008425639829456583,-0.0007926957973863082,0.0010728804695263599,1.3680750820432538e-05,0.00013417683357006124
350,style_switch_lowvol_quality,full,2,-0.0011905562333411647,-0.00024615001611483196,0.00012074749260068084,-0.00047481713219146686,0.0002080441622496355,0.0013889807083786402,0.0007490466392334452,-0.0009505929944505731,0.0012714315007580522,-1.1390502285240804e-05,0.00010527269458388262
350,style_switch_lowvol_quality,full,3,-0.0012501923434132696,0.0010393491818608137,0.00013762956728149002,-0.0010072093735627751,0.0006675439086378545,0.0009586026500510581,0.0011669941229971326,-0.0006600603094459234,0.0013481859748772412,2.959636261864614e-05,0.00012876285503468646
