day,level,outer_batch,replication,cost,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9
0,0,1,0,3,-0.007624770159305774,-0.0010334190894371706,-0.0021220371260944567,-0.00025226797958670144,-0.0014873940195596215,-0.0016559758981645474,0.001982366857929094,-0.00047242358611439153,-7.16956836563787e-05,-0.0005569610061748843
0,0,1,1,3,0.024552129152889044,0.01656973160157018,-0.001135009555316153,-0.05600081563711632,-0.03202584224320827,0.002035585214358717,0.041003226540289164,-0.020439428465284723,-0.00037635170007129757,0.0026038772268010776
0,0,1,2,3,-0.017846065737620875,-0.005782246838488364,-0.03781332926470984,0.02108812779562015,0.07327018087773148,-0.005219178969627471,-0.03336502256643414,0.014373193527772818,-0.0005849036439846005,-0.006664611173091294
0,0,1,3,3,-0.00933580032889276,0.0018839430077173648,-0.019461489049412407,0.0008693986333692952,0.010290101681393595,0.0010704799077120078,0.002975420435839553,-0.009504419411142396,0.0004608682380917369,0.0007583732119496162
0,0,1,4,3,-0.0024234605922659447,0.001067822841065691,0.0004356037499672378,0.0003798297799432943,-0.002216206180949133,0.00011636881571913099,0.0024933347801133925,-0.0027096461296012933,5.057230633126423e-05,0.00034434241626640836
0,0,1,5,3,0.00015985035236976405,1.3671798330248705e-05,0.0006943337040762744,-0.001213594868465503,-0.0011385156001166611,-0.0008152871110060367,0.001289464746804816,-0.0009667028281327565,-2.9377117827111723e-06,0.0002138303170697166
0,0,1,6,3,0.009013514952166145,0.0014979415703856008,-0.004497851863356928,0.006285100730668883,0.0013704691075366007,-0.0009988491670252985,0.0007975616012632729,0.004034951632944544,-4.8023057118671816e-05,-1.5491003029499108e-05
0,0,1,7,3,0.2611024410358246,-0.09959489617267349,-0.04098259656537211,-0.07368417909187777,-0.12049970693527184,-0.026169885194174822,0.19458531160043765,-0.022479188573879497,-0.003281356047762737,0.03880361985165008
0,0,1,8,3,0.05245116575249804,-0.012375625853750315,0.042028399601525615,-0.005005903087652392,-0.04393558491374112,-0.04359471731218355,0.027554496427008704,-0.032401436719278344,-0.0005311995138396789,-0.006444814552612494
0,0,1,9,3,-0.010938498402593687,-0.008479694249564391,-0.011543323302179314,0.0012850789377234309,0.019992966488718983,-0.005487840757458351,-0.009484053125514967,-0.0034446671086863024,0.0012637320889061384,-0.0022605008719252316
0,0,1,10,3,0.001476234585387687,0.005729112446384644,-0.025998622865335212,0.00549386262216402,0.007920550450286017,0.010429284101087665,-0.02230167777480246,-0.0040898680611080795,-0.0001548505119478742,-0.0037669205139253736
0,0,1,11,3,0.0022362778309199397,0.0005245010863857254,0.027054649004802107,-0.01778191653196398,-0.014307808198729259,0.003424843896682034,0.002892096150615682,-0.006970109764809572,-0.00028905077454406664,0.003525910005349404
0,0,1,12,3,0.009209393784706884,-0.015212610968519315,-0.018836643145944056,0.017425459525257384,0.0024812657511149774,-0.010562808822921276,0.00598844430426324,-0.005666358092845073,-0.0005518584403777225,-0.008436736649469546
0,0,1,13,3,-0.17613714174604353,0.0426913709556443,0.059055818791595376,0.056645704419294625,-0.15921762414020302,0.08130060095564574,0.0846838596421657,-0.26451121452173054,-0.0034913859658635177,0.004025744898632168
0,0,1,14,3,-0.023420839684642376,0.0007765998597962598,-0.0018428647617485393,0.0014996894094565741,0.0017126732861298699,0.005431822264383064,-0.0018037317462112456,0.008673694389866366,0.0003472008379577873,-0.0009257762856404009
0,0,1,15,3,-0.18932296256326356,0.12912658463207585,-0.08595811389122449,0.08550752708734076,0.11204895791626501,-0.05413037774176435,-0.168027084699927,0.10153722142544591,0.009817699587622578,0.010487801575910104
0,0,1,16,3,-0.03454698154831257,0.001159772319080733,-0.006477877401960349,-0.0008613802582891903,0.0019512973116748054,-0.005054835428754419,-0.006358763851247526,0.0016423092656048261,7.891037153195841e-05,-0.002542199136940102
0,0,1,17,3,-0.02389380143359132,0.0015290149403590272,-0.02746423600848599,0.029955677196934025,0.023675827284691562,0.002602132332599035,-0.023132861240851392,0.02323990019195205,0.001149328953926594,-0.0013329460522237355
0,0,1,18,3,-0.0003760891897545951,0.0005242125999937756,0.0005548327494821928,-0.00039590718390459395,0.0008024633102208165,0.0010162164571984765,-0.0010512539405821708,0.0004606557954364206,8.075521186309132e-06,2.6736287144605517e-05
0,0,1,19,3,0.03579486879922386,-0.0015748035144397526,0.00831315135705533,0.0030793053674046437,-0.013363580435984117,-0.004320323962795708,0.007898461116877802,0.0013602564673295947,0.0001657339433200663,4.990459067653592e-05
0,0,1,20,3,-0.019384548122376385,-0.0047385333407089425,0.0076545289193368175,-0.004840308151582005,0.018545023954801936,0.012238341258048771,-0.01907446312555672,0.00960498261877784,-0.00022218329062545706,-0.0008349619450472774
0,0,1,21,3,0.3315387826907128,-0.07049080725140826,-0.03299749847481472,0.08670866400222986,-0.12717248272144122,-0.05827628990565727,0.002510265549921455,-0.06417069579823165,-0.0012177470954088882,-0.02202181702919552
0,0,1,22,3,0.015858132194412216,0.006063194205695181,-0.010753905488076044,-0.02578401590137075,-0.01988815611553211,-0.031181670786953497,0.025256274195642126,-0.023433707239275913,0.00019165873629946323,0.0030331586679618406
0,0,1,23,3,0.02238177054548365,3.105337098777984e-06,0.01092507172168773,-0.015647732520921203,0.0005551565306120949,0.03524212360535162,-0.017383285444526973,-0.010752603671882134,0.0004862457302646853,0.0018354240143903387
0,0,1,24,3,-0.009386380488740584,-0.020256863495359743,0.005967818149798611,0.004909916133905503,0.03297554992208645,0.024522750393758532,-0.043054657563995485,0.04372325185686755,-0.0004341114781245049,0.004464043832094014
0,0,1,25,3,0.06627355360552985,0.021472636478226077,0.033329400688105484,-0.013551929102998466,-0.013713240949213798,0.009602914043909443,-0.0149931288914612,0.00849351158466711,0.0017350550055210943,0.0023003095663098718
0,0,1,26,3,-0.0017787831583065627,0.0008443088821433424,0.0002831276445752384,-0.0013851016616168745,-0.00268011179234053,-0.0002161550411087553,-0.0006147947805498637,0.0011201552960529223,9.877025883820692e-05,-0.00048080094247532264
0,0,1,27,3,0.021740165855230975,0.002886863242631595,0.0031037264108179042,0.007729249908462797,-0.005566722468135905,-0.001004593897700133,0.0019670425329780072,-0.005350511778890601,-6.516678781333053e-05,0.0002889956271816789
0,0,1,28,3,0.03928226501741925,0.010803467318557147,-0.039055627636925716,0.04028631658105572,0.010473958569514689,0.016697245609475716,0.004853605968765868,-0.0052284870880140765,-0.00015086898387111318,0.006236657385969625
0,0,1,29,3,0.11726867175601736,0.019201058507320824,-0.028210095115568358,0.01070240910593568,0.023324790475634908,0.04009212234482108,0.00031520767340260583,-0.05116991797635406,-0.001746155215509562,0.0021018222950846674
0,0,1,30,3,-0.013613777879814975,0.008421379765293432,0.0043069359082596615,-0.0039717663421821175,-0.0036391108877341202,0.014012751813901951,0.006878508452846928,-0.005762426617949679,0.000176910824842643,-0.0006603166006632363
0,0,1,31,3,-0.009403445025951732,0.00099579463976184,-0.0020904110850384163,0.00846547704066234,-0.0017615167981790243,0.0024523038076813795,0.005888251574434348,0.0005070260735053101,-0.0005245675538570178,-0.0021455700510586754
0,0,1,32,3,0.0002088836746646597,-0.0021798076105236895,0.0024072193569969888,0.001381730580128758,0.0027342457062670277,0.002166326537393874,-0.0028666653953676475,0.0009022670836033765,-3.999415433478026e-05,-0.0005035117660832735
0,0,1,33,3,-0.002058067575940172,1.5853532049423784e-05,0.005140604061189609,-0.0017294077223061531,0.00019698016123845125,0.0004785124146964041,-0.0010282833498411414,-0.0011910910374340784,0.0001447954794007327,0.0002399372417278621
0,0,1,34,3,-0.007731662541137241,-0.001990516308919424,0.00755866800553742,-0.0027152951844050606,-0.006186049732840582,-0.0028697957956991807,0.0054542667751771925,-0.002564847006440873,2.3629818523492136e-05,-0.00067427356579983
0,0,1,35,3,0.0009316431010722177,0.00017519046194835932,-0.001032338082570524,0.00023372013399118323,0.0009714401692545653,-0.00022269633897552764,-0.0010019142834705435,0.0007671851257543366,-5.11417771051821e-05,-4.7461951380243756e-05
0,0,1,36,3,-0.011758243711647107,0.008822187954257599,-0.041707591228200586,-0.0041924057208944316,0.018667517245951577,-0.03461302785438744,-0.021093764295297617,0.051233155262037006,-0.0003000027432435956,-0.0010587875375294826
0,0,1,37,3,-0.11075638698762995,-0.0037951101748301417,0.01646931601490415,-0.024034840717979563,0.00250807139119033,-0.01287385738147649,0.007684887276303983,-0.0021263488690315634,0.0017643590466370556,-0.009366123098912502
0,0,1,38,3,-0.0031544512353090144,0.001261844913077666,0.011589126227244154,0.005109642632111804,-0.006063836711191566,0.0008515279228679382,-0.0019237618192446365,-0.010762435057370583,-0.00019475155425799983,9.400102183173309e-05
0,0,1,39,3,-0.058304499667113624,0.009921286043783683,-0.0046560588435853425,-0.0018813435190818655,0.013078387034423518,0.017660911595433947,0.008435500196200317,-0.03499710842405267,0.0005161928274333705,0.0043941697390802404
0,0,1,40,3,0.008016024344467998,-0.0009122103143131008,0.0013542406796739016,-0.007688555416618222,-0.005041479186244546,-0.0006395928921307352,0.005428871316049601,-0.006361400017909689,-2.9843674704134195e-05,-0.0011607646579245333
0,0,1,41,3,-0.0006347644814335528,-0.0004470431620900773,0.00023245782133293218,0.00010240650167058186,-5.3768518848786076e-05,-0.00026325778211271387,0.00023317873136017902,-0.0013453895756942592,-2.0193741535365048e-05,-0.000166261177438301
0,0,1,42,3,-0.02952468269673659,-0.004563667515348483,-0.0040007331236131954,-0.015652076770838234,0.0011590457800200447,-0.0033593814015315964,0.005987859869196815,0.0005885950605442129,5.878369095806531e-05,0.0004086145155051206
0,0,1,43,3,0.004404459085935279,0.007756079099821344,0.0051164924546833294,0.0027048636960480986,-0.0020500434220964777,0.002187435202552408,0.007128394705218034,-0.0026952091693997035,0.00032616992209245926,0.0008153833285993019
0,0,1,44,3,0.002255727947197589,0.0009819190077304638,0.0003372401222359833,-1.643432127205745e-05,-0.0007901682961876813,-0.0001946125867368029,-0.00048166481990943855,0.0007906107023643469,-6.26513604146969e-06,0.00024580095871939555
0,0,1,45,3,-0.007408417003041974,-0.002399911441568259,0.02933615028405877,0.0010081023719162503,-0.01600052547459733,8.44568277274146e-05,0.0028238659123613645,-0.0029274336523187287,0.00013284438242925479,-0.004356221439197702
0,0,1,46,3,-0.04526376673603758,0.007021065549740786,0.0345725416357337,-0.04589924980143198,-0.005327404703014045,0.059054316747583165,0.022316639347128533,-0.05045095446763416,-0.0013233954508680688,0.0030688160279699456
0,0,1,47,3,-0.03066332326553744,0.006561597586265161,0.002854251689160139,-0.0063410318753223125,0.019270788145761823,-0.005610161855598364,-0.020253899596236555,0.02555554623987239,-0.0006829329284417716,0.0016807214226293608
0,0,1,48,3,-0.0009730757158857388,-0.011006015686652298,-0.010220571257888769,0.009874393250447096,-0.005024621302200214,-0.019489522732846206,0.009845989455845316,-0.032837864335349715,0.00030303991193457436,-0.0016028251349192242
0,0,1,49,3,-0.0028284115709668336,-0.0011399563086596032,0.0037711722604959795,-0.005732169808441748,-4.756483072043612e-05,0.0030421046936440098,-0.002189973174249672,0.0013481091838540627,3.1882825481913704e-05,-8.963239674028396e-05
0,0,1,50,3,-0.012675056178202413,0.002013320418614212,0.0008552873171641548,0.00034404479271364353,-0.0012240657202839081,0.005956780160818118,0.005639133675336729,0.0018179882662330107,-0.0006400817476551885,-0.0010835617840023353
0,0,1,51,3,-0.000460944824786066,-0.0012657593919935025,0.002341166132841717,0.004216343572714386,-0.0008295068811890832,0.0028883792772819586,-0.003698113980430064,0.004141665708552507,3.938966482160834e-05,-0.0005886158651718119
0,0,1,52,3,0.03209613500276199,0.00864176106272385,0.008070339122196337,-0.00019195386526107473,-0.028778028021901398,-0.032486007640021866,0.04121247868145886,-0.017607329579274807,-0.0003241134448090825,-0.0031792479978164983
0,0,1,53,3,0.0009225492766824805,0.0019062030810066944,0.0014473767507230423,0.000965703234020926,0.000364054898519801,0.0019453905236670444,-0.0022315135314755685,0.0023242564174805994,-6.437619551478612e-05,0.0011917243045101267
0,0,1,54,3,0.027778885994138247,0.016526534438683717,0.004008379193417222,-0.03019256863293665,-0.001700738838295685,0.00801345097534982,-0.014887709506864872,0.023679712649288368,0.0006813678603099324,0.004997385120558421
0,0,1,55,3,0.007321188058833413,0.004634483933097923,-0.02196488928274446,0.003385983263541704,0.017976881413635088,-0.0027751869069756315,-0.006603151955386229,-0.01408966983459195,-0.00016122200632522171,0.001781092223203362
0,0,1,56,3,-0.03673688235187653,-0.001299744808893819,0.11895308423981571,-0.05292894351825343,0.006093343805909828,0.03205569250553556,-0.014180105748766852,0.03843178499478698,-0.0004236900181553092,-0.02694154017257058
0,0,1,57,3,0.06918504601926433,0.05281869608288695,0.08449176948644105,0.05724219894327997,0.13575921213860692,0.006249727599032668,-0.18563627692514442,0.18075783050554445,-0.005682336728184128,0.04467946963044387
0,0,1,58,3,0.00011069750456960142,5.208504688623557e-05,-5.401052598882324e-05,5.1338751913656246e-05,6.378893799259062e-05,0.00011328857392655754,-8.36995217486255e-05,2.0516206296454235e-05,-1.0247875982679367e-06,8.501384527221563e-06
0,0,1,59,3,0.04305790000980351,-0.05978993461285791,-0.046475312087439165,0.09506047272713902,0.037157585900761084,0.024037231453710686,-0.1318328780112325,0.11610879131342838,-0.0014248974543253703,-0.009005102410167547
0,1,1,0,5,0.0506574137731865,0.005697384401402419,-0.02144718159705783,0.024141136823360478,0.014552490964198148,-0.008516208020523587,-0.004028017884202661,0.014045733517131462,-0.00027495499521238895,0.005165323864140537
0,1,1,1,5,0.003402315859222375,-0.005211691188041467,-0.017752662937486275,0.0014996146405803093,0.01977527293115518,-0.00885404648609942,-0.005439209477673675,-0.0015976989378949438,0.0001346719935813801,-0.00328283078691282
