agent_type,PGR,PLR,disposition,transnum,stknum,num_posts,lag_pos,lag_neg,lag_neu,lag_num_posts,guanzhu,fans,status_count,stocks_count,following_count,e6_pgr,e6_plr,e6_disposition,e6_reduce_rate,e6_opportunity_count,gain_opportunities,loss_opportunities,sentiment_balance,activity_rank,diversification_rank,reference_rank,base_adoption,loss_aversion,cluster,type_prevalence,type_count
Active diversified investors,0.3947717610704206,0.34167583994203754,0.0530959211283831,2.0703703554589965,3.434277770062314,17880.219357870646,370.9427564800811,178.47456779240062,51.07817131585113,17691.912604679474,101.42455621301775,253.56952662721895,173.34467455621302,105.40828402366864,32.99112426035503,0.6285528730707635,0.5014099685436649,0.1271429045270985,0.5368322776358614,74.31508875739645,35.053254437869825,39.26183431952663,0.34099918406191615,0.5325180311037602,0.6382910865238004,0.3251127422066365,0.5368322776358614,1.5438148931440252,3.0,0.19419706980752657,676
Disposition-effect investors,0.5521250878794743,0.21506476192989996,0.33706032594957436,1.3328298174292217,3.065693665509033,13163.789536587397,278.7830804182242,128.61869902534465,36.08034998137674,13021.548481459224,65.97995991983969,233.07715430861722,129.70541082164328,89.3006012024048,24.77755511022044,0.7931963839919914,0.43155375089482484,0.3616426330971666,0.5802344775019043,59.40681362725451,25.115230460921843,34.291583166332664,0.3670152968002348,0.4526673283366503,0.5887760870779191,0.8385707064804703,0.5802344775019043,2.4465705323886664,2.0,0.28669922436081585,998
Low-frequency diversified investors,0.6611651439237647,0.48638373121131745,0.17478141271244718,0.4482758620689655,2.651340996168582,15617.206896551725,,,,,100.22988505747126,135.94252873563218,88.66666666666667,101.24137931034483,24.229885057471265,0.7375251092116258,0.530598572176278,0.20692653703534783,0.6186166646987991,5.919540229885057,2.5632183908045976,3.3563218390804597,,0.20734892536495328,0.37869287131786017,0.5142712326686413,0.6186166646987991,1.8277061481413912,1.0,0.024992818155702385,87
Moderate-frequency focused investors,0.4877352325228898,0.4345510820572213,0.05318415046566852,1.7608660616936587,2.157783738024142,8643.09510160042,193.20149376732292,74.33823787748352,21.57612844426311,8535.481662343696,57.58779069767442,254.36279069767443,112.50581395348837,79.50813953488372,14.380813953488373,0.7880889090690826,0.6365037142658244,0.15158519480325802,0.7289096662584288,45.14360465116279,20.740116279069767,24.403488372093022,0.4156076242326597,0.5297770120855407,0.4005641923264499,0.37185385113873987,0.7289096662584288,1.6195399947113096,0.0,0.4941108876759552,1720
