user_id,PGR,PLR,disposition,transnum,stknum,num_posts,lag_pos,lag_neg,lag_neu,lag_num_posts,guanzhu,fans,status_count,stocks_count,following_count,e6_pgr,e6_plr,e6_disposition,e6_reduce_rate,e6_opportunity_count,gain_opportunities,loss_opportunities,sentiment_balance,activity_rank,diversification_rank,reference_rank,base_adoption,loss_aversion,cluster,agent_type,type_prevalence
000039,0.5357142857142857,0.36938775510204086,0.1663265306122449,5.326530612244898,2.7142857142857144,2466.877551020408,53.625,21.854166666666668,8.395833333333334,2474.0208333333335,34,3,15,32,0,0.7792832305990202,0.44763596589590143,0.3316472647031187,0.6054706229015856,153,75.0,78.0,0.3743249877270496,0.9465670784257397,0.6568514794599253,0.8307957483481758,0.6054706229015856,2.326589058812475,2,Disposition-effect investors,0.28669922436081585
000094,0.8125,0.125,0.6875,0.125,1.5208333333333333,1228.25,31.8,9.133333333333333,1.8666666666666667,1264.2666666666667,10,1,50,31,0,0.8494517244517243,0.5136416539925313,0.3358100704591931,0.7186604440493577,20,13.0,7.0,0.517503805175038,0.14291870152255098,0.3003447285262856,0.8356794024705544,0.7186604440493577,2.3432402818367724,0,Moderate-frequency focused investors,0.4941108876759552
000170,0.4095238095238095,0.370952380952381,0.03857142857142857,2.4571428571428573,4.752380952380952,1906.4571428571428,38.911764705882355,15.147058823529411,5.323529411764706,1928.0294117647059,38,2,187,483,0,0.8369437619437619,0.7173664931559668,0.11957726878779507,0.8087813854349918,65,35.0,30.0,0.3935703848027277,0.7882792301062913,0.8994541798333812,0.23642631427750646,0.8087813854349918,1.4783090751511803,0,Moderate-frequency focused investors,0.4941108876759552
000172,0.6451612903225806,0.3440860215053763,0.3010752688172043,1.967741935483871,0.989247311827957,27715.16129032258,621.1666666666666,311.1,80.96666666666667,28094.0,64,17,27,310,0,0.861207137369928,0.6352312404943984,0.22597589687552966,0.7923121654571916,39,23.0,16.0,0.30571531863147855,0.7196207986210859,0.051996552714737146,0.587762137316863,0.7923121654571916,1.9039035875021186,0,Moderate-frequency focused investors,0.4941108876759552
000226,0.6,0.3,0.3,0.8,1.0,10774.4,197.75,105.25,24.5,9424.25,21,1,1,24,0,0.7839959524742133,0.536180194074931,0.24781575839928227,0.6572747319249743,7,3.0,4.0,0.2815829528158295,0.4198506176386096,0.0800057454754381,0.6582878483194484,0.6572747319249743,1.991263033597129,0,Moderate-frequency focused investors,0.4941108876759552
000261,0.39687500000000003,0.15243055555555554,0.24444444444444446,0.9375,4.631944444444445,603.2916666666666,15.74468085106383,4.1063829787234045,1.425531914893617,588.0,9,4,10,25,0,0.8466447216447216,0.4892936382677685,0.3573510833769531,0.6802540169420606,84,45.0,39.0,0.5224450811843361,0.4610744039069233,0.8916977879919563,0.866704969836254,0.6802540169420606,2.4294043335078124,2,Disposition-effect investors,0.28669922436081585
000324,0.65,0.3,0.35,0.3,1.5,3116.1,54.0,30.666666666666668,12.333333333333334,3096.6666666666665,6,1,0,18,0,0.7343968968968968,0.5947329863119337,0.13966391058496308,0.6784690789135516,15,10.0,5.0,0.23809523809523808,0.21689169778799194,0.2889974145360529,0.2910083309393852,0.6784690789135516,1.5586556423398523,0,Moderate-frequency focused investors,0.4941108876759552
000382,0.5,0.5,0.0,0.5,1.111111111111111,1897.6666666666667,38.4,11.6,5.4,1557.0,20,0,2,7,0,0.7839959524742133,0.6195135274082643,0.164482425065949,0.7313488059990484,7,3.0,4.0,0.47517730496453897,0.304222924446998,0.13918414248779087,0.36124676817006607,0.7313488059990484,1.657929700263796,0,Moderate-frequency focused investors,0.4941108876759552
000431,0.4148148148148148,0.3611111111111111,0.05370370370370371,0.6666666666666666,3.2962962962962963,3399.8888888888887,55.625,37.875,11.125,3339.125,12,3,18,89,0,0.786853818103818,0.6247527651036423,0.16210105300017574,0.7356119360564087,15,8.0,7.0,0.1680473372781065,0.3717322608445849,0.7622809537489227,0.35363401321459353,0.7356119360564087,1.648404212000703,0,Moderate-frequency focused investors,0.4941108876759552
000434,0.0,0.8875,-0.8875,1.75,3.3333333333333335,633.5,12.333333333333334,5.0,0.6666666666666666,528.3333333333334,11,0,1,0,0,0.5781502656502656,0.6248092759370956,-0.04665901028682995,0.5791809210237636,21,6.0,15.0,0.38596491228070173,0.6766733697213444,0.7681700660729676,0.02757828210284401,0.5791809210237636,1.0,3,Active diversified investors,0.19419706980752657
