agent_type,method,adoption_rate,mean_adoption_probability,mean_interaction_value_x1e4,mean_compatibility,mean_conditional_satisfaction_x1e4,adopted_episodes,mean_terminal_wealth,mean_cumulative_interaction_value,mean_total_turnover,mean_cumulative_cost,type_prevalence
Active diversified investors,dynamic,0.6131529850746269,0.6195308211573569,-1.6347128438313951,0.7523262366345702,-2.66607662952572,6573,1.1806171371685321,-0.010952576053670348,8.370801748225572,0.018725050142557424,0.19419706980752657
Active diversified investors,equal_weight,0.6215485074626865,0.6268236929906756,-0.4404586497129557,0.7609186760169447,-0.7086472647340365,6663,1.2290715819190394,-0.002951072953076803,1.0000489078598473,0.0019939096436209767,0.19419706980752657
Active diversified investors,expected,0.6154850746268656,0.6197925588329076,-2.4121977494010753,0.7547030429285597,-3.919181551012356,6598,1.1580176857632265,-0.016161724920987202,9.037164551536467,0.020087288122775403,0.19419706980752657
Active diversified investors,exponential,0.6019589552238805,0.6082261827396872,-3.6950611495370085,0.7355584688879601,-6.138393851392644,6453,1.2168270046555274,-0.024756909701897957,9.759622210881215,0.0222333154381373,0.19419706980752657
Active diversified investors,static,0.6015858208955224,0.607366787513934,-2.765746112424721,0.7306572519001435,-4.597425697812531,6449,1.217090706482756,-0.01853049895324563,10.56457908320107,0.024306150543931582,0.19419706980752657
Active diversified investors,symmetric,0.6085820895522388,0.6147387294083233,-2.8144822171840396,0.7453336722449362,-4.624655022718103,6524,1.1923876706753753,-0.018857030855133065,9.461448347395292,0.02133971608136996,0.19419706980752657
Disposition-effect investors,dynamic,0.6913246268656716,0.6869347617117539,-2.858138225409806,0.7371578309828138,-4.134292507946717,7411,1.1774767809213442,-0.0191495261102457,8.96197305877779,0.02002649273951829,0.28669922436081585
Disposition-effect investors,equal_weight,0.7093283582089552,0.7040819853249533,-1.0809783408671998,0.7694386516504343,-1.5239463195813232,7604,1.227517701992653,-0.0072425548838102385,1.0000652263995318,0.0019908192589535812,0.28669922436081585
Disposition-effect investors,expected,0.6956156716417911,0.6866633194698276,-4.947526651625707,0.739868350600794,-7.112442765914922,7457,1.1534101488634938,-0.033148428565892236,9.656500430820586,0.021419635059612856,0.28669922436081585
Disposition-effect investors,exponential,0.6763992537313432,0.6721365634214967,-7.66530617271179,0.7157660106696329,-11.332517193693338,7251,1.208272400420745,-0.051357551357169,10.450527275513851,0.0237020008134949,0.28669922436081585
Disposition-effect investors,static,0.6844216417910448,0.6722111461081731,-4.475555558086085,0.708570772868363,-6.5391788990981095,7337,1.2159056153067103,-0.02998622223917677,11.388513080193714,0.02614631204829528,0.28669922436081585
Disposition-effect investors,symmetric,0.6876865671641791,0.6811264398082479,-4.918606462989945,0.7286555544524499,-7.1523957248036085,7372,1.1870140042296402,-0.03295466330203263,10.168948043988683,0.022883652463390587,0.28669922436081585
Low-frequency diversified investors,dynamic,0.7119402985074627,0.7068483719665992,-2.4202558255256488,0.6848233358138138,-3.3995207612205127,7632,1.1834999681573732,-0.016215714031021847,9.123574759802771,0.02042937517328607,0.024992818155702385
Low-frequency diversified investors,equal_weight,0.7198694029850746,0.712351790476457,-0.7914375616607369,0.6898321016454737,-1.0994182533371903,7717,1.2290510493176154,-0.005302631663126936,1.0000271777253935,0.001991310297617772,0.024992818155702385
Low-frequency diversified investors,expected,0.7148320895522388,0.70904535004594,-3.670901372211123,0.6930697590945591,-5.135333773992332,7663,1.149560366692819,-0.024595039193814523,9.80845529051424,0.021694053168453402,0.024992818155702385
Low-frequency diversified investors,exponential,0.7073694029850747,0.6994299360046567,-5.858377463730319,0.6792326263985009,-8.281920929867997,7583,1.2173076927364455,-0.03925112900699314,10.74861688272482,0.024436838179404667,0.024992818155702385
Low-frequency diversified investors,static,0.6990671641791045,0.6952323780581638,-3.8588640146699578,0.6617992119061317,-5.520018980152382,7494,1.2055081801055174,-0.025854388898288717,11.557501330664248,0.02640833260362701,0.024992818155702385
Low-frequency diversified investors,symmetric,0.70625,0.6982529173924347,-4.121264171580507,0.6682782464826863,-5.835418296043196,7571,1.1912429641830153,-0.027612469949589397,10.34395034795001,0.023316518932223286,0.024992818155702385
Moderate-frequency focused investors,dynamic,0.8217350746268657,0.8226309704300664,-2.1600486157329213,0.7528334806141341,-2.6286435646108433,8809,1.1797742551002126,-0.014472325725410577,9.85746661396145,0.022019705009434103,0.4941108876759552
Moderate-frequency focused investors,equal_weight,0.8029850746268656,0.7998580311919161,-0.7315126918988734,0.6622327389419232,-0.9109916423275932,8608,1.2281277127509844,-0.004901135035722452,1.0000020788296617,0.001987610899996665,0.4941108876759552
Moderate-frequency focused investors,expected,0.8260261194029851,0.8229764209026662,-3.4071209566207643,0.7572650346375545,-4.124713343305996,8855,1.147456198941343,-0.02282771040935912,10.577868357195316,0.02338025559749226,0.4941108876759552
Moderate-frequency focused investors,exponential,0.8226679104477612,0.8191228314011259,-4.9274871814846355,0.7525302737455615,-5.989643109821441,8819,1.210268911322659,-0.033014164115947056,11.715290246091023,0.026604705468808294,0.4941108876759552
Moderate-frequency focused investors,static,0.8226679104477612,0.8197323412849052,-2.6722597987058823,0.7474413362844414,-3.248284957719363,8819,1.2027392074961347,-0.017904140651329413,12.70792626520492,0.029005745828770448,0.4941108876759552
Moderate-frequency focused investors,symmetric,0.8224813432835821,0.8207211911482122,-3.398777469741563,0.7516929427473094,-4.132345976594029,8817,1.1829346035021402,-0.022771809047268467,11.22760448518377,0.02521693069862298,0.4941108876759552
