online_dlr,frozen_dlr,delta_track,online_residual,frozen_residual,delta_residual,episodes,panel,key1,key2,seed,dlr_ratio
0.0944877150191844,0.2212846658746723,0.5730037838559549,0.0543326952341763,0.3264796094682071,0.8335801267262075,1500,horizon,1.0,,2000,0.42699621614404526
0.1121979097469603,0.2509552005251491,0.5529165782889739,0.4060743143552049,0.164342906524702,-1.47089651109565,1500,horizon,1.0,,2001,0.4470834217110259
0.1404007917813581,0.2796490214196981,0.4979392702016857,0.2383130881683164,0.4628927872679689,0.485165691228719,1500,horizon,1.0,,2002,0.5020607297983144
0.0797183038801396,0.2338378701410889,0.6590872820042338,0.1573881939454816,0.1721090444623203,0.0855321146127303,1500,horizon,1.0,,2003,0.34091271799576606
0.6813869407611757,0.9816147032374264,0.3058509224506121,0.7393671482893833,0.5528147937146147,-0.3374590490265976,300,horizon,5.0,,2000,0.6941490775493879
0.4821079773456737,1.100647545484172,0.5619778744578986,0.4520671379882158,0.8986965919817167,0.4969746830892481,300,horizon,5.0,,2001,0.43802212554210135
0.4593595650144231,1.546914789467532,0.7030479195479535,0.0267665007423179,1.5175551369254907,0.9823620901204644,300,horizon,5.0,,2002,0.2969520804520465
0.5776783766480754,1.4399046293005104,0.5988078898470484,0.4729188637775174,1.4722327558975492,0.678774390881419,300,horizon,5.0,,2003,0.40119211015295164
1.675005734871457,5.033468742340431,0.6672263560948184,1.8573944898552217,5.586761173053026,0.667536443330689,150,horizon,10.0,,2000,0.33277364390518166
1.4956788388131683,4.537637334222207,0.6703837859555293,1.416868225913385,5.284304237355716,0.7318723218286178,150,horizon,10.0,,2001,0.32961621404447067
1.9443843749425227,4.251534837709185,0.5426629560466691,2.167138796779487,4.971272066262833,0.5640675529535766,150,horizon,10.0,,2002,0.4573370439533308
1.1564183794393836,4.047130365713059,0.7142621376280682,0.9828422780402798,1.6353411517176597,0.3989986266731171,150,horizon,10.0,,2003,0.2857378623719317
2.856869266166155,4.93858312959087,0.4215204662551001,2.1149198367781787,3.6286435032578694,0.4171596534960348,100,horizon,15.0,,2000,0.5784795337448999
2.405270994468454,6.143593284847748,0.6084911739843368,3.7309897527268694,6.430282844577281,0.4197782830232345,100,horizon,15.0,,2001,0.3915088260156632
1.9254012476297997,5.564960002488245,0.654013461593812,1.682774834655198,6.154611912269975,0.7265831122023503,100,horizon,15.0,,2002,0.34598653840618804
2.255006847285084,5.0563069273411205,0.5540209722848275,2.0214660044033104,8.033727071350038,0.7483775604460994,100,horizon,15.0,,2003,0.44597902771517245
3.3845264014895515,14.11564095436573,0.7602286419418471,0.7971954916237766,16.196212990355924,0.950778895529562,75,horizon,20.0,,2000,0.2397713580581528
4.6409977603144,15.155776983687264,0.6937802815843963,3.5648306435360118,16.00410434902469,0.7772552236730913,75,horizon,20.0,,2001,0.30621971841560364
4.948623944675786,12.341722117288509,0.5990329471327455,6.039829990592944,10.495028214622018,0.4245055975954352,75,horizon,20.0,,2002,0.40096705286725454
3.0883350904238704,10.50110439027615,0.7059037815790482,6.3662410253879465,6.364946928149453,-0.000203316265336,75,horizon,20.0,,2003,0.2940962184209518
2.542167026084232,4.925835214257174,0.4839114758191122,2.605699251147985,8.859379340138853,0.7058824155612748,60,horizon,25.0,,2000,0.5160885241808878
2.3929802051354514,5.4269513312590965,0.5590562621499942,2.529346607729165,8.2728604140242,0.694259726243972,60,horizon,25.0,,2001,0.44094373785000585
2.506207857198623,6.8788830197821325,0.6356664519528348,2.6325536286164457,7.289751464914556,0.6388692205369579,60,horizon,25.0,,2002,0.3643335480471653
3.8942570209148273,6.505879399462179,0.4014249601311771,4.861170193967097,5.813370627042863,0.1637948952792176,60,horizon,25.0,,2003,0.5985750398688229
