seed,method,episode,day,date,regime,wealth,reference,net_return,drawdown,cash,turnover,fee,cumulative_fee
29,dynamic,1,447,20250102,real_market,0.9719783040425629,0.9985989152021282,-0.028021695957437087,0.028021695957437087,0.03225806451612904,0.9677419354838709,0.0019354838709677417,0.0019354838709677417
29,dynamic,1,448,20250103,real_market,0.9588183290423058,0.996609885894137,-0.013539371141848888,0.041181670957694205,0.03225806451612904,0.0,0.0,0.0019354838709677417
29,dynamic,1,449,20250106,real_market,0.9600450724157872,0.9947816452202195,0.0012794325435003806,0.03995492758421282,0.03225806451612904,0.0,0.0,0.0019354838709677417
29,dynamic,1,450,20250107,real_market,0.9630132259831322,0.9931932242583651,0.00309168147686667,0.036986774016867785,0.03225806451612904,0.0,0.0,0.0019354838709677417
29,dynamic,1,451,20250108,real_market,0.9607268922037681,0.9915699076556352,-0.0023741457725360293,0.03927310779623194,0.03225806451612904,0.0,0.0,0.0019354838709677417
29,dynamic,2,452,20250109,real_market,0.9560106752867785,0.9897919460371924,-0.004909008954845917,0.04398932471322148,0.03226854163095578,0.001332633912680549,2.5605944747498628e-06,0.0019380444654424915
29,dynamic,2,453,20250110,real_market,0.9346968002444404,0.9870371887475549,-0.02229459941537215,0.06530319975555965,0.03226864360853524,0.00026196741571728535,5.008872920060284e-07,0.0019385453527344975
29,dynamic,2,454,20250113,real_market,0.935029734933601,0.9844368160568572,0.0003561953877166957,0.06497026506639902,0.03226956942253516,0.000302438278271807,5.653761819441913e-07,0.0019391107289164417
29,dynamic,2,455,20250114,real_market,0.9579793641927952,0.9831139434636541,0.024544277472442033,0.04202063580720483,0.03226886174585682,0.00022615207968472786,4.229178382445874e-07,0.0019395336467546863
29,dynamic,2,456,20250115,real_market,0.9559614296763365,0.9817563177742882,-0.0021064488358358835,0.04403857032366354,0.03226848410453744,0.00032609646944540063,6.247873769296402e-07,0.0019401584341316158
29,dynamic,3,457,20250116,real_market,0.9584294809649697,0.9805899759338222,0.0025817477693308444,0.041570519035030284,0.032183359119252505,0.0023854182023681607,4.560735590223646e-06,0.0019447191697218396
29,dynamic,3,458,20250117,real_market,0.9590428421190058,0.9795126192430814,0.0006399648239310274,0.04095715788099419,0.032183276933477785,0.001149859018457218,2.204117564485682e-06,0.0019469232872863253
29,dynamic,3,459,20250120,real_market,0.9617853796524763,0.9786262572635511,0.0028596611256812565,0.03821462034752365,0.032183679738127045,0.0009400404173397388,1.803078067104479e-06,0.0019487263653534298
29,dynamic,3,460,20250121,real_market,0.9557073448493205,0.9774803116428395,-0.006319533371729968,0.04429265515067948,0.03218346815900629,0.0005890732568617635,1.1331240919878238e-06,0.0019498594894454175
29,dynamic,3,461,20250122,real_market,0.9486298002433413,0.9760377860728646,-0.007405556360033039,0.051370199756658685,0.03218348771586697,0.0011022681358288204,2.1068915068099443e-06,0.0019519663809522275
29,dynamic,4,462,20250123,real_market,0.9513574845015615,0.9748037709942995,0.002875393812760807,0.048642515498438454,0.032188199777707815,0.002038876902312938,3.8682787771237704e-06,0.0019558346597293515
29,dynamic,4,463,20250124,real_market,0.9637711017643507,0.974252137532802,0.01304832038956727,0.03622889823564934,0.032188389078182854,0.0005523920934494587,1.0510447049652573e-06,0.0019568857044343167
29,dynamic,4,464,20250127,real_market,0.9630137639840758,0.9736902188553658,-0.0007858066909128825,0.03698623601592421,0.032188072684216175,0.0009305020230536108,1.7935819199046717e-06,0.001958679286354221
29,dynamic,4,465,20250205,real_market,0.965603373865241,0.9732858766058595,0.002689068399657879,0.03439662613475902,0.03219011558672585,0.0016105805156579715,3.102022409166394e-06,0.001961781308763388
29,dynamic,4,466,20250206,real_market,0.9766476418373112,0.9739582296521498,0.011437685773467043,0.02335235816268877,0.032188007868883414,0.0008964867124492855,1.7313011883327765e-06,0.0019635126099517204
29,dynamic,5,467,20250207,real_market,0.997626560403194,0.9786918958023587,0.021480539825413647,0.0023734395968060262,0.032071917310508645,0.002734938626968896,5.342142721197893e-06,0.0019688547526729183
29,dynamic,5,468,20250210,real_market,1.00215335941367,0.983384188524621,0.004537568655596402,0.0,0.03207141931283843,0.002056962699686308,4.1041612459314385e-06,0.00197295891391885
29,dynamic,5,469,20250211,real_market,0.9940540052398239,0.9855181518676616,-0.008081950828947804,0.008081950828947804,0.03207338231118944,0.0017832153274821884,3.574110461988446e-06,0.0019765330243808384
