group_type,group,reference,n,log_loss,brier,log_loss_improvement,brier_improvement
reduction_group,low,none,7596,0.519582287332022,0.15466541959441232,0.0,0.0
reduction_group,low,static,7596,0.4907506371732861,0.1456807852163763,0.028831650158735955,0.00898463437803601
reduction_group,low,symmetric,7596,0.488543627133763,0.14482807660664138,0.03103866019825907,0.009837342987770947
reduction_group,low,asymmetric,7596,0.48823476020581064,0.14472312347685032,0.031347527126211416,0.009942296117562005
reduction_group,medium,none,60588,0.6242003802530712,0.20472047174912664,0.0,0.0
reduction_group,medium,static,60588,0.602376366304531,0.19632883247799635,0.021824013948540277,0.008391639271130291
reduction_group,medium,symmetric,60588,0.601059880505278,0.1958651496109081,0.023140499747793197,0.008855322138218547
reduction_group,medium,asymmetric,60588,0.6006696882641992,0.19568392519167013,0.023530691988872032,0.009036546557456504
reduction_group,high,none,3670,0.44907839906823055,0.14211357683648532,0.0,0.0
reduction_group,high,static,3670,0.4167129788395063,0.13045922919883976,0.03236542022872424,0.011654347637645557
reduction_group,high,symmetric,3670,0.41666213278172615,0.13035652641082895,0.0324162662865044,0.011757050425656362
reduction_group,high,asymmetric,3670,0.4164460120933649,0.1304043247401978,0.032632386974865646,0.011709252096287509
activity_group,low,none,5282,0.5240359692630503,0.1604654949877366,0.0,0.0
activity_group,low,static,5282,0.49295829451863477,0.15050893656804237,0.03107767474441553,0.009956558419694228
activity_group,low,symmetric,5282,0.49107459593691116,0.14959125825775482,0.03296137332613913,0.010874236729981779
activity_group,low,asymmetric,5282,0.49036751039587156,0.14938300784389724,0.03366845886717873,0.011082487143839359
activity_group,medium,none,63208,0.618865167606589,0.2022272231403332,0.0,0.0
activity_group,medium,static,63208,0.5967580046898684,0.19379080359999734,0.022107162916720657,0.00843641954033586
activity_group,medium,symmetric,63208,0.5954848695106967,0.19335157752936893,0.02338029809589237,0.008875645610964267
activity_group,medium,asymmetric,63208,0.595138100303163,0.1931881240393344,0.023727067303425997,0.009039099100998788
activity_group,high,none,3364,0.45443814334209576,0.13972717948446356,0.0,0.0
activity_group,high,static,3364,0.42514033349689534,0.129735612645406,0.029297809845200418,0.009991566839057553
activity_group,high,symmetric,3364,0.42326986067179,0.12904062659443435,0.031168282670305747,0.010686552890029205
activity_group,high,asymmetric,3364,0.4229348815647959,0.12899000758914286,0.03150326177729984,0.010737171895320696
