reference,gain_reduction_rate,loss_reduction_rate,disposition_gap,gain_opportunities,loss_opportunities
static,0.7208405983298155,0.49939994382452824,0.22144065450528727,32691,39163
symmetric,0.7244479004665629,0.4994962724158775,0.22495162805068541,32150,39704
asymmetric,0.7278149687490085,0.5003842816412545,0.22743068710775405,31519,40335
