reference,bootstrap,log_loss,brier,calibration_intercept,calibration_slope,observed_rate,predicted_rate,auroc,auprc
none,39,0.6050746074628266,0.19557546535509016,0.5524010839350103,0.09989046298930025,0.5967686725542548,0.5618419079975389,0.7634068215163354,0.7933326120837593
static,39,0.5803218868120562,0.1861348363315287,0.549019126278506,0.10528247628536552,0.5967686725542548,0.5633821496110002,0.7841754719667461,0.8104382033399692
symmetric,39,0.5788888075835599,0.18561712697795843,0.5489361350101252,0.1056447223654509,0.5967686725542548,0.5632052029320164,0.7853591793098706,0.8116616068099407
asymmetric,39,0.5787126985835189,0.185556830667429,0.5488524974728363,0.10564223271199565,0.5967686725542548,0.5631582761350511,0.785548138572775,0.812038918682908
none,40,0.6146027634309247,0.20072157277554564,0.5476139407271726,0.10877852630976863,0.5872531839443655,0.552974912905913,0.75476159017479,0.7791244459992972
static,40,0.5893823077505091,0.19114355469607283,0.5443741142475806,0.11378609193011772,0.5872531839443655,0.5551261101936787,0.7759976456787341,0.7975881206268811
symmetric,40,0.5882127834597468,0.19067128352918367,0.5443751187716811,0.11403079390089157,0.5872531839443655,0.5549086655664802,0.7771771062145385,0.7987825285653942
asymmetric,40,0.5876897843568775,0.19043129789473756,0.5442124737942637,0.11407672892945991,0.5872531839443655,0.5549416519219506,0.7776827737782929,0.799362696101629
none,41,0.596975858727708,0.19499842694592137,0.5512503849800338,0.11565621496003953,0.5937248701767777,0.5542744593347863,0.7648961568573277,0.7914169267024463
static,41,0.5730043333309122,0.1861230464545628,0.5482793984247226,0.12042701599378877,0.5937248701767777,0.556138295921133,0.7847143952958755,0.8087228351671055
symmetric,41,0.5716776484948709,0.1856654601290077,0.5482169737491904,0.12068011381329363,0.5937248701767777,0.5559916126128372,0.7858692647090118,0.8100680391101932
asymmetric,41,0.5713719115545289,0.1855206479366086,0.5480896552013688,0.12065717863502787,0.5937248701767777,0.5559672501706427,0.7862124341883568,0.8105629417007427
none,42,0.6034635258075441,0.19565926560248526,0.5520142815347784,0.10489494547464226,0.5969087580530207,0.5607303171184681,0.7611563736643034,0.7883406863143694
static,42,0.5797309840815089,0.18653657010426558,0.5492347439862812,0.10968837450943389,0.5969087580530207,0.5618687966498402,0.7814125595667448,0.8047112938463389
symmetric,42,0.5783103866119931,0.18600460543680852,0.5491138299997035,0.1100204405856342,0.5969087580530207,0.5617656969755901,0.7827077577506172,0.8060234036803148
asymmetric,42,0.5777385489610112,0.18575139403692117,0.5489612179945595,0.11008880325924854,0.5969087580530207,0.561749728018625,0.7832880337314931,0.8067117319181281
none,43,0.607963319726709,0.19781846240904247,0.5477500042969721,0.10785135727232305,0.5919672308441032,0.5594248882744896,0.7582985288745253,0.7823622317403465
static,43,0.58417817324241,0.18888731859440255,0.5445592117635726,0.1127689576719153,0.5919672308441032,0.5606712613118986,0.7783902378732102,0.7993055042680957
symmetric,43,0.5826426082150584,0.18836544612820896,0.5443958816250964,0.11321379765580213,0.5919672308441032,0.5606414096933736,0.7795387232176809,0.800513541124328
