seed,method,episode,day,date,regime,wealth,reference,net_return,drawdown,cash,turnover,fee,cumulative_fee,effective_holdings,max_stock_weight
29,dynamic,1,484,20250102,real_market,0.9935974818648057,0.9996798740932403,-0.006402518135194324,0.006402518135194324,0.8005728125990559,0.19942718740094412,0.00039885437480188823,0.00039885437480188823,268.3105809727201,0.001442105093276007
29,dynamic,1,485,20250103,real_market,0.9877910630208556,0.9990854335396211,-0.0058438340977399195,0.01220893697914438,0.6411614918775986,0.15941132072145728,0.0003167813736991657,0.0007156357485010539,285.3635257408161,0.0019552707287282
29,dynamic,1,486,20250106,real_market,0.9870414126676574,0.9984832324960229,-0.0007589159097123321,0.012958587332342564,0.5132090914131294,0.12804523698874834,0.00025296388151974623,0.0009685996300208002,288.73935726924424,0.0026764514653658195
29,dynamic,1,487,20250107,real_market,0.9910530644068981,0.9981117240915667,0.0040643195794576314,0.00894693559310189,0.41122619757530665,0.10316854943278175,0.0002036632615500119,0.001172262891570812,291.7853604709818,0.0029008281690736095
29,dynamic,1,488,20250108,real_market,0.9880590272424196,0.9976090892491093,-0.003021066451442067,0.011940972757580437,0.3296525495200014,0.08347919656610897,0.00016546462714213622,0.0013377275187129484,293.7578096422339,0.003100497216423697
29,dynamic,2,489,20250109,real_market,0.9861949194269352,0.9970383807580006,-0.0018866360855858133,0.013805080573064843,0.2643001111981174,0.07142069723652508,0.00014113572927299269,0.001478863247985941,293.71485763803355,0.0033923298674211648
29,dynamic,2,490,20250110,real_market,0.97379317513382,0.9958761204767915,-0.012575347985286367,0.02620682486617998,0.21217783671369753,0.05996324806897414,0.00011827090119591857,0.0015971341491818596,292.79684130880065,0.003977793410685869
29,dynamic,2,491,20250113,real_market,0.9736880528416445,0.9947667170950342,-0.00010795135441477033,0.026311947158355498,0.1700911987724867,0.05416521030636992,0.00010549142425206216,0.0017026255734339218,292.1622628663596,0.0041929307847892216
29,dynamic,2,492,20250114,real_market,0.9976351670853558,0.9953404070930985,0.024594236494761557,0.002364832914644177,0.1367060188855502,0.04879280670067446,9.501794589811691e-05,0.0017976435193320388,291.07913600372075,0.0045553390047118995
29,dynamic,2,493,20250115,real_market,0.9926791848335185,0.9952073459801195,-0.004967730103497159,0.007320815166481531,0.10971602489895248,0.044416656060291174,8.862323618016273e-05,0.0018862667555122016,291.0472629559493,0.004604008217334736
29,dynamic,3,494,20250116,real_market,0.9954898132821249,0.9952638394405205,0.00283135628463671,0.004510186717875064,0.08846980521232506,0.04252257969398202,8.442255949528079e-05,0.001970689315007482,291.4826570420022,0.005068741469289832
29,dynamic,3,495,20250117,real_market,1.000177937323073,0.996246659017031,0.004709364152598816,0.0,0.07132517829745838,0.03873196455567997,7.711455232716746e-05,0.00204780386733465,290.9532612496127,0.0052087191441778456
