method,method_label,seed,terminal_wealth,annualized_return,annualized_volatility,sharpe,max_drawdown,total_turnover,return_per_turnover,cumulative_fee,mean_cash,mean_effective_holdings,mean_max_stock_weight
dynamic,DRCPT-PG,29,1.1399029462639652,0.10351495526024301,0.1532008193293223,0.7202711707600928,0.10965532513064824,10.90882311386512,0.01282475156152715,0.02458393033197264,0.014404587364921855,189.3568201829406,0.021329465849061337
symmetric,Symmetric CPT-PG,29,1.098766985380882,0.07342271428992397,0.143149855915487,0.5673525596823324,0.10773198452846389,11.581139620213015,0.008528261347311626,0.025270994856314573,0.015116911162720258,208.8778596757648,0.012993297882153698
static,Static CPT-PG,29,1.1831669377777922,0.13487506728799326,0.17050874063534469,0.8281212866366908,0.1286096068826652,10.492499785798241,0.017456939863435737,0.023683361477418306,0.014747132649015818,211.8288670957218,0.015917970750759732
expected,Expected-Wealth PG,29,1.0645792368596794,0.04820044551974889,0.12998724574665746,0.42794903633947196,0.1076402015208534,7.884677220793174,0.008190473122903932,0.01691727639550076,0.014193407372009722,199.07524253113135,0.013433001350475952
exponential,Exponential-Utility PG,29,1.0640188611369878,0.047785367516329114,0.13309829112977653,0.4177823356787804,0.1179183764407602,10.358910935363117,0.006180076413094844,0.022537028510087043,0.014077409419459985,189.37535468997453,0.01691933411909956
dynamic,DRCPT-PG,147,1.0759712631257905,0.0566269898373426,0.15352507038347418,0.43647359381261697,0.12831351885698616,10.565357126991202,0.007190600583837109,0.022417655338863546,0.01432731563059302,235.26493620846253,0.012338822113904333
symmetric,Symmetric CPT-PG,147,1.2369913051396901,0.17349643944622084,0.20233075417102472,0.8927372382501424,0.1396406898002226,13.885781376741935,0.01706719259865635,0.03138940358351918,0.014263604254526639,165.41657836509063,0.026474379306694117
static,Static CPT-PG,147,1.072630633914056,0.05415826743838714,0.12735462598366643,0.47844975630951225,0.09618626500197769,8.368938632373315,0.008678595590736107,0.017979410707030893,0.013981083315688116,203.57488706919804,0.013890714408288162
expected,Expected-Wealth PG,147,1.155344536983851,0.11474115544647367,0.15304910487964635,0.7870401018308947,0.11723801751843399,10.874991370962137,0.014284566459394568,0.023866385604947495,0.01455203877748112,233.18656827397663,0.012124040957367424
exponential,Exponential-Utility PG,147,1.703964507894859,0.49318494894057374,0.24933292391929376,1.733693772925459,0.1742257321318912,17.848288481514505,0.03944156934845355,0.04377866317287059,0.01334293538814136,117.60662974092673,0.07092731546315433
dynamic,DRCPT-PG,3141,1.2948678364303328,0.21456380200854985,0.16140389803375088,1.2860151299456555,0.11835973118292364,10.287650411998879,0.0286623110838231,0.02327470078200091,0.014244283666142641,160.29870350093685,0.03933872151143644
symmetric,Symmetric CPT-PG,3141,1.402752791277303,0.28992636194285315,0.19602957142779456,1.3977388799909158,0.17414108879953394,11.500759472946433,0.035019669111827786,0.02761359963051034,0.014461530321703824,185.51189055592855,0.03658043486578599
