day,regime,estimator,budget,cost,cost_std,seconds,mse,mse_se,variance_trace,bias_norm,bias_coordinate,bias_se,reference_variance_trace,reference_gradient_norm
0,uptrend_momentum,plugin,128,128.0,0.0,0.003407823334176404,9.442566374497502e-06,8.264640252112906e-07,9.353729185010118e-06,0.0004947046350138795,0.00017512354597397367,0.00024317598753789395,3.1773465384083274e-08,0.001207391104043668
0,uptrend_momentum,multilevel,128,127.4,29.284808348357004,0.005523698331671767,0.0003162092110917313,4.5042441576315864e-05,0.00030744516285789703,0.003726678719914814,2.498744535736424e-07,0.0010882726375329268,3.1773465384083274e-08,0.001207391104043668
0,uptrend_momentum,multilevel_outer,128,131.73333333333332,30.807145696878518,0.007017770000190163,4.969067958203105e-05,7.3325972536038125e-06,4.960304318119976e-05,0.0009562184829758365,9.734128425737098e-05,0.0005413194978694518,3.1773465384083274e-08,0.001207391104043668
0,uptrend_momentum,split_base,128,76.8,15.80902981617827,0.006076778333711748,0.0001251453797176047,2.451610858217937e-05,0.0001251704871281168,0.0014356417989723313,0.0007485906724742732,0.0009205109653292593,3.1773465384083274e-08,0.001207391104043668
0,uptrend_momentum,plugin,512,512.0,0.0,0.010518541666776097,1.449227704757095e-06,1.6049558295935076e-07,1.444395703607123e-06,0.0001700154783446425,8.906971505874518e-05,0.0001339736387595473,3.1773465384083274e-08,0.001207391104043668
0,uptrend_momentum,multilevel,512,505.06666666666666,66.68871951638046,0.012595341666019522,6.256881687772876e-05,5.531076754257375e-06,6.12988779082826e-05,0.0015137988421795674,-0.0009124244527733837,0.0006103006481853667,3.1773465384083274e-08,0.001207391104043668
0,uptrend_momentum,multilevel_outer,512,515.2,50.83599418802338,0.01486835666631426,1.2322855230886186e-05,1.508104514891901e-06,1.2301801883502882e-05,0.0004754822591590743,-0.0001994782531661121,0.00026704306502732886,3.1773465384083274e-08,0.001207391104043668
0,uptrend_momentum,split_base,512,505.06666666666666,34.90124890517878,0.015080229999148287,1.8649348272644692e-05,1.8751779967532593e-06,1.8881785495465226e-05,0.00028680865067826745,-7.045132065103076e-05,0.0003501178870601336,3.1773465384083274e-08,0.001207391104043668
150,oscillation_reversal,plugin,128,128.0,0.0,0.0036092483322136106,8.009013720833871e-05,6.849217131600701e-06,7.91994510478188e-05,0.0014868345608428936,-0.0008540375081894124,0.0006910423823967456,2.1430144281830704e-07,0.003190612981718594
150,oscillation_reversal,multilevel,128,126.6,32.296927492003455,0.005646921665174887,0.0020587926340688485,0.0002506241987263643,0.002038683970616931,0.007354368064549613,0.0013058957759869093,0.0030299867278267916,2.1430144281830704e-07,0.003190612981718594
150,oscillation_reversal,multilevel_outer,128,129.86666666666667,24.486223498999145,0.007170413331186865,0.0003226779210225463,3.932936656735221e-05,0.0003185175523605703,0.003077173140181136,-0.002382910692192434,0.0013637135622748457,2.1430144281830704e-07,0.003190612981718594
150,oscillation_reversal,split_base,128,72.53333333333333,14.270351707407475,0.006007678330934141,0.0006939111896664859,9.403063255037352e-05,0.0007031634322399865,0.0015707157488969443,0.0003550076187156272,0.0020360586160119995,2.1430144281830704e-07,0.003190612981718594
150,oscillation_reversal,plugin,512,512.0,0.0,0.010807798332825769,1.2977481378398217e-05,1.3171677655852211e-06,1.2772836216770376e-05,0.0006461623366002388,5.7061539384740175e-05,0.00037995722024628393,2.1430144281830704e-07,0.003190612981718594
150,oscillation_reversal,multilevel,512,507.46666666666664,60.26142670085565,0.012745619999865692,0.0006215124099733896,6.119655185621853e-05,0.0006063167839814723,0.005030000569079675,-0.004529299089027553,0.0019583293094708834,2.1430144281830704e-07,0.003190612981718594
150,oscillation_reversal,multilevel_outer,512,506.6666666666667,55.00652246892448,0.01449365166821129,9.052268460686378e-05,1.0506077381562974e-05,9.141819294071459e-05,0.0007925454025865704,0.0002456561682494167,0.000773997500742033,2.1430144281830704e-07,0.003190612981718594
150,oscillation_reversal,split_base,512,505.06666666666666,37.30491250727096,0.015014339999470393,0.00013039785958779738,1.3053587838831718e-05,0.00012712485497158514,0.0023220146853695812,-0.0020462865524776995,0.0008308793249711319,2.1430144281830704e-07,0.003190612981718594
290,negative_shock,plugin,128,128.0,0.0,0.003476826667125958,0.003954813679052673,0.0005626551133819923,0.00394394194327734,0.008752376905539533,-0.005571861766911873,0.00578376489748137,1.6529977865808272e-05,0.0038865572495554793
290,negative_shock,multilevel,128,122.06666666666666,32.33608818131928,0.005301461667598536,0.08777989193607097,0.012759753297257296,0.08665689864331688,0.050668283341843846,-0.017231123140762486,0.024290742109927266,1.6529977865808272e-05,0.0038865572495554793
290,negative_shock,multilevel_outer,128,130.66666666666666,26.210792619024595,0.00727201666838179,0.012819241140891464,0.001890240386698284,0.01290653540549406,0.011305514531515288,0.0023312140453258913,0.009125548944015594,1.6529977865808272e-05,0.0038865572495554793
290,negative_shock,split_base,128,73.06666666666666,14.541427280175517,0.006034500000047653,0.03299666322591374,0.004872596834050668,0.03185636351263677,0.04088079139588965,0.03811919938281187,0.014684648851334333,1.6529977865808272e-05,0.0038865572495554793
290,negative_shock,plugin,512,512.0,0.0,0.010571634999845021,0.0004126477132561068,3.9089942636528856e-05,0.0003895226257076886,0.005442162374480654,0.003540320524468208,0.002731010273039813,1.6529977865808272e-05,0.0038865572495554793
290,negative_shock,multilevel,512,498.1333333333333,62.42757611734582,0.012610716665221844,0.021558445354950193,0.0020607558689655376,0.021572239184011115,0.018594178945911713,-8.618967415804598e-05,0.010949905940561635,1.6529977865808272e-05,0.0038865572495554793
290,negative_shock,multilevel_outer,512,501.3333333333333,49.70239112573779,0.014669373333648157,0.0029496948702091353,0.00028504113294900736,0.002944146135885181,0.007390388121655552,-0.003442588317989205,0.004681937697049238,1.6529977865808272e-05,0.0038865572495554793
290,negative_shock,split_base,512,509.8666666666667,40.76200734676659,0.015285476666758769,0.00467456030248684,0.00045822038292227187,0.004606670528889987,0.012027785155423285,-0.0005463143286579893,0.005829933386626874,1.6529977865808272e-05,0.0038865572495554793
350,style_switch_lowvol_quality,plugin,128,128.0,0.0,0.0034502100010286086,5.385169931742105e-05,5.879324490963274e-06,5.4615006781556014e-05,0.00038333099129989994,-6.583201716096312e-05,0.0007090163743390931,2.548821176743183e-07,0.002341755057594205
350,style_switch_lowvol_quality,multilevel,128,125.8,25.413729106895037,0.005778451667477687,0.001973272186171585,0.00028564885811507536,0.0019850901130704325,0.0046116058286667285,0.003126924303358301,0.0031185952171257506,2.548821176743183e-07,0.002341755057594205
350,style_switch_lowvol_quality,multilevel_outer,128,128.0,26.348383026963784,0.006998708336323034,0.00029931190226701476,4.539231303260632e-05,0.0003008772325417772,0.0018572264987342102,-0.0006415216172675742,0.0015222898872306924,2.548821176743183e-07,0.002341755057594205
350,style_switch_lowvol_quality,split_base,128,72.53333333333333,14.270351707407475,0.006080156668031122,0.0007140391693665244,0.00010591472304462366,0.0007139177824939732,0.0034669895559092698,0.0028676185109118915,0.0021910811343263067,2.548821176743183e-07,0.002341755057594205
350,style_switch_lowvol_quality,plugin,512,512.0,0.0,0.010723509998933877,7.70136662763764e-06,7.326722689437142e-07,7.281266327866145e-06,0.0007358360813178893,-0.00012698794506813677,0.000417514991004518,2.548821176743183e-07,0.002341755057594205
350,style_switch_lowvol_quality,multilevel,512,498.4,73.98103284179656,0.012475101666738434,0.0003539040912950637,3.287946902884488e-05,0.0003535716211590294,0.002495061219426232,-0.0005488001199965772,0.0015061178824834866,2.548821176743183e-07,0.002341755057594205
350,style_switch_lowvol_quality,multilevel_outer,512,513.8666666666667,62.21871391777494,0.014726466667101097,6.353509390755051e-05,6.862272369405575e-06,6.259444498977038e-05,0.0014085061830214464,0.0007695482115526254,0.0007017029680878045,2.548821176743183e-07,0.002341755057594205
350,style_switch_lowvol_quality,split_base,512,502.93333333333334,39.56280853540405,0.014795280001514281,0.00010698829147268583,9.118758853464665e-06,0.00010384226884132714,0.002208331295808549,0.001454438504104617,0.0008076232763670099,2.548821176743183e-07,0.002341755057594205
