method,seed,terminal_wealth,annualized_return,sharpe,max_drawdown,total_turnover,return_per_turnover,cumulative_fee,mean_cash
plugin,29,1.182982558902052,0.08838133228185874,1.1338331677265239,0.14449387629888977,1.0644904042389225,0.1718968608579227,0.002155094525578406,0.032261234871030144
plugin,147,0.9808021352821926,-0.009722236988522703,-0.07554528515290192,0.22494400506324963,1.1033391497855363,-0.01739978566113511,0.0022037521572124403,0.03225744081816158
plugin,3141,1.0063065283085468,0.003173534620785512,0.07961115641461823,0.23576105232920375,1.1280194656685205,0.005590797411292251,0.0022765356588313815,0.032239531269721046
plugin,42,0.893072424129754,-0.055402294005429176,-0.6318747260780541,0.28021335143371184,1.1673297544996382,-0.09160014593826511,0.0023023995196064058,0.03225003110595512
plugin,3407,1.0419219051436213,0.020913448917453392,0.29362019351726903,0.2573682345983185,1.07579902047628,0.03896815701232142,0.0021562291237081084,0.03225733637002921
plugin,592,0.9631940125834846,-0.018722722937609126,-0.18499368040153355,0.24551763869782928,1.108517787240267,-0.033202883923176836,0.0022232095392957906,0.03226069968649578
plugin,7,0.9616963261046699,-0.01949202515353199,-0.21859211246502278,0.22495748098072932,1.1725203135625795,-0.032667812618911815,0.0023316058895350308,0.03225743005867876
plugin,101,0.7685267860209639,-0.12426614288188975,-1.3703015163726895,0.37191039900531575,1.0653084086842821,-0.21728281884578285,0.002113153894207801,0.03226834920438521
plugin,2024,0.979735799333295,-0.010265008890102956,-0.08125862567702896,0.24575754403644023,1.1029788124462225,-0.018372248349687127,0.002217495589912788,0.03225862492861508
plugin,2025,1.033960568046519,0.01697436124201568,0.2494202944073085,0.22185617901709853,1.065442631619194,0.031874609705552844,0.0021350604774660734,0.03225983655748861
multilevel,29,1.180782743619059,0.08736081605076929,1.1217942921976003,0.14470303558867847,1.1433841493503778,0.1581119903767881,0.002330415559432783,0.032319055385202376
multilevel,147,0.9821144379497354,-0.009054668026505008,-0.06746906108696357,0.22448874193611812,1.1429115060161856,-0.015649122400217836,0.0022769798577194776,0.03234503121510632
multilevel,3141,1.0105247843567091,0.0052907180086367855,0.10587329008249852,0.2346100086899935,1.1699380853344454,0.008996018241170804,0.0023674893662711085,0.032144023352116184
